# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for cucumber planted 04-01
#   under openfield (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 04-01
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,5.94,3.56,3.56,3.56,1.0,1.0,19.6,19.6,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.106,6.32,3.79,3.79,3.79,1.0,1.0,20.2,39.9,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.112,6.13,3.68,3.68,3.68,1.0,1.0,19.5,59.4,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.118,5.54,3.32,3.32,3.32,1.0,1.0,19.6,79.0,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.124,5.88,3.53,3.53,3.53,1.0,1.0,23.0,102.0,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.13,5.6,3.36,3.36,3.36,1.0,0.983,24.5,126.5,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.136,5.56,3.34,3.34,3.34,1.0,0.983,25.4,151.9,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.141,5.31,3.19,3.19,3.19,1.0,0.938,25.3,177.2,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.147,5.57,3.34,3.34,3.34,1.0,0.97,27.0,204.3,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.153,5.12,3.07,3.07,3.07,1.0,1.0,27.0,231.3,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.159,5.6,3.36,3.36,3.36,1.0,1.0,26.9,258.2,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.165,5.13,3.08,3.08,3.08,1.0,0.955,29.4,287.6,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.171,5.3,3.18,3.18,3.18,1.0,0.831,28.7,316.3,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.177,5.82,3.49,3.49,3.49,1.0,1.0,35.0,351.3,0.0
