# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for cucumber planted 04-01
#   under underpv_low (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 04-01
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,4.67,2.43,2.43,2.43,1.0,1.0,12.8,12.8,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.106,4.94,2.56,2.56,2.56,1.0,1.0,13.1,25.9,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.112,4.79,2.49,2.49,2.49,1.0,1.0,12.7,38.6,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.118,4.39,2.28,2.28,2.28,1.0,1.0,12.7,51.3,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.124,4.83,2.52,2.52,2.52,1.0,0.986,14.8,66.1,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.13,4.58,2.4,2.4,2.4,1.0,0.903,14.6,80.7,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.136,4.59,2.4,2.4,2.4,1.0,0.902,15.2,95.9,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.141,4.35,2.28,2.28,2.28,1.0,0.858,15.0,110.9,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.147,4.53,2.36,2.36,2.36,1.0,0.89,16.1,127.0,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.153,3.89,2.02,2.02,2.02,1.0,1.0,17.5,144.6,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.159,4.35,2.26,2.26,2.26,1.0,1.0,17.5,162.1,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.165,4.19,2.19,2.19,2.19,1.0,0.874,17.5,179.6,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.171,4.22,2.21,2.21,2.21,1.0,0.752,16.9,196.4,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.177,4.7,2.45,2.45,2.45,1.0,0.932,21.2,217.7,0.0
