# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for cucumber planted 04-01
#   under underpv_medium (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 04-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,4.01,1.99,1.99,1.99,1.0,0.966,9.5,9.5,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.106,4.2,2.08,2.08,2.08,1.0,1.0,10.1,19.6,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.112,4.08,2.02,2.02,2.02,1.0,1.0,9.8,29.4,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.118,3.77,1.87,1.87,1.87,1.0,1.0,9.8,39.2,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.124,4.23,2.12,2.12,2.12,1.0,0.916,10.5,49.7,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.13,4.01,2.01,2.01,2.01,1.0,0.833,10.4,60.1,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.136,4.04,2.03,2.03,2.03,1.0,0.833,10.8,70.8,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.141,3.83,1.92,1.92,1.92,1.0,0.788,10.6,81.4,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.147,3.95,1.98,1.98,1.98,1.0,0.82,11.4,92.9,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.153,3.28,1.63,1.63,1.63,1.0,1.0,13.5,106.4,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.159,3.7,1.83,1.83,1.83,1.0,1.0,13.5,119.8,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.165,3.68,1.85,1.85,1.85,1.0,0.805,12.4,132.2,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.171,3.66,1.84,1.84,1.84,1.0,0.681,11.8,144.0,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.177,4.09,2.04,2.04,2.04,1.0,0.862,15.1,159.1,0.0
full_eto,001,2010,15,2010-04-15,initial,0.6,0.183,3.41,1.69,1.69,1.69,1.0,1.0,17.5,176.7,0.0
full_eto,001,2010,16,2010-04-16,initial,0.6,0.189,3.39,1.68,1.68,1.68,1.0,1.0,18.6,195.3,0.0
full_eto,001,2010,17,2010-04-17,initial,0.6,0.195,4.48,2.24,2.24,2.24,1.0,1.0,19.8,215.1,0.0
full_eto,001,2010,18,2010-04-18,initial,0.6,0.201,4.31,2.14,2.14,2.14,1.0,1.0,19.7,234.7,0.0
full_eto,001,2010,19,2010-04-19,initial,0.6,0.207,4.35,2.15,2.15,2.15,1.0,1.0,20.4,255.1,0.0
full_eto,001,2010,20,2010-04-20,initial,0.6,0.212,4.1,2.03,2.03,2.03,1.0,1.0,20.4,275.5,0.0
full_eto,001,2010,21,2010-04-21,development,0.6,0.212,4.06,2.02,2.02,2.02,1.0,1.0,18.3,293.8,0.0
full_eto,001,2010,22,2010-04-22,development,0.614,0.231,3.57,1.84,1.84,1.84,1.0,0.782,18.9,312.7,0.0
full_eto,001,2010,23,2010-04-23,development,0.628,0.25,3.7,1.94,1.94,1.94,1.0,0.744,18.1,330.8,0.0
full_eto,001,2010,24,2010-04-24,development,0.641,0.268,3.82,2.03,2.03,2.03,1.0,0.948,26.7,357.5,0.0
full_eto,001,2010,25,2010-04-25,development,0.655,0.287,3.95,2.14,2.14,2.14,1.0,1.0,28.5,386.0,0.0
full_eto,001,2010,26,2010-04-26,development,0.669,0.305,4.67,2.59,2.59,2.59,1.0,1.0,31.0,417.0,0.0
