# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 08-22
#   under openfield (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 08-22
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-22,initial,0.6,0.1,7.55,4.53,4.53,4.53,1.0,0.753,14.6,14.6,0.0
full_eto,001,2010,2,2010-08-23,initial,0.6,0.106,7.02,4.21,4.21,4.21,1.0,0.828,16.7,31.3,0.0
full_eto,001,2010,3,2010-08-24,initial,0.6,0.112,6.98,4.19,4.19,4.19,1.0,0.836,17.7,48.9,0.0
full_eto,001,2010,4,2010-08-25,initial,0.6,0.118,6.96,4.18,4.18,4.18,1.0,0.919,20.6,69.6,0.0
full_eto,001,2010,5,2010-08-26,initial,0.6,0.124,6.67,4.0,4.0,4.0,1.0,1.0,23.6,93.1,0.0
full_eto,001,2010,6,2010-08-27,initial,0.6,0.13,6.47,3.88,3.88,3.88,1.0,1.0,25.2,118.3,0.0
full_eto,001,2010,7,2010-08-28,initial,0.6,0.136,6.59,3.95,3.95,3.95,1.0,0.953,24.4,142.7,0.0
full_eto,001,2010,8,2010-08-29,initial,0.6,0.141,7.51,4.51,4.51,4.51,1.0,0.816,21.8,164.5,0.0
full_eto,001,2010,9,2010-08-30,initial,0.6,0.147,7.65,4.59,4.59,4.59,1.0,0.933,26.8,191.3,0.0
full_eto,001,2010,10,2010-08-31,initial,0.6,0.153,7.29,4.38,4.38,4.38,1.0,1.0,30.4,221.7,0.0
full_eto,001,2010,11,2010-09-01,initial,0.6,0.159,7.07,4.24,4.24,4.24,1.0,1.0,30.1,251.8,0.0
full_eto,001,2010,12,2010-09-02,initial,0.6,0.165,6.77,4.06,4.06,4.06,1.0,1.0,31.3,283.2,0.0
full_eto,001,2010,13,2010-09-03,initial,0.6,0.171,6.88,4.13,4.13,4.13,1.0,1.0,32.4,315.6,0.0
full_eto,001,2010,14,2010-09-04,initial,0.6,0.177,7.02,4.21,4.21,4.21,1.0,1.0,32.7,348.2,0.0
full_eto,001,2010,15,2010-09-05,initial,0.6,0.183,6.64,3.98,3.98,3.98,1.0,1.0,33.1,381.3,0.0
full_eto,001,2010,16,2010-09-06,initial,0.6,0.189,7.39,4.44,4.44,4.44,1.0,0.919,33.1,414.4,0.0
full_eto,001,2010,17,2010-09-07,initial,0.6,0.195,7.66,4.6,4.6,4.6,1.0,0.853,30.3,444.7,0.0
full_eto,001,2010,18,2010-09-08,initial,0.6,0.201,6.9,4.14,4.14,4.14,1.0,0.958,34.7,479.4,0.0
full_eto,001,2010,19,2010-09-09,initial,0.6,0.207,6.6,3.96,3.96,3.96,1.0,1.0,37.3,516.7,0.0
full_eto,001,2010,20,2010-09-10,initial,0.6,0.212,6.68,4.01,4.01,4.01,1.0,1.0,38.4,555.1,0.0
full_eto,001,2010,21,2010-09-11,development,0.6,0.212,6.55,3.93,3.93,3.93,1.0,1.0,38.6,593.7,0.0
full_eto,001,2010,22,2010-09-12,development,0.614,0.231,6.85,4.21,4.21,4.21,1.0,0.912,38.1,631.8,0.0
full_eto,001,2010,23,2010-09-13,development,0.628,0.25,6.89,4.33,4.33,4.33,1.0,1.0,44.1,675.9,0.0
full_eto,001,2010,24,2010-09-14,development,0.641,0.268,6.31,4.05,4.05,4.05,1.0,1.0,48.0,723.9,0.0
full_eto,001,2010,25,2010-09-15,development,0.655,0.287,5.96,3.9,3.9,3.9,1.0,1.0,52.1,776.0,0.0
full_eto,001,2010,26,2010-09-16,development,0.669,0.305,6.1,4.08,4.08,4.08,1.0,1.0,53.4,829.4,0.0
full_eto,001,2010,27,2010-09-17,development,0.683,0.324,5.96,4.07,4.07,4.07,1.0,1.0,56.9,886.3,0.0
