# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 08-22
#   under underpv_high (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 08-22
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-22,initial,0.6,0.1,3.97,1.37,1.37,1.37,1.0,1.0,6.8,6.8,0.0
full_eto,001,2010,2,2010-08-23,initial,0.6,0.106,3.58,1.23,1.23,1.23,1.0,1.0,7.1,13.8,0.0
full_eto,001,2010,3,2010-08-24,initial,0.6,0.112,3.56,1.23,1.23,1.23,1.0,1.0,7.4,21.2,0.0
full_eto,001,2010,4,2010-08-25,initial,0.6,0.118,3.64,1.26,1.26,1.26,1.0,1.0,7.8,29.1,0.0
full_eto,001,2010,5,2010-08-26,initial,0.6,0.124,3.5,1.21,1.21,1.21,1.0,1.0,8.2,37.3,0.0
full_eto,001,2010,6,2010-08-27,initial,0.6,0.13,3.11,1.07,1.07,1.07,1.0,1.0,8.8,46.1,0.0
full_eto,001,2010,7,2010-08-28,initial,0.6,0.136,3.26,1.12,1.12,1.12,1.0,1.0,9.0,55.1,0.0
full_eto,001,2010,8,2010-08-29,initial,0.6,0.141,3.94,1.36,1.36,1.36,1.0,1.0,9.3,64.4,0.0
full_eto,001,2010,9,2010-08-30,initial,0.6,0.147,4.11,1.42,1.42,1.42,1.0,1.0,10.0,74.5,0.0
full_eto,001,2010,10,2010-08-31,initial,0.6,0.153,3.94,1.37,1.37,1.37,1.0,1.0,10.6,85.1,0.0
full_eto,001,2010,11,2010-09-01,initial,0.6,0.159,3.74,1.29,1.29,1.29,1.0,1.0,10.5,95.6,0.0
full_eto,001,2010,12,2010-09-02,initial,0.6,0.165,3.57,1.24,1.24,1.24,1.0,1.0,11.0,106.6,0.0
full_eto,001,2010,13,2010-09-03,initial,0.6,0.171,3.63,1.26,1.26,1.26,1.0,1.0,11.4,118.0,0.0
full_eto,001,2010,14,2010-09-04,initial,0.6,0.177,3.74,1.29,1.29,1.29,1.0,1.0,11.4,129.4,0.0
full_eto,001,2010,15,2010-09-05,initial,0.6,0.183,3.52,1.22,1.22,1.22,1.0,1.0,11.6,140.9,0.0
full_eto,001,2010,16,2010-09-06,initial,0.6,0.189,3.92,1.36,1.36,1.36,1.0,1.0,12.6,153.6,0.0
full_eto,001,2010,17,2010-09-07,initial,0.6,0.195,4.11,1.42,1.42,1.42,1.0,1.0,12.5,166.0,0.0
full_eto,001,2010,18,2010-09-08,initial,0.6,0.201,3.66,1.26,1.26,1.26,1.0,1.0,12.7,178.7,0.0
full_eto,001,2010,19,2010-09-09,initial,0.6,0.207,3.54,1.23,1.23,1.23,1.0,1.0,13.1,191.8,0.0
full_eto,001,2010,20,2010-09-10,initial,0.6,0.212,3.52,1.22,1.22,1.22,1.0,1.0,13.4,205.2,0.0
full_eto,001,2010,21,2010-09-11,development,0.6,0.212,3.52,1.22,1.22,1.22,1.0,1.0,13.5,218.7,0.0
full_eto,001,2010,22,2010-09-12,development,0.614,0.231,3.55,1.25,1.25,1.25,1.0,1.0,14.6,233.3,0.0
full_eto,001,2010,23,2010-09-13,development,0.628,0.25,3.79,1.37,1.37,1.37,1.0,1.0,15.5,248.8,0.0
full_eto,001,2010,24,2010-09-14,development,0.641,0.268,3.51,1.31,1.31,1.31,1.0,1.0,16.8,265.6,0.0
full_eto,001,2010,25,2010-09-15,development,0.655,0.287,3.19,1.21,1.21,1.21,1.0,1.0,18.2,283.8,0.0
full_eto,001,2010,26,2010-09-16,development,0.669,0.305,3.3,1.28,1.28,1.28,1.0,1.0,18.7,302.5,0.0
full_eto,001,2010,27,2010-09-17,development,0.683,0.324,3.28,1.3,1.3,1.3,1.0,1.0,19.9,322.4,0.0
full_eto,001,2010,28,2010-09-18,development,0.697,0.342,3.5,1.42,1.42,1.42,1.0,1.0,21.4,343.8,0.0
full_eto,001,2010,29,2010-09-19,development,0.71,0.361,2.6,1.06,1.06,1.06,1.0,1.0,22.4,366.2,0.0
full_eto,001,2010,30,2010-09-20,development,0.724,0.379,2.4,1.0,1.0,1.0,1.0,1.0,23.0,389.2,0.0
full_eto,001,2010,31,2010-09-21,development,0.738,0.398,2.79,1.18,1.18,1.18,1.0,1.0,21.8,411.0,0.0
full_eto,001,2010,32,2010-09-22,development,0.752,0.416,2.62,1.12,1.12,1.12,1.0,1.0,13.6,424.6,0.0
full_eto,001,2010,33,2010-09-23,development,0.766,0.435,2.9,1.27,1.27,1.27,1.0,1.0,23.7,448.2,0.0
full_eto,001,2010,34,2010-09-24,development,0.779,0.453,3.1,1.39,1.39,1.39,1.0,1.0,22.7,470.9,0.0
