# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 08-22
#   under underpv_low (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 08-22
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-22,initial,0.6,0.1,6.01,3.12,3.12,3.12,1.0,0.853,10.7,10.7,0.0
full_eto,001,2010,2,2010-08-23,initial,0.6,0.106,5.49,2.85,2.85,2.85,1.0,0.928,12.2,22.9,0.0
full_eto,001,2010,3,2010-08-24,initial,0.6,0.112,5.46,2.84,2.84,2.84,1.0,0.936,12.9,35.8,0.0
full_eto,001,2010,4,2010-08-25,initial,0.6,0.118,5.51,2.87,2.87,2.87,1.0,1.0,14.6,50.3,0.0
full_eto,001,2010,5,2010-08-26,initial,0.6,0.124,5.28,2.75,2.75,2.75,1.0,1.0,15.3,65.7,0.0
full_eto,001,2010,6,2010-08-27,initial,0.6,0.13,4.9,2.55,2.55,2.55,1.0,1.0,16.4,82.1,0.0
full_eto,001,2010,7,2010-08-28,initial,0.6,0.136,5.07,2.64,2.64,2.64,1.0,1.0,16.7,98.7,0.0
full_eto,001,2010,8,2010-08-29,initial,0.6,0.141,6.0,3.12,3.12,3.12,1.0,0.916,15.9,114.6,0.0
full_eto,001,2010,9,2010-08-30,initial,0.6,0.147,6.18,3.21,3.21,3.21,1.0,1.0,18.6,133.3,0.0
full_eto,001,2010,10,2010-08-31,initial,0.6,0.153,5.87,3.06,3.06,3.06,1.0,1.0,19.8,153.1,0.0
full_eto,001,2010,11,2010-09-01,initial,0.6,0.159,5.65,2.94,2.94,2.94,1.0,1.0,19.6,172.6,0.0
full_eto,001,2010,12,2010-09-02,initial,0.6,0.165,5.38,2.8,2.8,2.8,1.0,1.0,20.4,193.0,0.0
full_eto,001,2010,13,2010-09-03,initial,0.6,0.171,5.49,2.86,2.86,2.86,1.0,1.0,21.1,214.1,0.0
full_eto,001,2010,14,2010-09-04,initial,0.6,0.177,5.64,2.93,2.93,2.93,1.0,1.0,21.2,235.3,0.0
full_eto,001,2010,15,2010-09-05,initial,0.6,0.183,5.3,2.76,2.76,2.76,1.0,1.0,21.5,256.8,0.0
full_eto,001,2010,16,2010-09-06,initial,0.6,0.189,5.94,3.09,3.09,3.09,1.0,1.0,23.4,280.2,0.0
full_eto,001,2010,17,2010-09-07,initial,0.6,0.195,6.22,3.23,3.23,3.23,1.0,0.952,22.0,302.2,0.0
full_eto,001,2010,18,2010-09-08,initial,0.6,0.201,5.52,2.87,2.87,2.87,1.0,1.0,23.5,325.7,0.0
full_eto,001,2010,19,2010-09-09,initial,0.6,0.207,5.3,2.76,2.76,2.76,1.0,1.0,24.2,349.9,0.0
full_eto,001,2010,20,2010-09-10,initial,0.6,0.212,5.32,2.77,2.77,2.77,1.0,1.0,25.0,374.9,0.0
full_eto,001,2010,21,2010-09-11,development,0.6,0.212,5.26,2.74,2.74,2.74,1.0,1.0,25.1,400.1,0.0
full_eto,001,2010,22,2010-09-12,development,0.614,0.231,5.43,2.89,2.89,2.89,1.0,1.0,27.1,427.2,0.0
full_eto,001,2010,23,2010-09-13,development,0.628,0.25,5.63,3.06,3.06,3.06,1.0,1.0,28.7,455.8,0.0
full_eto,001,2010,24,2010-09-14,development,0.641,0.268,5.15,2.87,2.87,2.87,1.0,1.0,31.2,487.0,0.0
full_eto,001,2010,25,2010-09-15,development,0.655,0.287,4.76,2.71,2.71,2.71,1.0,1.0,33.9,520.9,0.0
full_eto,001,2010,26,2010-09-16,development,0.669,0.305,4.91,2.85,2.85,2.85,1.0,1.0,34.7,555.7,0.0
full_eto,001,2010,27,2010-09-17,development,0.683,0.324,4.81,2.86,2.86,2.86,1.0,1.0,37.0,592.7,0.0
full_eto,001,2010,28,2010-09-18,development,0.697,0.342,5.16,3.12,3.12,3.12,1.0,1.0,39.7,632.3,0.0
full_eto,001,2010,29,2010-09-19,development,0.71,0.361,4.05,2.49,2.49,2.49,1.0,1.0,41.6,673.9,0.0
full_eto,001,2010,30,2010-09-20,development,0.724,0.379,3.84,2.41,2.41,2.41,1.0,1.0,42.9,716.8,0.0
full_eto,001,2010,31,2010-09-21,development,0.738,0.398,4.28,2.73,2.73,2.73,1.0,1.0,40.3,757.1,0.0
full_eto,001,2010,32,2010-09-22,development,0.752,0.416,3.84,2.49,2.49,2.49,1.0,1.0,25.1,782.3,0.0
full_eto,001,2010,33,2010-09-23,development,0.766,0.435,4.46,2.96,2.96,2.96,1.0,1.0,44.1,826.3,0.0
full_eto,001,2010,34,2010-09-24,development,0.779,0.453,4.67,3.15,3.15,3.15,1.0,1.0,42.2,868.5,0.0
full_eto,001,2010,35,2010-09-25,development,0.793,0.472,4.83,3.32,3.32,3.32,1.0,1.0,45.8,914.3,0.0
full_eto,001,2010,36,2010-09-26,development,0.807,0.491,4.43,3.09,3.09,3.09,1.0,1.0,48.2,962.5,0.0
full_eto,001,2010,37,2010-09-27,development,0.821,0.509,4.72,3.35,3.35,3.35,1.0,0.896,43.8,1006.2,0.0
full_eto,001,2010,38,2010-09-28,development,0.834,0.528,4.67,3.37,3.37,3.37,1.0,0.823,41.0,1047.2,0.0
full_eto,001,2010,39,2010-09-29,development,0.848,0.546,4.53,3.32,3.32,3.32,1.0,0.892,47.8,1095.0,0.0
full_eto,001,2010,40,2010-09-30,development,0.862,0.565,4.31,3.21,3.21,3.21,1.0,0.856,48.6,1143.6,0.0
full_eto,001,2010,41,2010-10-01,development,0.876,0.583,3.82,2.89,2.89,2.89,1.0,0.963,54.3,1197.9,0.0
full_eto,001,2010,42,2010-10-02,development,0.89,0.602,3.53,2.71,2.71,2.71,1.0,0.746,41.9,1239.8,0.0
full_eto,001,2010,43,2010-10-03,development,0.903,0.62,3.6,2.81,2.81,2.81,1.0,0.846,46.4,1286.2,0.0
full_eto,001,2010,44,2010-10-04,development,0.917,0.639,4.05,3.21,3.21,3.21,1.0,1.0,52.0,1338.2,0.0
