# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 08-22
#   under underpv_medium (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 08-22
# CONDITION: underpv_medium
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-08-22,initial,0.6,0.1,5.17,2.56,2.56,2.56,1.0,0.941,9.1,9.1,0.0
full_eto,001,2010,2,2010-08-23,initial,0.6,0.106,4.68,2.32,2.32,2.32,1.0,1.0,10.1,19.2,0.0
full_eto,001,2010,3,2010-08-24,initial,0.6,0.112,4.66,2.31,2.31,2.31,1.0,1.0,10.6,29.7,0.0
full_eto,001,2010,4,2010-08-25,initial,0.6,0.118,4.74,2.35,2.35,2.35,1.0,1.0,11.2,41.0,0.0
full_eto,001,2010,5,2010-08-26,initial,0.6,0.124,4.54,2.26,2.26,2.26,1.0,1.0,11.8,52.8,0.0
full_eto,001,2010,6,2010-08-27,initial,0.6,0.13,4.11,2.04,2.04,2.04,1.0,1.0,12.6,65.4,0.0
full_eto,001,2010,7,2010-08-28,initial,0.6,0.136,4.29,2.13,2.13,2.13,1.0,1.0,12.8,78.2,0.0
full_eto,001,2010,8,2010-08-29,initial,0.6,0.141,5.16,2.56,2.56,2.56,1.0,1.0,13.3,91.5,0.0
full_eto,001,2010,9,2010-08-30,initial,0.6,0.147,5.35,2.65,2.65,2.65,1.0,1.0,14.4,105.9,0.0
full_eto,001,2010,10,2010-08-31,initial,0.6,0.153,5.09,2.53,2.53,2.53,1.0,1.0,15.2,121.1,0.0
full_eto,001,2010,11,2010-09-01,initial,0.6,0.159,4.88,2.42,2.42,2.42,1.0,1.0,15.1,136.1,0.0
full_eto,001,2010,12,2010-09-02,initial,0.6,0.165,4.64,2.31,2.31,2.31,1.0,1.0,15.7,151.8,0.0
full_eto,001,2010,13,2010-09-03,initial,0.6,0.171,4.73,2.35,2.35,2.35,1.0,1.0,16.2,168.0,0.0
full_eto,001,2010,14,2010-09-04,initial,0.6,0.177,4.87,2.42,2.42,2.42,1.0,1.0,16.3,184.4,0.0
full_eto,001,2010,15,2010-09-05,initial,0.6,0.183,4.57,2.27,2.27,2.27,1.0,1.0,16.5,200.9,0.0
full_eto,001,2010,16,2010-09-06,initial,0.6,0.189,5.12,2.54,2.54,2.54,1.0,1.0,18.0,218.9,0.0
full_eto,001,2010,17,2010-09-07,initial,0.6,0.195,5.39,2.67,2.67,2.67,1.0,1.0,17.8,236.7,0.0
full_eto,001,2010,18,2010-09-08,initial,0.6,0.201,4.77,2.36,2.36,2.36,1.0,1.0,18.1,254.8,0.0
full_eto,001,2010,19,2010-09-09,initial,0.6,0.207,4.59,2.28,2.28,2.28,1.0,1.0,18.6,273.4,0.0
full_eto,001,2010,20,2010-09-10,initial,0.6,0.212,4.58,2.27,2.27,2.27,1.0,1.0,19.2,292.7,0.0
full_eto,001,2010,21,2010-09-11,development,0.6,0.212,4.55,2.26,2.26,2.26,1.0,1.0,19.3,311.9,0.0
full_eto,001,2010,22,2010-09-12,development,0.614,0.231,4.66,2.36,2.36,2.36,1.0,1.0,20.8,332.8,0.0
full_eto,001,2010,23,2010-09-13,development,0.628,0.25,4.9,2.55,2.55,2.55,1.0,1.0,22.1,354.8,0.0
full_eto,001,2010,24,2010-09-14,development,0.641,0.268,4.5,2.4,2.4,2.4,1.0,1.0,24.0,378.9,0.0
full_eto,001,2010,25,2010-09-15,development,0.655,0.287,4.11,2.24,2.24,2.24,1.0,1.0,26.0,404.9,0.0
