# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-05
#   under openfield (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-05
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-05,initial,0.6,0.1,2.94,1.77,1.77,1.77,1.0,0.11,1.3,1.3,0.0
full_eto,001,2010,2,2010-02-06,initial,0.6,0.106,2.98,1.79,1.79,1.79,1.0,0.162,2.2,3.5,0.0
full_eto,001,2010,3,2010-02-07,initial,0.6,0.112,2.79,1.68,1.68,1.68,1.0,0.35,5.3,8.8,0.0
full_eto,001,2010,4,2010-02-08,initial,0.6,0.118,3.07,1.84,1.84,1.84,1.0,0.645,9.6,18.4,0.0
full_eto,001,2010,5,2010-02-09,initial,0.6,0.124,3.05,1.83,1.83,1.83,1.0,0.695,11.1,29.5,0.0
full_eto,001,2010,6,2010-02-10,initial,0.6,0.13,3.1,1.86,1.86,1.86,1.0,0.785,13.5,43.0,0.0
full_eto,001,2010,7,2010-02-11,initial,0.6,0.136,3.43,2.06,2.06,2.06,1.0,0.856,14.7,57.8,0.0
full_eto,001,2010,8,2010-02-12,initial,0.6,0.141,3.35,2.01,2.01,2.01,1.0,1.0,19.2,77.0,0.0
full_eto,001,2010,9,2010-02-13,initial,0.6,0.147,3.69,2.22,2.22,2.22,1.0,1.0,19.9,96.9,0.0
full_eto,001,2010,10,2010-02-14,initial,0.6,0.153,3.41,2.05,2.05,2.05,1.0,1.0,17.4,114.2,0.0
full_eto,001,2010,11,2010-02-15,initial,0.6,0.159,3.47,2.08,2.08,2.08,1.0,1.0,18.1,132.3,0.0
full_eto,001,2010,12,2010-02-16,initial,0.6,0.165,3.35,2.01,2.01,2.01,1.0,1.0,20.4,152.7,0.0
full_eto,001,2010,13,2010-02-17,initial,0.6,0.171,3.91,2.34,2.34,2.34,1.0,1.0,23.1,175.8,0.0
full_eto,001,2010,14,2010-02-18,initial,0.6,0.177,3.98,2.39,2.39,2.39,1.0,1.0,24.3,200.1,0.0
full_eto,001,2010,15,2010-02-19,initial,0.6,0.183,4.56,2.74,2.74,2.74,1.0,1.0,26.1,226.2,0.0
full_eto,001,2010,16,2010-02-20,initial,0.6,0.189,4.2,2.52,2.52,2.52,1.0,1.0,27.5,253.7,0.0
full_eto,001,2010,17,2010-02-21,initial,0.6,0.195,4.17,2.5,2.5,2.5,1.0,1.0,29.0,282.6,0.0
full_eto,001,2010,18,2010-02-22,initial,0.6,0.201,4.01,2.41,2.41,2.41,1.0,0.956,26.1,308.8,0.0
full_eto,001,2010,19,2010-02-23,initial,0.6,0.207,4.13,2.48,2.48,2.49,1.0,0.867,25.3,334.1,0.0
full_eto,001,2010,20,2010-02-24,initial,0.6,0.212,3.92,2.35,2.35,2.35,1.0,0.848,24.3,358.3,0.0
full_eto,001,2010,21,2010-02-25,development,0.6,0.212,3.68,2.21,2.21,2.36,1.0,0.903,20.9,379.2,0.0
full_eto,001,2010,22,2010-02-26,development,0.614,0.231,3.18,1.95,1.95,2.04,1.0,0.601,15.7,394.9,0.0
full_eto,001,2010,23,2010-02-27,development,0.628,0.25,3.62,2.27,2.27,2.27,1.0,0.626,23.2,418.1,0.0
full_eto,001,2010,24,2010-02-28,development,0.641,0.268,4.38,2.81,2.81,2.81,1.0,0.828,27.0,445.2,0.0
full_eto,001,2010,25,2010-03-01,development,0.655,0.287,4.25,2.78,2.78,2.8,1.0,0.591,25.4,470.6,0.0
full_eto,001,2010,26,2010-03-02,development,0.669,0.305,4.19,2.81,2.81,2.81,1.0,0.897,42.3,512.9,0.0
full_eto,001,2010,27,2010-03-03,development,0.683,0.324,4.16,2.84,2.84,2.84,1.0,0.973,45.4,558.3,0.0
full_eto,001,2010,28,2010-03-04,development,0.697,0.342,4.92,3.43,3.43,3.43,1.0,0.832,46.2,604.5,0.0
full_eto,001,2010,29,2010-03-05,development,0.71,0.361,4.17,2.96,2.96,2.96,1.0,1.0,52.3,656.8,0.0
full_eto,001,2010,30,2010-03-06,development,0.724,0.379,4.36,3.16,3.16,3.16,1.0,1.0,60.4,717.1,0.0
full_eto,001,2010,31,2010-03-07,development,0.738,0.398,4.74,3.5,3.5,3.5,1.0,1.0,64.9,782.0,0.0
full_eto,001,2010,32,2010-03-08,development,0.752,0.416,4.71,3.54,3.54,3.54,1.0,1.0,66.8,848.8,0.0
full_eto,001,2010,33,2010-03-09,development,0.766,0.435,4.84,3.71,3.71,3.71,1.0,1.0,63.1,911.9,0.0
full_eto,001,2010,34,2010-03-10,development,0.779,0.453,4.78,3.72,3.72,3.72,1.0,1.0,71.0,982.9,0.0
full_eto,001,2010,35,2010-03-11,development,0.793,0.472,4.91,3.89,3.89,3.89,1.0,1.0,78.2,1061.1,0.0
full_eto,001,2010,36,2010-03-12,development,0.807,0.491,5.0,4.03,4.03,4.03,1.0,1.0,82.3,1143.4,0.0
full_eto,001,2010,37,2010-03-13,development,0.821,0.509,5.06,4.15,4.15,4.15,1.0,1.0,84.3,1227.7,0.0
full_eto,001,2010,38,2010-03-14,development,0.834,0.528,4.44,3.7,3.7,3.7,1.0,1.0,72.8,1300.4,0.0
full_eto,001,2010,39,2010-03-15,development,0.848,0.546,4.29,3.64,3.64,3.64,1.0,1.0,68.1,1368.5,0.0
full_eto,001,2010,40,2010-03-16,development,0.862,0.565,4.74,4.09,4.09,4.09,1.0,0.971,80.9,1449.4,0.0
full_eto,001,2010,41,2010-03-17,development,0.876,0.583,4.1,3.59,3.59,3.59,1.0,0.837,73.0,1522.3,0.0
full_eto,001,2010,42,2010-03-18,development,0.89,0.602,4.75,4.22,4.22,4.22,1.0,0.641,65.9,1588.3,0.0
full_eto,001,2010,43,2010-03-19,development,0.903,0.62,5.07,4.58,4.58,4.58,1.0,0.578,65.2,1653.5,0.0
full_eto,001,2010,44,2010-03-20,development,0.917,0.639,5.27,4.83,4.83,4.83,1.0,0.72,81.3,1734.8,0.0
full_eto,001,2010,45,2010-03-21,development,0.931,0.657,4.97,4.63,4.63,4.63,1.0,0.881,95.8,1830.6,0.0
full_eto,001,2010,46,2010-03-22,development,0.945,0.676,5.07,4.79,4.79,4.79,1.0,1.0,112.6,1943.2,0.0
full_eto,001,2010,47,2010-03-23,development,0.959,0.694,4.88,4.68,4.68,4.68,1.0,0.882,104.0,2047.2,0.0
full_eto,001,2010,48,2010-03-24,development,0.972,0.713,4.44,4.32,4.32,4.32,1.0,0.979,119.9,2167.1,0.0
full_eto,001,2010,49,2010-03-25,development,0.986,0.731,5.18,5.11,5.11,5.11,1.0,0.982,119.5,2286.6,0.0
full_eto,001,2010,50,2010-03-26,development,1.0,0.75,4.42,4.42,4.42,4.42,1.0,0.755,96.7,2383.2,0.0
full_eto,001,2010,51,2010-03-27,mid,1.0,0.75,4.28,4.28,4.28,4.31,1.0,0.645,75.2,2458.4,0.0
full_eto,001,2010,52,2010-03-28,mid,1.0,0.75,4.27,4.27,4.27,4.27,1.0,0.854,111.7,2570.1,0.0
full_eto,001,2010,53,2010-03-29,mid,1.0,0.75,4.6,4.6,4.6,4.6,1.0,1.0,130.2,2700.4,0.0
full_eto,001,2010,54,2010-03-30,mid,1.0,0.75,5.04,5.04,5.04,5.04,1.0,0.876,124.7,2825.0,0.0
full_eto,001,2010,55,2010-03-31,mid,1.0,0.75,5.14,5.14,5.14,5.14,1.0,0.859,127.3,2952.3,0.0
full_eto,001,2010,56,2010-04-01,mid,1.0,0.75,5.94,5.94,5.94,5.94,1.0,1.0,147.4,3099.7,0.0
full_eto,001,2010,57,2010-04-02,mid,1.0,0.75,6.32,6.32,6.32,6.32,1.0,1.0,143.1,3242.8,0.0
full_eto,001,2010,58,2010-04-03,mid,1.0,0.75,6.13,6.13,6.13,6.13,1.0,1.0,131.0,3373.8,0.0
full_eto,001,2010,59,2010-04-04,mid,1.0,0.75,5.54,5.54,5.54,5.54,1.0,1.0,124.8,3498.6,0.0
full_eto,001,2010,60,2010-04-05,mid,1.0,0.75,5.88,5.88,5.88,5.88,1.0,1.0,139.6,3638.2,0.0
full_eto,001,2010,61,2010-04-06,mid,1.0,0.75,5.6,5.6,5.6,5.6,1.0,0.983,141.6,3779.8,0.0
full_eto,001,2010,62,2010-04-07,mid,1.0,0.75,5.56,5.56,5.56,5.56,1.0,0.983,140.8,3920.6,0.0
full_eto,001,2010,63,2010-04-08,mid,1.0,0.75,5.31,5.31,5.31,5.31,1.0,0.938,134.2,4054.8,0.0
full_eto,001,2010,64,2010-04-09,mid,1.0,0.75,5.57,5.57,5.57,5.57,1.0,0.97,137.7,4192.4,0.0
full_eto,001,2010,65,2010-04-10,mid,1.0,0.75,5.12,5.12,5.12,5.12,1.0,1.0,132.0,4324.4,0.0
full_eto,001,2010,66,2010-04-11,mid,1.0,0.75,5.6,5.6,5.6,5.6,1.0,1.0,126.7,4451.2,0.0
full_eto,001,2010,67,2010-04-12,mid,1.0,0.75,5.13,5.13,5.13,5.13,1.0,0.955,133.6,4584.8,0.0
full_eto,001,2010,68,2010-04-13,mid,1.0,0.75,5.3,5.3,5.3,5.3,1.0,0.831,125.9,4710.7,0.0
full_eto,001,2010,69,2010-04-14,mid,1.0,0.75,5.82,5.82,5.82,5.82,1.0,1.0,148.5,4859.2,0.0
full_eto,001,2010,70,2010-04-15,mid,1.0,0.75,5.38,5.38,5.38,5.38,1.0,1.0,144.1,5003.3,0.0
full_eto,001,2010,71,2010-04-16,mid,1.0,0.75,5.58,5.58,5.58,5.58,1.0,1.0,147.7,5151.0,0.0
full_eto,001,2010,72,2010-04-17,mid,1.0,0.75,6.38,6.38,6.38,6.38,1.0,1.0,152.4,5303.4,0.0
