# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-05
#   under underpv_low (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-05
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-05,initial,0.6,0.1,2.57,1.35,1.35,1.35,1.0,0.029,0.2,0.2,0.0
full_eto,001,2010,2,2010-02-06,initial,0.6,0.106,2.57,1.35,1.35,1.35,1.0,0.082,0.7,0.9,0.0
full_eto,001,2010,3,2010-02-07,initial,0.6,0.112,2.27,1.19,1.19,1.19,1.0,0.27,2.7,3.6,0.0
full_eto,001,2010,4,2010-02-08,initial,0.6,0.118,2.51,1.31,1.31,1.31,1.0,0.565,5.5,9.1,0.0
full_eto,001,2010,5,2010-02-09,initial,0.6,0.124,2.46,1.28,1.28,1.28,1.0,0.616,6.4,15.5,0.0
full_eto,001,2010,6,2010-02-10,initial,0.6,0.13,2.46,1.28,1.28,1.28,1.0,0.705,7.9,23.3,0.0
full_eto,001,2010,7,2010-02-11,initial,0.6,0.136,2.82,1.47,1.47,1.47,1.0,0.777,8.7,32.0,0.0
full_eto,001,2010,8,2010-02-12,initial,0.6,0.141,2.6,1.36,1.36,1.36,1.0,0.963,12.0,44.1,0.0
full_eto,001,2010,9,2010-02-13,initial,0.6,0.147,2.92,1.52,1.52,1.52,1.0,1.0,12.9,57.0,0.0
full_eto,001,2010,10,2010-02-14,initial,0.6,0.153,2.71,1.41,1.41,1.41,1.0,1.0,11.3,68.3,0.0
full_eto,001,2010,11,2010-02-15,initial,0.6,0.159,2.73,1.42,1.42,1.42,1.0,1.0,11.8,80.1,0.0
full_eto,001,2010,12,2010-02-16,initial,0.6,0.165,2.5,1.3,1.3,1.3,1.0,1.0,13.3,93.4,0.0
full_eto,001,2010,13,2010-02-17,initial,0.6,0.171,3.04,1.58,1.58,1.58,1.0,1.0,15.0,108.4,0.0
full_eto,001,2010,14,2010-02-18,initial,0.6,0.177,3.09,1.61,1.61,1.61,1.0,1.0,15.8,124.2,0.0
full_eto,001,2010,15,2010-02-19,initial,0.6,0.183,3.75,1.95,1.95,1.95,1.0,1.0,17.0,141.1,0.0
full_eto,001,2010,16,2010-02-20,initial,0.6,0.189,3.35,1.74,1.74,1.74,1.0,1.0,17.9,159.0,0.0
full_eto,001,2010,17,2010-02-21,initial,0.6,0.195,3.23,1.68,1.68,1.68,1.0,1.0,18.8,177.8,0.0
full_eto,001,2010,18,2010-02-22,initial,0.6,0.201,3.35,1.75,1.75,1.75,1.0,0.876,15.6,193.4,0.0
full_eto,001,2010,19,2010-02-23,initial,0.6,0.207,3.47,1.82,1.82,1.83,1.0,0.787,14.9,208.3,0.0
full_eto,001,2010,20,2010-02-24,initial,0.6,0.212,3.25,1.7,1.7,1.7,1.0,0.768,14.3,222.6,0.0
full_eto,001,2010,21,2010-02-25,development,0.6,0.212,3.1,1.61,1.61,1.76,1.0,0.823,12.3,235.0,0.0
full_eto,001,2010,22,2010-02-26,development,0.614,0.231,2.7,1.45,1.45,1.54,1.0,0.521,8.8,243.8,0.0
full_eto,001,2010,23,2010-02-27,development,0.628,0.25,2.94,1.61,1.61,1.61,1.0,0.546,13.2,257.0,0.0
full_eto,001,2010,24,2010-02-28,development,0.641,0.268,3.78,2.11,2.11,2.11,1.0,0.748,15.9,272.9,0.0
full_eto,001,2010,25,2010-03-01,development,0.655,0.287,3.62,2.07,2.07,2.09,1.0,0.512,14.3,287.2,0.0
full_eto,001,2010,26,2010-03-02,development,0.669,0.305,3.38,1.97,1.97,1.97,1.0,0.817,25.0,312.2,0.0
full_eto,001,2010,27,2010-03-03,development,0.683,0.324,3.37,2.0,2.0,2.0,1.0,0.893,27.0,339.2,0.0
full_eto,001,2010,28,2010-03-04,development,0.697,0.342,4.15,2.52,2.52,2.52,1.0,0.752,27.2,366.4,0.0
full_eto,001,2010,29,2010-03-05,development,0.71,0.361,3.28,2.02,2.02,2.02,1.0,1.0,33.9,400.3,0.0
full_eto,001,2010,30,2010-03-06,development,0.724,0.379,3.41,2.15,2.15,2.15,1.0,1.0,39.2,439.5,0.0
full_eto,001,2010,31,2010-03-07,development,0.738,0.398,3.82,2.45,2.45,2.45,1.0,1.0,42.2,481.7,0.0
full_eto,001,2010,32,2010-03-08,development,0.752,0.416,3.64,2.37,2.37,2.37,1.0,1.0,43.4,525.1,0.0
full_eto,001,2010,33,2010-03-09,development,0.766,0.435,3.92,2.61,2.61,2.61,1.0,1.0,41.0,566.1,0.0
full_eto,001,2010,34,2010-03-10,development,0.779,0.453,3.76,2.54,2.54,2.54,1.0,1.0,46.2,612.3,0.0
full_eto,001,2010,35,2010-03-11,development,0.793,0.472,3.75,2.58,2.58,2.58,1.0,1.0,50.8,663.1,0.0
