# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-15
#   under openfield (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-15
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,6.18,3.71,3.71,1.0,1.0,11.4,11.4,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.106,7.06,4.24,4.24,1.0,1.0,13.1,24.4,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.112,7.1,4.26,4.26,1.0,1.0,15.1,39.6,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.118,7.59,4.55,4.55,1.0,1.0,16.1,55.7,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.124,7.6,4.56,4.56,1.0,1.0,17.7,73.4,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.13,7.6,4.56,4.56,1.0,1.0,18.8,92.2,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.136,7.66,4.6,4.6,1.0,1.0,20.2,112.4,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.141,5.9,3.54,3.54,1.0,0.956,18.4,130.8,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.147,6.3,3.78,3.79,1.0,0.867,18.0,148.8,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.153,6.71,4.03,4.03,1.0,0.848,17.5,166.3,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.159,7.07,4.24,4.39,1.0,0.903,15.6,182.0,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.165,4.9,2.94,3.03,1.0,0.601,11.2,193.2,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.171,6.06,3.63,3.63,1.0,0.626,15.9,209.1,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.177,7.73,4.64,4.64,1.0,0.828,17.9,227.0,0.0
full_eto,001,2010,15,2010-03-01,initial,0.6,0.183,6.9,4.14,4.16,1.0,0.591,16.2,243.2,0.0
full_eto,001,2010,16,2010-03-02,initial,0.6,0.189,7.4,4.44,4.44,1.0,0.897,26.2,269.4,0.0
full_eto,001,2010,17,2010-03-03,initial,0.6,0.195,7.79,4.67,4.67,1.0,0.973,27.3,296.7,0.0
full_eto,001,2010,18,2010-03-04,initial,0.6,0.201,8.13,4.88,4.88,1.0,0.832,27.1,323.8,0.0
full_eto,001,2010,19,2010-03-05,initial,0.6,0.207,7.96,4.78,4.78,1.0,1.0,29.9,353.7,0.0
full_eto,001,2010,20,2010-03-06,initial,0.6,0.212,7.37,4.42,4.42,1.0,1.0,33.8,387.5,0.0
full_eto,001,2010,21,2010-03-07,development,0.6,0.212,8.21,4.93,4.93,1.0,1.0,34.6,422.2,0.0
full_eto,001,2010,22,2010-03-08,development,0.614,0.231,8.8,5.4,5.4,1.0,1.0,37.1,459.2,0.0
full_eto,001,2010,23,2010-03-09,development,0.628,0.25,8.13,5.1,5.1,1.0,1.0,36.2,495.5,0.0
full_eto,001,2010,24,2010-03-10,development,0.641,0.268,8.01,5.14,5.14,1.0,1.0,42.0,537.4,0.0
full_eto,001,2010,25,2010-03-11,development,0.655,0.287,8.46,5.54,5.54,1.0,1.0,47.5,584.9,0.0
full_eto,001,2010,26,2010-03-12,development,0.669,0.305,8.87,5.93,5.93,1.0,1.0,51.2,636.1,0.0
full_eto,001,2010,27,2010-03-13,development,0.683,0.324,8.36,5.71,5.71,1.0,1.0,53.6,689.7,0.0
full_eto,001,2010,28,2010-03-14,development,0.697,0.342,7.1,4.94,4.94,1.0,1.0,47.2,736.9,0.0
full_eto,001,2010,29,2010-03-15,development,0.71,0.361,7.43,5.28,5.28,1.0,1.0,45.0,781.9,0.0
full_eto,001,2010,30,2010-03-16,development,0.724,0.379,7.39,5.35,5.35,1.0,0.971,54.3,836.2,0.0
full_eto,001,2010,31,2010-03-17,development,0.738,0.398,6.21,4.58,4.58,1.0,0.837,49.8,886.0,0.0
full_eto,001,2010,32,2010-03-18,development,0.752,0.416,7.24,5.45,5.45,1.0,0.641,45.6,931.6,0.0
full_eto,001,2010,33,2010-03-19,development,0.766,0.435,8.61,6.59,6.59,1.0,0.578,45.7,977.3,0.0
full_eto,001,2010,34,2010-03-20,development,0.779,0.453,9.2,7.17,7.17,1.0,0.72,57.7,1035.0,0.0
full_eto,001,2010,35,2010-03-21,development,0.793,0.472,9.66,7.66,7.66,1.0,0.881,68.8,1103.8,0.0
full_eto,001,2010,36,2010-03-22,development,0.807,0.491,9.74,7.86,7.86,1.0,1.0,81.8,1185.6,0.0
full_eto,001,2010,37,2010-03-23,development,0.821,0.509,8.76,7.19,7.19,1.0,0.882,76.2,1261.8,0.0
full_eto,001,2010,38,2010-03-24,development,0.834,0.528,8.83,7.37,7.37,1.0,0.979,88.7,1350.5,0.0
full_eto,001,2010,39,2010-03-25,development,0.848,0.546,8.41,7.13,7.13,1.0,0.982,89.2,1439.7,0.0
full_eto,001,2010,40,2010-03-26,development,0.862,0.565,7.11,6.13,6.13,1.0,0.755,72.8,1512.5,0.0
full_eto,001,2010,41,2010-03-27,development,0.876,0.583,7.51,6.57,6.6,1.0,0.645,58.4,1570.9,0.0
full_eto,001,2010,42,2010-03-28,development,0.89,0.602,8.44,7.51,7.51,1.0,0.854,89.6,1660.6,0.0
full_eto,001,2010,43,2010-03-29,development,0.903,0.62,8.94,8.07,8.07,1.0,1.0,107.7,1768.3,0.0
full_eto,001,2010,44,2010-03-30,development,0.917,0.639,7.86,7.21,7.21,1.0,0.876,106.2,1874.4,0.0
full_eto,001,2010,45,2010-03-31,development,0.931,0.657,8.79,8.18,8.18,1.0,0.859,111.6,1986.1,0.0
full_eto,001,2010,46,2010-04-01,development,0.945,0.676,11.91,11.25,11.25,1.0,1.0,132.8,2118.8,0.0
full_eto,001,2010,47,2010-04-02,development,0.959,0.694,13.45,12.89,12.89,1.0,1.0,132.5,2251.3,0.0
full_eto,001,2010,48,2010-04-03,development,0.972,0.713,12.99,12.64,12.64,1.0,1.0,124.5,2375.9,0.0
full_eto,001,2010,49,2010-04-04,development,0.986,0.731,10.68,10.54,10.54,1.0,1.0,121.7,2497.6,0.0
full_eto,001,2010,50,2010-04-05,development,1.0,0.75,10.23,10.23,10.23,1.0,1.0,139.6,2637.2,0.0
full_eto,001,2010,51,2010-04-06,mid,1.0,0.75,9.25,9.25,9.25,1.0,0.983,141.6,2778.8,0.0
full_eto,001,2010,52,2010-04-07,mid,1.0,0.75,8.88,8.88,8.88,1.0,0.983,140.8,2919.5,0.0
full_eto,001,2010,53,2010-04-08,mid,1.0,0.75,8.38,8.38,8.38,1.0,0.938,134.2,3053.7,0.0
full_eto,001,2010,54,2010-04-09,mid,1.0,0.75,9.69,9.69,9.69,1.0,0.97,137.7,3191.4,0.0
full_eto,001,2010,55,2010-04-10,mid,1.0,0.75,11.68,11.68,11.68,1.0,1.0,132.0,3323.4,0.0
full_eto,001,2010,56,2010-04-11,mid,1.0,0.75,10.77,10.77,10.77,1.0,1.0,126.7,3450.1,0.0
full_eto,001,2010,57,2010-04-12,mid,1.0,0.75,8.03,8.03,8.03,1.0,0.955,133.6,3583.7,0.0
full_eto,001,2010,58,2010-04-13,mid,1.0,0.75,8.91,8.91,8.91,1.0,0.831,125.9,3709.7,0.0
full_eto,001,2010,59,2010-04-14,mid,1.0,0.75,10.25,10.25,10.25,1.0,1.0,148.5,3858.2,0.0
full_eto,001,2010,60,2010-04-15,mid,1.0,0.75,11.1,11.1,11.1,1.0,1.0,144.1,4002.2,0.0
full_eto,001,2010,61,2010-04-16,mid,1.0,0.75,10.71,10.71,10.71,1.0,1.0,147.7,4150.0,0.0
