# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-15
#   under underpv_high (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-15
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,5.82,2.04,2.04,1.0,1.0,4.0,4.0,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.106,6.66,2.33,2.33,1.0,1.0,4.6,8.6,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.112,6.69,2.34,2.34,1.0,1.0,5.3,13.8,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.118,7.15,2.5,2.5,1.0,1.0,5.6,19.5,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.124,7.15,2.51,2.51,1.0,0.986,6.1,25.6,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.13,7.15,2.51,2.51,1.0,0.95,6.3,31.8,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.136,7.21,2.53,2.53,1.0,1.0,7.1,38.9,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.141,5.53,1.95,1.95,1.0,0.706,4.8,43.7,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.147,5.89,2.08,2.09,1.0,0.617,4.5,48.1,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.153,6.27,2.21,2.21,1.0,0.598,4.3,52.5,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.159,6.61,2.33,2.48,1.0,0.653,4.0,56.4,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.165,4.56,1.62,1.71,1.0,0.351,2.3,58.7,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.171,5.64,2.0,2.0,1.0,0.376,3.4,62.1,0.0
