# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-15
#   under underpv_low (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-15
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,6.06,3.15,3.15,1.0,1.0,7.4,7.4,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.106,6.93,3.6,3.6,1.0,1.0,8.5,15.9,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.112,6.97,3.62,3.62,1.0,1.0,9.8,25.7,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.118,7.45,3.87,3.87,1.0,1.0,10.5,36.2,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.124,7.46,3.88,3.88,1.0,1.0,11.5,47.7,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.13,7.46,3.88,3.88,1.0,1.0,12.3,60.0,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.136,7.52,3.91,3.91,1.0,1.0,13.1,73.1,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.141,5.78,3.01,3.01,1.0,0.876,11.0,84.0,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.147,6.17,3.21,3.22,1.0,0.787,10.6,94.7,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.153,6.57,3.42,3.42,1.0,0.768,10.3,105.0,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.159,6.92,3.6,3.75,1.0,0.823,9.2,114.3,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.165,4.79,2.5,2.59,1.0,0.521,6.3,120.6,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.171,5.92,3.09,3.09,1.0,0.546,9.0,129.6,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.177,7.57,3.94,3.94,1.0,0.748,10.5,140.1,0.0
full_eto,001,2010,15,2010-03-01,initial,0.6,0.183,6.74,3.52,3.54,1.0,0.512,9.1,149.2,0.0
full_eto,001,2010,16,2010-03-02,initial,0.6,0.189,7.25,3.77,3.77,1.0,0.817,15.5,164.7,0.0
full_eto,001,2010,17,2010-03-03,initial,0.6,0.195,7.63,3.97,3.97,1.0,0.893,16.3,181.0,0.0
full_eto,001,2010,18,2010-03-04,initial,0.6,0.201,7.96,4.15,4.15,1.0,0.752,15.9,196.9,0.0
full_eto,001,2010,19,2010-03-05,initial,0.6,0.207,7.81,4.06,4.06,1.0,1.0,19.4,216.3,0.0
full_eto,001,2010,20,2010-03-06,initial,0.6,0.212,7.22,3.76,3.76,1.0,1.0,22.0,238.3,0.0
full_eto,001,2010,21,2010-03-07,development,0.6,0.212,8.05,4.19,4.19,1.0,1.0,22.5,260.8,0.0
full_eto,001,2010,22,2010-03-08,development,0.614,0.231,8.63,4.59,4.59,1.0,1.0,24.1,284.9,0.0
full_eto,001,2010,23,2010-03-09,development,0.628,0.25,7.98,4.34,4.34,1.0,1.0,23.5,308.4,0.0
full_eto,001,2010,24,2010-03-10,development,0.641,0.268,7.87,4.37,4.37,1.0,1.0,27.3,335.7,0.0
full_eto,001,2010,25,2010-03-11,development,0.655,0.287,8.31,4.71,4.71,1.0,1.0,30.8,366.6,0.0
full_eto,001,2010,26,2010-03-12,development,0.669,0.305,8.71,5.04,5.04,1.0,1.0,33.3,399.9,0.0
full_eto,001,2010,27,2010-03-13,development,0.683,0.324,8.2,4.85,4.85,1.0,1.0,34.8,434.7,0.0
full_eto,001,2010,28,2010-03-14,development,0.697,0.342,6.97,4.2,4.2,1.0,1.0,30.7,465.4,0.0
full_eto,001,2010,29,2010-03-15,development,0.71,0.361,7.29,4.48,4.48,1.0,1.0,29.3,494.7,0.0
full_eto,001,2010,30,2010-03-16,development,0.724,0.379,7.24,4.55,4.55,1.0,0.891,32.4,527.1,0.0
full_eto,001,2010,31,2010-03-17,development,0.738,0.398,6.08,3.89,3.89,1.0,0.756,29.3,556.3,0.0
full_eto,001,2010,32,2010-03-18,development,0.752,0.416,7.08,4.63,4.63,1.0,0.561,25.9,582.3,0.0
full_eto,001,2010,33,2010-03-19,development,0.766,0.435,8.42,5.6,5.6,1.0,0.498,25.6,607.9,0.0
full_eto,001,2010,34,2010-03-20,development,0.779,0.453,9.0,6.09,6.09,1.0,0.64,33.3,641.2,0.0
full_eto,001,2010,35,2010-03-21,development,0.793,0.472,9.46,6.51,6.51,1.0,0.801,40.7,681.9,0.0
full_eto,001,2010,36,2010-03-22,development,0.807,0.491,9.55,6.68,6.68,1.0,0.923,49.1,730.9,0.0
full_eto,001,2010,37,2010-03-23,development,0.821,0.509,8.58,6.11,6.11,1.0,0.802,45.1,776.0,0.0
full_eto,001,2010,38,2010-03-24,development,0.834,0.528,8.66,6.27,6.27,1.0,0.898,53.0,828.9,0.0
full_eto,001,2010,39,2010-03-25,development,0.848,0.546,8.24,6.06,6.06,1.0,0.902,53.2,882.2,0.0
full_eto,001,2010,40,2010-03-26,development,0.862,0.565,6.96,5.21,5.21,1.0,0.675,42.3,924.4,0.0
full_eto,001,2010,41,2010-03-27,development,0.876,0.583,7.34,5.59,5.62,1.0,0.566,33.3,957.7,0.0
full_eto,001,2010,42,2010-03-28,development,0.89,0.602,8.27,6.39,6.39,1.0,0.774,52.8,1010.4,0.0
