# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-15
#   under underpv_medium (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,5.96,2.96,2.96,1.0,1.0,5.7,5.7,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.106,6.82,3.39,3.39,1.0,1.0,6.5,12.2,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.112,6.85,3.41,3.41,1.0,1.0,7.5,19.7,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.118,7.33,3.64,3.64,1.0,1.0,8.1,27.8,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.124,7.33,3.65,3.65,1.0,1.0,8.8,36.7,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.13,7.33,3.65,3.65,1.0,1.0,9.4,46.1,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.136,7.39,3.68,3.68,1.0,1.0,10.1,56.1,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.141,5.68,2.83,2.83,1.0,0.805,7.8,63.9,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.147,6.05,3.02,3.03,1.0,0.717,7.5,71.4,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.153,6.45,3.22,3.22,1.0,0.698,7.2,78.6,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.159,6.79,3.39,3.54,1.0,0.754,6.5,85.1,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.165,4.7,2.35,2.44,1.0,0.451,4.2,89.3,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.171,5.81,2.91,2.91,1.0,0.476,6.1,95.4,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.177,7.43,3.71,3.71,1.0,0.678,7.3,102.7,0.0
full_eto,001,2010,15,2010-03-01,initial,0.6,0.183,6.61,3.31,3.33,1.0,0.441,6.1,108.7,0.0
full_eto,001,2010,16,2010-03-02,initial,0.6,0.189,7.11,3.55,3.55,1.0,0.747,10.9,119.6,0.0
full_eto,001,2010,17,2010-03-03,initial,0.6,0.195,7.49,3.74,3.74,1.0,0.823,11.5,131.2,0.0
full_eto,001,2010,18,2010-03-04,initial,0.6,0.201,7.81,3.9,3.9,1.0,0.682,11.1,142.3,0.0
full_eto,001,2010,19,2010-03-05,initial,0.6,0.207,7.67,3.82,3.82,1.0,1.0,15.0,157.3,0.0
full_eto,001,2010,20,2010-03-06,initial,0.6,0.212,7.1,3.54,3.54,1.0,0.99,16.7,174.0,0.0
full_eto,001,2010,21,2010-03-07,development,0.6,0.212,7.91,3.94,3.94,1.0,0.933,16.1,190.2,0.0
full_eto,001,2010,22,2010-03-08,development,0.614,0.231,8.49,4.32,4.32,1.0,1.0,18.6,208.7,0.0
full_eto,001,2010,23,2010-03-09,development,0.628,0.25,7.85,4.08,4.08,1.0,1.0,18.1,226.8,0.0
full_eto,001,2010,24,2010-03-10,development,0.641,0.268,7.74,4.11,4.11,1.0,1.0,21.0,247.8,0.0
full_eto,001,2010,25,2010-03-11,development,0.655,0.287,8.17,4.43,4.43,1.0,1.0,23.8,271.6,0.0
full_eto,001,2010,26,2010-03-12,development,0.669,0.305,8.57,4.75,4.75,1.0,1.0,25.6,297.2,0.0
full_eto,001,2010,27,2010-03-13,development,0.683,0.324,8.07,4.57,4.57,1.0,1.0,26.8,324.1,0.0
full_eto,001,2010,28,2010-03-14,development,0.697,0.342,6.85,3.96,3.96,1.0,1.0,23.6,347.7,0.0
full_eto,001,2010,29,2010-03-15,development,0.71,0.361,7.17,4.22,4.22,1.0,1.0,22.4,370.1,0.0
full_eto,001,2010,30,2010-03-16,development,0.724,0.379,7.11,4.28,4.28,1.0,0.821,22.9,393.0,0.0
full_eto,001,2010,31,2010-03-17,development,0.738,0.398,5.97,3.67,3.67,1.0,0.687,20.4,413.4,0.0
full_eto,001,2010,32,2010-03-18,development,0.752,0.416,6.94,4.36,4.36,1.0,0.491,17.5,430.9,0.0
full_eto,001,2010,33,2010-03-19,development,0.766,0.435,8.25,5.27,5.27,1.0,0.428,16.9,447.9,0.0
full_eto,001,2010,34,2010-03-20,development,0.779,0.453,8.82,5.73,5.73,1.0,0.57,22.8,470.7,0.0
full_eto,001,2010,35,2010-03-21,development,0.793,0.472,9.28,6.13,6.13,1.0,0.731,28.5,499.2,0.0
full_eto,001,2010,36,2010-03-22,development,0.807,0.491,9.37,6.29,6.29,1.0,0.853,34.9,534.2,0.0
full_eto,001,2010,37,2010-03-23,development,0.821,0.509,8.42,5.75,5.75,1.0,0.732,31.7,565.8,0.0
full_eto,001,2010,38,2010-03-24,development,0.834,0.528,8.5,5.9,5.9,1.0,0.829,37.6,603.5,0.0
full_eto,001,2010,39,2010-03-25,development,0.848,0.546,8.09,5.71,5.71,1.0,0.832,37.8,641.2,0.0
full_eto,001,2010,40,2010-03-26,development,0.862,0.565,6.83,4.91,4.91,1.0,0.604,29.2,670.4,0.0
full_eto,001,2010,41,2010-03-27,development,0.876,0.583,7.2,5.26,5.29,1.0,0.495,22.5,692.9,0.0
full_eto,001,2010,42,2010-03-28,development,0.89,0.602,8.11,6.01,6.01,1.0,0.704,36.9,729.8,0.0
full_eto,001,2010,43,2010-03-29,development,0.903,0.62,8.6,6.46,6.46,1.0,0.877,47.2,777.0,0.0
full_eto,001,2010,44,2010-03-30,development,0.917,0.639,7.55,5.76,5.76,1.0,0.726,44.0,821.0,0.0
full_eto,001,2010,45,2010-03-31,development,0.931,0.657,8.45,6.55,6.55,1.0,0.709,46.1,867.1,0.0
full_eto,001,2010,46,2010-04-01,development,0.945,0.676,11.47,9.0,9.0,1.0,0.966,64.2,931.3,0.0
full_eto,001,2010,47,2010-04-02,development,0.959,0.694,13.0,10.31,10.31,1.0,1.0,66.2,997.6,0.0
full_eto,001,2010,48,2010-04-03,development,0.972,0.713,12.58,10.11,10.11,1.0,1.0,62.3,1059.8,0.0
full_eto,001,2010,49,2010-04-04,development,0.986,0.731,10.32,8.43,8.43,1.0,1.0,60.9,1120.7,0.0
full_eto,001,2010,50,2010-04-05,development,1.0,0.75,9.85,8.19,8.19,1.0,0.916,63.9,1184.6,0.0
full_eto,001,2010,51,2010-04-06,mid,1.0,0.75,8.9,7.4,7.4,1.0,0.833,59.9,1244.5,0.0
full_eto,001,2010,52,2010-04-07,mid,1.0,0.75,8.54,7.1,7.1,1.0,0.833,59.6,1304.1,0.0
full_eto,001,2010,53,2010-04-08,mid,1.0,0.75,8.06,6.7,6.7,1.0,0.788,56.4,1360.4,0.0
full_eto,001,2010,54,2010-04-09,mid,1.0,0.75,9.32,7.75,7.75,1.0,0.82,58.2,1418.6,0.0
full_eto,001,2010,55,2010-04-10,mid,1.0,0.75,11.27,9.35,9.35,1.0,1.0,66.1,1484.7,0.0
full_eto,001,2010,56,2010-04-11,mid,1.0,0.75,10.41,8.61,8.61,1.0,1.0,63.4,1548.1,0.0
full_eto,001,2010,57,2010-04-12,mid,1.0,0.75,7.72,6.42,6.42,1.0,0.805,56.3,1604.4,0.0
full_eto,001,2010,58,2010-04-13,mid,1.0,0.75,8.56,7.13,7.13,1.0,0.681,51.7,1656.0,0.0
full_eto,001,2010,59,2010-04-14,mid,1.0,0.75,9.87,8.2,8.2,1.0,0.862,64.0,1720.1,0.0
full_eto,001,2010,60,2010-04-15,mid,1.0,0.75,10.7,8.88,8.88,1.0,1.0,71.9,1792.0,0.0
full_eto,001,2010,61,2010-04-16,mid,1.0,0.75,10.34,8.57,8.57,1.0,1.0,73.9,1865.9,0.0
full_eto,001,2010,62,2010-04-17,mid,1.0,0.75,10.5,8.71,8.71,1.0,1.0,76.2,1942.1,0.0
full_eto,001,2010,63,2010-04-18,mid,1.0,0.75,11.38,9.43,9.43,1.0,1.0,73.5,2015.6,0.0
full_eto,001,2010,64,2010-04-19,mid,1.0,0.75,12.63,10.45,10.45,1.0,1.0,74.1,2089.6,0.0
full_eto,001,2010,65,2010-04-20,mid,1.0,0.75,11.55,9.55,9.55,1.0,1.0,72.1,2161.7,0.0
full_eto,001,2010,66,2010-04-21,mid,1.0,0.75,9.23,7.65,7.65,1.0,1.0,64.5,2226.3,0.0
full_eto,001,2010,67,2010-04-22,mid,1.0,0.75,7.13,5.93,5.93,1.0,0.782,61.4,2287.7,0.0
full_eto,001,2010,68,2010-04-23,mid,1.0,0.75,9.13,7.6,7.6,1.0,0.744,54.3,2342.0,0.0
full_eto,001,2010,69,2010-04-24,mid,1.0,0.75,11.32,9.41,9.41,1.0,0.948,74.6,2416.6,0.0
full_eto,001,2010,70,2010-04-25,mid,1.0,0.75,11.57,9.59,9.59,1.0,1.0,74.6,2491.3,0.0
full_eto,001,2010,71,2010-04-26,mid,1.0,0.75,11.36,9.41,9.41,1.0,1.0,76.2,2567.5,0.0
full_eto,001,2010,72,2010-04-27,mid,1.0,0.75,11.46,9.48,9.48,1.0,1.0,77.2,2644.7,0.0
full_eto,001,2010,73,2010-04-28,mid,1.0,0.75,8.34,6.91,6.91,1.0,1.0,71.2,2715.8,0.0
full_eto,001,2010,74,2010-04-29,mid,1.0,0.75,7.35,6.1,6.1,1.0,1.0,62.2,2778.0,0.0
full_eto,001,2010,75,2010-04-30,mid,1.0,0.75,8.04,6.67,6.69,1.0,1.0,39.7,2817.7,0.0
