# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 02-25
#   under underpv_high (winter-spring season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 02-25
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-25,initial,0.6,0.1,2.17,0.76,0.76,0.83,1.0,0.653,2.5,2.5,0.0
full_eto,001,2010,2,2010-02-26,initial,0.6,0.106,1.97,0.7,0.7,0.77,1.0,0.351,1.5,4.0,0.0
full_eto,001,2010,3,2010-02-27,initial,0.6,0.112,2.03,0.72,0.72,0.72,1.0,0.376,2.2,6.2,0.0
full_eto,001,2010,4,2010-02-28,initial,0.6,0.118,2.68,0.94,0.94,0.94,1.0,0.578,2.9,9.0,0.0
full_eto,001,2010,5,2010-03-01,initial,0.6,0.124,2.59,0.92,0.92,0.94,1.0,0.341,2.2,11.3,0.0
full_eto,001,2010,6,2010-03-02,initial,0.6,0.13,2.3,0.81,0.81,0.81,1.0,0.647,4.5,15.8,0.0
full_eto,001,2010,7,2010-03-03,initial,0.6,0.136,2.28,0.8,0.8,0.8,1.0,0.723,5.0,20.8,0.0
full_eto,001,2010,8,2010-03-04,initial,0.6,0.141,2.9,1.02,1.02,1.02,1.0,0.582,4.7,25.4,0.0
full_eto,001,2010,9,2010-03-05,initial,0.6,0.147,2.19,0.76,0.76,0.76,1.0,0.902,6.8,32.2,0.0
full_eto,001,2010,10,2010-03-06,initial,0.6,0.153,2.26,0.79,0.79,0.79,1.0,0.89,7.6,39.8,0.0
full_eto,001,2010,11,2010-03-07,initial,0.6,0.159,2.58,0.9,0.9,0.9,1.0,0.833,7.6,47.4,0.0
full_eto,001,2010,12,2010-03-08,initial,0.6,0.165,2.37,0.82,0.82,0.82,1.0,1.0,9.3,56.6,0.0
full_eto,001,2010,13,2010-03-09,initial,0.6,0.171,2.65,0.92,0.92,0.92,1.0,1.0,8.7,65.3,0.0
full_eto,001,2010,14,2010-03-10,initial,0.6,0.177,2.48,0.86,0.86,0.86,1.0,1.0,9.7,75.0,0.0
full_eto,001,2010,15,2010-03-11,initial,0.6,0.183,2.42,0.84,0.84,0.84,1.0,1.0,10.6,85.6,0.0
full_eto,001,2010,16,2010-03-12,initial,0.6,0.189,2.48,0.86,0.86,0.86,1.0,1.0,11.1,96.7,0.0
full_eto,001,2010,17,2010-03-13,initial,0.6,0.195,2.71,0.94,0.94,0.94,1.0,1.0,11.3,108.0,0.0
full_eto,001,2010,18,2010-03-14,initial,0.6,0.201,2.46,0.85,0.85,0.85,1.0,1.0,9.7,117.7,0.0
full_eto,001,2010,19,2010-03-15,initial,0.6,0.207,2.39,0.83,0.83,0.83,1.0,1.0,9.0,126.7,0.0
full_eto,001,2010,20,2010-03-16,initial,0.6,0.212,2.88,1.02,1.02,1.02,1.0,0.721,7.9,134.6,0.0
full_eto,001,2010,21,2010-03-17,development,0.6,0.212,2.42,0.86,0.86,0.86,1.0,0.587,6.5,141.1,0.0
full_eto,001,2010,22,2010-03-18,development,0.614,0.231,2.99,1.09,1.09,1.09,1.0,0.391,5.4,146.5,0.0
full_eto,001,2010,23,2010-03-19,development,0.628,0.25,2.99,1.11,1.11,1.11,1.0,0.328,5.2,151.7,0.0
full_eto,001,2010,24,2010-03-20,development,0.641,0.268,3.09,1.17,1.17,1.17,1.0,0.47,7.8,159.5,0.0
full_eto,001,2010,25,2010-03-21,development,0.655,0.287,2.77,1.06,1.06,1.06,1.0,0.631,10.5,170.0,0.0
full_eto,001,2010,26,2010-03-22,development,0.669,0.305,2.78,1.08,1.08,1.08,1.0,0.753,13.4,183.4,0.0
full_eto,001,2010,27,2010-03-23,development,0.683,0.324,2.72,1.08,1.08,1.08,1.0,0.632,12.1,195.5,0.0
full_eto,001,2010,28,2010-03-24,development,0.697,0.342,2.2,0.89,0.89,0.89,1.0,0.729,15.0,210.5,0.0
full_eto,001,2010,29,2010-03-25,development,0.71,0.361,3.06,1.27,1.27,1.27,1.0,0.732,15.4,225.9,0.0
full_eto,001,2010,30,2010-03-26,development,0.724,0.379,2.51,1.07,1.07,1.07,1.0,0.504,11.5,237.4,0.0
full_eto,001,2010,31,2010-03-27,development,0.738,0.398,2.5,1.09,1.09,1.12,1.0,0.395,8.6,246.0,0.0
full_eto,001,2010,32,2010-03-28,development,0.752,0.416,2.09,0.91,0.91,0.91,1.0,0.604,15.4,261.3,0.0
full_eto,001,2010,33,2010-03-29,development,0.766,0.435,2.28,1.01,1.01,1.01,1.0,0.777,20.5,281.8,0.0
full_eto,001,2010,34,2010-03-30,development,0.779,0.453,2.85,1.31,1.31,1.31,1.0,0.626,18.8,300.7,0.0
full_eto,001,2010,35,2010-03-31,development,0.793,0.472,2.66,1.23,1.23,1.23,1.0,0.609,19.9,320.5,0.0
full_eto,001,2010,36,2010-04-01,development,0.807,0.491,3.07,1.44,1.44,1.44,1.0,0.866,29.2,349.7,0.0
full_eto,001,2010,37,2010-04-02,development,0.821,0.509,3.19,1.5,1.5,1.5,1.0,1.0,34.0,383.8,0.0
full_eto,001,2010,38,2010-04-03,development,0.834,0.528,3.09,1.48,1.48,1.48,1.0,1.0,32.3,416.1,0.0
full_eto,001,2010,39,2010-04-04,development,0.848,0.546,2.9,1.42,1.42,1.42,1.0,1.0,31.8,447.9,0.0
