# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 03-22
#   under underpv_high (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 03-22
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,2.78,0.97,0.97,0.97,1.0,0.753,4.4,4.4,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.106,2.72,0.95,0.95,0.95,1.0,0.632,4.0,8.4,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.112,2.2,0.77,0.77,0.77,1.0,0.729,4.9,13.3,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.118,3.06,1.08,1.08,1.08,1.0,0.732,5.0,18.3,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.124,2.51,0.89,0.89,0.89,1.0,0.504,3.7,22.0,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.13,2.5,0.88,0.88,0.91,1.0,0.395,2.8,24.8,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.136,2.09,0.73,0.73,0.73,1.0,0.604,5.0,29.8,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.141,2.28,0.79,0.79,0.79,1.0,0.777,6.7,36.5,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.147,2.85,1.01,1.01,1.01,1.0,0.626,6.1,42.6,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.153,2.66,0.93,0.93,0.93,1.0,0.609,6.5,49.1,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.159,3.07,1.07,1.07,1.07,1.0,0.866,9.5,58.5,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.165,3.19,1.1,1.1,1.1,1.0,1.0,11.0,69.6,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.171,3.09,1.06,1.06,1.06,1.0,1.0,10.5,80.0,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.177,2.9,1.0,1.0,1.0,1.0,1.0,10.3,90.4,0.0
full_eto,001,2010,15,2010-04-05,initial,0.6,0.183,3.32,1.16,1.16,1.16,1.0,0.816,9.7,100.1,0.0
full_eto,001,2010,16,2010-04-06,initial,0.6,0.189,3.17,1.12,1.12,1.12,1.0,0.733,9.3,109.4,0.0
full_eto,001,2010,17,2010-04-07,initial,0.6,0.195,3.22,1.14,1.14,1.14,1.0,0.732,9.5,118.9,0.0
full_eto,001,2010,18,2010-04-08,initial,0.6,0.201,3.06,1.08,1.08,1.08,1.0,0.688,9.2,128.1,0.0
full_eto,001,2010,19,2010-04-09,initial,0.6,0.207,3.1,1.09,1.09,1.09,1.0,0.72,9.8,138.0,0.0
full_eto,001,2010,20,2010-04-10,initial,0.6,0.212,2.51,0.87,0.87,0.87,1.0,0.995,13.0,151.0,0.0
full_eto,001,2010,21,2010-04-11,development,0.6,0.212,2.83,0.97,0.97,0.97,1.0,1.0,12.6,163.6,0.0
full_eto,001,2010,22,2010-04-12,development,0.614,0.231,2.94,1.06,1.06,1.06,1.0,0.705,10.6,174.2,0.0
full_eto,001,2010,23,2010-04-13,development,0.628,0.25,2.88,1.06,1.06,1.06,1.0,0.581,10.3,184.5,0.0
full_eto,001,2010,24,2010-04-14,development,0.641,0.268,3.19,1.2,1.2,1.2,1.0,0.762,14.1,198.6,0.0
full_eto,001,2010,25,2010-04-15,development,0.655,0.287,2.6,0.98,0.98,0.98,1.0,0.945,18.2,216.8,0.0
full_eto,001,2010,26,2010-04-16,development,0.669,0.305,2.56,0.98,0.98,0.98,1.0,1.0,21.0,237.8,0.0
full_eto,001,2010,27,2010-04-17,development,0.683,0.324,3.5,1.39,1.39,1.39,1.0,0.965,22.2,260.0,0.0
full_eto,001,2010,28,2010-04-18,development,0.697,0.342,3.31,1.33,1.33,1.33,1.0,1.0,23.5,283.5,0.0
full_eto,001,2010,29,2010-04-19,development,0.71,0.361,3.3,1.35,1.35,1.35,1.0,1.0,25.0,308.5,0.0
full_eto,001,2010,30,2010-04-20,development,0.724,0.379,3.11,1.3,1.3,1.3,1.0,1.0,25.6,334.0,0.0
full_eto,001,2010,31,2010-04-21,development,0.738,0.398,3.18,1.37,1.37,1.37,1.0,1.0,23.9,358.0,0.0
full_eto,001,2010,32,2010-04-22,development,0.752,0.416,2.86,1.27,1.27,1.27,1.0,0.682,20.8,378.8,0.0
full_eto,001,2010,33,2010-04-23,development,0.766,0.435,2.9,1.3,1.3,1.3,1.0,0.644,19.1,397.9,0.0
full_eto,001,2010,34,2010-04-24,development,0.779,0.453,2.91,1.32,1.32,1.32,1.0,0.848,28.2,426.1,0.0
full_eto,001,2010,35,2010-04-25,development,0.793,0.472,3.02,1.38,1.38,1.38,1.0,1.0,32.9,459.0,0.0
full_eto,001,2010,36,2010-04-26,development,0.807,0.491,3.62,1.69,1.69,1.69,1.0,1.0,34.8,493.8,0.0
full_eto,001,2010,37,2010-04-27,development,0.821,0.509,2.83,1.33,1.33,1.33,1.0,1.0,36.7,530.5,0.0
full_eto,001,2010,38,2010-04-28,development,0.834,0.528,3.12,1.52,1.52,1.52,1.0,1.0,35.0,565.5,0.0
full_eto,001,2010,39,2010-04-29,development,0.848,0.546,2.54,1.26,1.26,1.26,1.0,0.934,29.6,595.1,0.0
full_eto,001,2010,40,2010-04-30,development,0.862,0.565,2.28,1.14,1.14,1.16,1.0,0.92,19.3,614.4,0.0
full_eto,001,2010,41,2010-05-01,development,0.876,0.583,2.38,1.2,1.2,1.3,1.0,0.945,29.0,643.4,0.0
full_eto,001,2010,42,2010-05-02,development,0.89,0.602,2.96,1.54,1.54,1.54,1.0,0.773,35.0,678.4,0.0
full_eto,001,2010,43,2010-05-03,development,0.903,0.62,2.99,1.57,1.57,1.57,1.0,0.88,41.6,720.0,0.0
full_eto,001,2010,44,2010-05-04,development,0.917,0.639,3.01,1.6,1.6,1.6,1.0,0.963,46.7,766.6,0.0
full_eto,001,2010,45,2010-05-05,development,0.931,0.657,3.26,1.76,1.76,1.76,1.0,1.0,50.3,816.9,0.0
full_eto,001,2010,46,2010-05-06,development,0.945,0.676,3.48,1.91,1.91,1.91,1.0,1.0,51.9,868.8,0.0
full_eto,001,2010,47,2010-05-07,development,0.959,0.694,3.02,1.66,1.66,1.66,1.0,1.0,52.0,920.8,0.0
full_eto,001,2010,48,2010-05-08,development,0.972,0.713,3.08,1.71,1.71,1.71,1.0,1.0,51.2,972.0,0.0
full_eto,001,2010,49,2010-05-09,development,0.986,0.731,2.99,1.68,1.68,1.68,1.0,1.0,47.4,1019.4,0.0
full_eto,001,2010,50,2010-05-10,development,1.0,0.75,3.35,1.92,1.92,1.92,1.0,1.0,48.2,1067.6,0.0
full_eto,001,2010,51,2010-05-11,mid,1.0,0.75,3.32,1.93,1.93,1.93,1.0,1.0,53.3,1120.8,0.0
full_eto,001,2010,52,2010-05-12,mid,1.0,0.75,3.39,1.97,1.97,1.97,1.0,1.0,56.2,1177.0,0.0
full_eto,001,2010,53,2010-05-13,mid,1.0,0.75,3.7,2.14,2.14,2.14,1.0,1.0,57.3,1234.4,0.0
full_eto,001,2010,54,2010-05-14,mid,1.0,0.75,4.31,2.48,2.48,2.48,1.0,1.0,57.5,1291.9,0.0
full_eto,001,2010,55,2010-05-15,mid,1.0,0.75,3.65,2.09,2.09,2.09,1.0,1.0,55.0,1346.9,0.0
full_eto,001,2010,56,2010-05-16,mid,1.0,0.75,3.44,1.96,1.96,1.96,1.0,1.0,52.3,1399.2,0.0
full_eto,001,2010,57,2010-05-17,mid,1.0,0.75,3.27,1.86,1.86,1.86,1.0,1.0,45.3,1444.5,0.0
full_eto,001,2010,58,2010-05-18,mid,1.0,0.75,3.32,1.92,1.92,1.92,1.0,1.0,48.2,1492.7,0.0
full_eto,001,2010,59,2010-05-19,mid,1.0,0.75,3.92,2.29,2.29,2.29,1.0,1.0,54.6,1547.4,0.0
full_eto,001,2010,60,2010-05-20,mid,1.0,0.75,4.02,2.35,2.35,2.35,1.0,1.0,55.4,1602.8,0.0
full_eto,001,2010,61,2010-05-21,mid,1.0,0.75,3.64,2.11,2.11,2.11,1.0,1.0,56.6,1659.3,0.0
full_eto,001,2010,62,2010-05-22,mid,1.0,0.75,3.68,2.12,2.12,2.12,1.0,1.0,54.8,1714.1,0.0
full_eto,001,2010,63,2010-05-23,mid,1.0,0.75,3.64,2.13,2.13,2.13,1.0,1.0,56.4,1770.5,0.0
full_eto,001,2010,64,2010-05-24,mid,1.0,0.75,3.67,2.14,2.14,2.14,1.0,0.978,55.9,1826.4,0.0
full_eto,001,2010,65,2010-05-25,mid,1.0,0.75,3.73,2.16,2.16,2.16,1.0,1.0,56.8,1883.2,0.0
full_eto,001,2010,66,2010-05-26,mid,1.0,0.75,3.81,2.19,2.19,2.19,1.0,1.0,56.4,1939.6,0.0
full_eto,001,2010,67,2010-05-27,mid,1.0,0.75,3.5,2.01,2.01,2.01,1.0,1.0,49.0,1988.6,0.0
full_eto,001,2010,68,2010-05-28,mid,1.0,0.75,3.5,2.04,2.04,2.04,1.0,1.0,54.8,2043.4,0.0
full_eto,001,2010,69,2010-05-29,mid,1.0,0.75,3.72,2.15,2.15,2.15,1.0,1.0,57.2,2100.5,0.0
full_eto,001,2010,70,2010-05-30,mid,1.0,0.75,3.47,2.0,2.0,2.0,1.0,1.0,57.0,2157.5,0.0
full_eto,001,2010,71,2010-05-31,mid,1.0,0.75,3.34,1.92,1.92,1.92,1.0,1.0,57.2,2214.6,0.0
full_eto,001,2010,72,2010-06-01,mid,1.0,0.75,3.11,1.78,1.78,1.78,1.0,1.0,53.7,2268.3,0.0
full_eto,001,2010,73,2010-06-02,mid,1.0,0.75,3.47,2.0,2.0,2.0,1.0,1.0,54.8,2323.1,0.0
full_eto,001,2010,74,2010-06-03,mid,1.0,0.75,3.38,1.95,1.95,1.95,1.0,1.0,51.3,2374.4,0.0
full_eto,001,2010,75,2010-06-04,mid,1.0,0.75,3.72,2.15,2.15,2.15,1.0,1.0,55.8,2430.2,0.0
full_eto,001,2010,76,2010-06-05,mid,1.0,0.75,3.82,2.21,2.21,2.21,1.0,1.0,57.5,2487.8,0.0
full_eto,001,2010,77,2010-06-06,mid,1.0,0.75,4.02,2.3,2.3,2.3,1.0,1.0,55.6,2543.4,0.0
full_eto,001,2010,78,2010-06-07,mid,1.0,0.75,3.02,1.72,1.72,1.72,1.0,1.0,55.4,2598.8,0.0
full_eto,001,2010,79,2010-06-08,mid,1.0,0.75,3.9,2.26,2.26,2.26,1.0,1.0,54.0,2652.8,0.0
full_eto,001,2010,80,2010-06-09,mid,1.0,0.75,3.96,2.3,2.3,2.3,1.0,1.0,58.1,2710.9,0.0
full_eto,001,2010,81,2010-06-10,mid,1.0,0.75,3.81,2.2,2.2,2.2,1.0,1.0,58.3,2769.3,0.0
full_eto,001,2010,82,2010-06-11,mid,1.0,0.75,3.16,1.81,1.81,1.81,1.0,1.0,53.5,2822.7,0.0
full_eto,001,2010,83,2010-06-12,mid,1.0,0.75,3.29,1.9,1.9,1.9,1.0,1.0,55.4,2878.1,0.0
full_eto,001,2010,84,2010-06-13,mid,1.0,0.75,3.33,1.92,1.92,1.92,1.0,1.0,57.0,2935.1,0.0
full_eto,001,2010,85,2010-06-14,mid,1.0,0.75,3.67,2.12,2.12,2.12,1.0,1.0,56.2,2991.3,36440.0
full_eto,001,2011,1,2011-03-22,initial,0.6,0.1,2.75,0.97,0.97,0.97,1.0,0.605,3.8,3.8,0.0
full_eto,001,2011,2,2011-03-23,initial,0.6,0.106,2.57,0.91,0.91,0.91,1.0,0.397,2.7,6.5,0.0
full_eto,001,2011,3,2011-03-24,initial,0.6,0.112,2.47,0.88,0.88,0.88,1.0,0.3,2.1,8.6,0.0
full_eto,001,2011,4,2011-03-25,initial,0.6,0.118,2.39,0.85,0.85,0.88,1.0,0.148,0.9,9.5,0.0
full_eto,001,2011,5,2011-03-26,initial,0.6,0.124,2.32,0.82,0.82,0.82,1.0,0.28,2.3,11.8,0.0
