# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 03-22
#   under underpv_low (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 03-22
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,4.11,2.14,2.14,2.14,1.0,0.923,10.0,10.0,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.106,3.98,2.08,2.08,2.08,1.0,0.802,9.4,19.4,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.112,3.39,1.76,1.76,1.76,1.0,0.898,11.2,30.6,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.118,4.33,2.27,2.27,2.27,1.0,0.902,11.5,42.1,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.124,3.6,1.88,1.88,1.88,1.0,0.675,9.3,51.3,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.13,3.54,1.85,1.85,1.88,1.0,0.566,7.4,58.7,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.136,3.22,1.68,1.68,1.68,1.0,0.774,11.9,70.6,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.141,3.51,1.83,1.83,1.83,1.0,0.947,15.1,85.7,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.147,4.09,2.14,2.14,2.14,1.0,0.796,14.5,100.2,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.153,3.98,2.08,2.08,2.08,1.0,0.778,15.3,115.6,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.159,4.67,2.43,2.43,2.43,1.0,1.0,20.3,135.9,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.165,4.94,2.56,2.56,2.56,1.0,1.0,20.5,156.4,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.171,4.79,2.49,2.49,2.49,1.0,1.0,19.4,175.8,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.177,4.39,2.28,2.28,2.28,1.0,1.0,19.1,194.9,0.0
full_eto,001,2010,15,2010-04-05,initial,0.6,0.183,4.83,2.52,2.52,2.52,1.0,0.986,21.8,216.7,0.0
full_eto,001,2010,16,2010-04-06,initial,0.6,0.189,4.58,2.4,2.4,2.4,1.0,0.903,21.3,238.0,0.0
full_eto,001,2010,17,2010-04-07,initial,0.6,0.195,4.59,2.4,2.4,2.4,1.0,0.902,21.8,259.9,0.0
full_eto,001,2010,18,2010-04-08,initial,0.6,0.201,4.35,2.28,2.28,2.28,1.0,0.858,21.3,281.2,0.0
full_eto,001,2010,19,2010-04-09,initial,0.6,0.207,4.53,2.36,2.36,2.36,1.0,0.89,22.6,303.8,0.0
full_eto,001,2010,20,2010-04-10,initial,0.6,0.212,3.89,2.02,2.02,2.02,1.0,1.0,24.3,328.1,0.0
full_eto,001,2010,21,2010-04-11,development,0.6,0.212,4.35,2.26,2.26,2.26,1.0,1.0,23.4,351.4,0.0
full_eto,001,2010,22,2010-04-12,development,0.614,0.231,4.19,2.24,2.24,2.24,1.0,0.874,24.5,375.9,0.0
full_eto,001,2010,23,2010-04-13,development,0.628,0.25,4.22,2.31,2.31,2.31,1.0,0.752,24.6,400.5,0.0
full_eto,001,2010,24,2010-04-14,development,0.641,0.268,4.7,2.62,2.62,2.62,1.0,0.932,32.2,432.7,0.0
full_eto,001,2010,25,2010-04-15,development,0.655,0.287,4.07,2.31,2.31,2.31,1.0,1.0,35.8,468.5,0.0
full_eto,001,2010,26,2010-04-16,development,0.669,0.305,4.09,2.37,2.37,2.37,1.0,1.0,39.1,507.6,0.0
full_eto,001,2010,27,2010-04-17,development,0.683,0.324,5.16,3.06,3.06,3.06,1.0,1.0,42.8,550.4,0.0
full_eto,001,2010,28,2010-04-18,development,0.697,0.342,5.02,3.03,3.03,3.03,1.0,1.0,43.6,593.9,0.0
full_eto,001,2010,29,2010-04-19,development,0.71,0.361,5.13,3.15,3.15,3.15,1.0,1.0,46.3,640.2,0.0
full_eto,001,2010,30,2010-04-20,development,0.724,0.379,4.85,3.04,3.04,3.04,1.0,1.0,47.4,687.6,0.0
full_eto,001,2010,31,2010-04-21,development,0.738,0.398,4.65,2.98,2.98,2.98,1.0,1.0,44.4,732.1,0.0
full_eto,001,2010,32,2010-04-22,development,0.752,0.416,4.11,2.69,2.69,2.69,1.0,0.852,48.2,780.3,0.0
full_eto,001,2010,33,2010-04-23,development,0.766,0.435,4.27,2.84,2.84,2.84,1.0,0.813,44.8,825.1,0.0
full_eto,001,2010,34,2010-04-24,development,0.779,0.453,4.5,3.04,3.04,3.04,1.0,1.0,61.8,886.9,0.0
full_eto,001,2010,35,2010-04-25,development,0.793,0.472,4.65,3.19,3.19,3.19,1.0,1.0,61.0,947.9,0.0
full_eto,001,2010,36,2010-04-26,development,0.807,0.491,5.4,3.78,3.78,3.78,1.0,1.0,64.7,1012.7,0.0
full_eto,001,2010,37,2010-04-27,development,0.821,0.509,4.53,3.22,3.22,3.22,1.0,1.0,68.1,1080.7,0.0
full_eto,001,2010,38,2010-04-28,development,0.834,0.528,4.55,3.3,3.3,3.3,1.0,1.0,65.1,1145.8,0.0
full_eto,001,2010,39,2010-04-29,development,0.848,0.546,3.76,2.77,2.77,2.77,1.0,1.0,58.9,1204.7,0.0
full_eto,001,2010,40,2010-04-30,development,0.862,0.565,3.28,2.45,2.45,2.47,1.0,1.0,38.8,1243.5,0.0
full_eto,001,2010,41,2010-05-01,development,0.876,0.583,3.58,2.72,2.72,2.82,1.0,1.0,57.0,1300.5,0.0
full_eto,001,2010,42,2010-05-02,development,0.89,0.602,4.39,3.4,3.4,3.4,1.0,0.943,79.4,1379.9,0.0
full_eto,001,2010,43,2010-05-03,development,0.903,0.62,4.6,3.61,3.61,3.61,1.0,1.0,87.9,1467.9,0.0
