# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 03-22
#   under underpv_medium (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 03-22
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,3.57,1.78,1.78,1.78,1.0,0.853,7.1,7.1,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.106,3.47,1.73,1.73,1.73,1.0,0.732,6.6,13.7,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.112,2.86,1.42,1.42,1.42,1.0,0.829,8.0,21.7,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.118,3.84,1.92,1.92,1.92,1.0,0.832,8.1,29.8,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.124,3.15,1.58,1.58,1.58,1.0,0.604,6.4,36.2,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.13,3.13,1.57,1.57,1.6,1.0,0.495,5.0,41.2,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.136,2.71,1.35,1.35,1.35,1.0,0.704,8.3,49.5,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.141,2.97,1.48,1.48,1.48,1.0,0.877,10.8,60.3,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.147,3.58,1.8,1.8,1.8,1.0,0.726,10.1,70.5,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.153,3.42,1.71,1.71,1.71,1.0,0.709,10.8,81.2,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.159,4.01,1.99,1.99,1.99,1.0,0.966,15.1,96.3,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.165,4.2,2.08,2.08,2.08,1.0,1.0,15.8,112.1,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.171,4.08,2.02,2.02,2.02,1.0,1.0,14.9,127.0,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.177,3.77,1.87,1.87,1.87,1.0,1.0,14.7,141.7,0.0
