# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-05
#   under openfield (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7090
# CROP: cucumber
# PLANTING_DATE: 10-05
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-05,initial,0.6,0.1,5.09,3.05,3.05,3.05,1.0,1.0,13.2,13.2,0.0
full_eto,001,2010,2,2010-10-06,initial,0.6,0.106,5.15,3.09,3.09,3.09,1.0,1.0,15.5,28.7,0.0
full_eto,001,2010,3,2010-10-07,initial,0.6,0.112,5.17,3.1,3.1,3.1,1.0,1.0,17.0,45.7,0.0
full_eto,001,2010,4,2010-10-08,initial,0.6,0.118,5.12,3.07,3.07,3.07,1.0,1.0,18.4,64.1,0.0
full_eto,001,2010,5,2010-10-09,initial,0.6,0.124,4.87,2.92,2.92,2.92,1.0,1.0,19.0,83.1,0.0
full_eto,001,2010,6,2010-10-10,initial,0.6,0.13,4.33,2.6,2.6,2.6,1.0,1.0,18.7,101.9,0.0
full_eto,001,2010,7,2010-10-11,initial,0.6,0.136,5.16,3.1,3.1,3.1,1.0,1.0,20.1,122.0,0.0
full_eto,001,2010,8,2010-10-12,initial,0.6,0.141,4.75,2.85,2.85,2.85,1.0,1.0,21.3,143.3,0.0
full_eto,001,2010,9,2010-10-13,initial,0.6,0.147,4.92,2.95,2.95,2.95,1.0,1.0,19.7,163.0,0.0
full_eto,001,2010,10,2010-10-14,initial,0.6,0.153,4.76,2.86,2.86,2.86,1.0,1.0,22.2,185.2,0.0
full_eto,001,2010,11,2010-10-15,initial,0.6,0.159,4.41,2.65,2.65,2.65,1.0,0.805,18.2,203.5,0.0
full_eto,001,2010,12,2010-10-16,initial,0.6,0.165,4.17,2.5,2.5,2.5,1.0,0.806,17.7,221.1,0.0
full_eto,001,2010,13,2010-10-17,initial,0.6,0.171,4.6,2.76,2.76,2.76,1.0,0.967,22.0,243.2,0.0
full_eto,001,2010,14,2010-10-18,initial,0.6,0.177,4.29,2.58,2.58,2.58,1.0,0.953,23.0,266.2,0.0
full_eto,001,2010,15,2010-10-19,initial,0.6,0.183,4.67,2.8,2.8,2.8,1.0,0.694,17.7,283.9,0.0
full_eto,001,2010,16,2010-10-20,initial,0.6,0.189,4.9,2.94,2.94,2.94,1.0,0.876,23.2,307.1,0.0
full_eto,001,2010,17,2010-10-21,initial,0.6,0.195,4.86,2.92,2.92,2.92,1.0,1.0,26.7,333.8,0.0
full_eto,001,2010,18,2010-10-22,initial,0.6,0.201,5.1,3.06,3.06,3.06,1.0,1.0,26.8,360.6,0.0
full_eto,001,2010,19,2010-10-23,initial,0.6,0.207,4.9,2.94,2.94,2.94,1.0,1.0,28.3,388.9,0.0
full_eto,001,2010,20,2010-10-24,initial,0.6,0.212,4.83,2.9,2.9,2.9,1.0,1.0,28.8,417.7,0.0
full_eto,001,2010,21,2010-10-25,development,0.6,0.212,5.02,3.01,3.01,3.01,1.0,1.0,29.2,446.9,0.0
full_eto,001,2010,22,2010-10-26,development,0.614,0.231,4.44,2.73,2.73,2.73,1.0,1.0,32.1,479.0,0.0
full_eto,001,2010,23,2010-10-27,development,0.628,0.25,4.48,2.81,2.81,2.81,1.0,1.0,34.7,513.7,0.0
full_eto,001,2010,24,2010-10-28,development,0.641,0.268,4.26,2.73,2.73,2.73,1.0,1.0,36.1,549.7,0.0
full_eto,001,2010,25,2010-10-29,development,0.655,0.287,4.29,2.81,2.81,2.81,1.0,1.0,36.3,586.1,0.0
full_eto,001,2010,26,2010-10-30,development,0.669,0.305,3.93,2.63,2.63,2.63,1.0,1.0,38.8,624.8,0.0
full_eto,001,2010,27,2010-10-31,development,0.683,0.324,3.85,2.63,2.63,2.63,1.0,1.0,41.5,666.4,0.0
full_eto,001,2010,28,2010-11-01,development,0.697,0.342,4.19,2.92,2.92,2.92,1.0,1.0,45.4,711.8,0.0
full_eto,001,2010,29,2010-11-02,development,0.71,0.361,3.94,2.8,2.8,2.8,1.0,1.0,47.5,759.3,0.0
full_eto,001,2010,30,2010-11-03,development,0.724,0.379,4.26,3.08,3.08,3.08,1.0,1.0,47.9,807.2,0.0
full_eto,001,2010,31,2010-11-04,development,0.738,0.398,3.68,2.71,2.71,2.71,1.0,1.0,47.6,854.8,0.0
full_eto,001,2010,32,2010-11-05,development,0.752,0.416,4.08,3.07,3.07,3.07,1.0,1.0,49.6,904.5,0.0
full_eto,001,2010,33,2010-11-06,development,0.766,0.435,4.1,3.14,3.14,3.14,1.0,1.0,49.5,953.9,0.0
full_eto,001,2010,34,2010-11-07,development,0.779,0.453,3.9,3.04,3.04,3.04,1.0,1.0,53.7,1007.7,0.0
full_eto,001,2010,35,2010-11-08,development,0.793,0.472,3.75,2.97,2.97,2.97,1.0,1.0,58.2,1065.9,0.0
full_eto,001,2010,36,2010-11-09,development,0.807,0.491,3.31,2.67,2.67,2.67,1.0,1.0,49.1,1115.0,0.0
full_eto,001,2010,37,2010-11-10,development,0.821,0.509,3.6,2.95,2.95,2.95,1.0,1.0,58.8,1173.8,0.0
full_eto,001,2010,38,2010-11-11,development,0.834,0.528,3.73,3.11,3.11,3.11,1.0,1.0,61.1,1234.9,0.0
full_eto,001,2010,39,2010-11-12,development,0.848,0.546,3.45,2.93,2.93,2.93,1.0,1.0,63.4,1298.4,0.0
full_eto,001,2010,40,2010-11-13,development,0.862,0.565,2.87,2.48,2.48,2.48,1.0,1.0,50.1,1348.4,0.0
full_eto,001,2010,41,2010-11-14,development,0.876,0.583,3.52,3.08,3.08,3.08,1.0,1.0,65.9,1414.3,0.0
full_eto,001,2010,42,2010-11-15,development,0.89,0.602,2.92,2.6,2.6,2.6,1.0,1.0,49.0,1463.3,0.0
full_eto,001,2010,43,2010-11-16,development,0.903,0.62,3.46,3.12,3.12,3.15,1.0,1.0,63.8,1527.1,0.0
full_eto,001,2010,44,2010-11-17,development,0.917,0.639,3.31,3.03,3.03,3.03,1.0,1.0,68.7,1595.8,0.0
