# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-05
#   under underpv_high (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7090
# CROP: cucumber
# PLANTING_DATE: 10-05
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-05,initial,0.6,0.1,2.76,0.95,0.95,0.95,1.0,1.0,4.6,4.6,0.0
full_eto,001,2010,2,2010-10-06,initial,0.6,0.106,2.89,1.01,1.01,1.01,1.0,1.0,5.4,10.0,0.0
full_eto,001,2010,3,2010-10-07,initial,0.6,0.112,2.9,1.01,1.01,1.01,1.0,1.0,5.9,16.0,0.0
full_eto,001,2010,4,2010-10-08,initial,0.6,0.118,2.85,0.99,0.99,0.99,1.0,1.0,6.4,22.4,0.0
full_eto,001,2010,5,2010-10-09,initial,0.6,0.124,2.5,0.87,0.87,0.87,1.0,1.0,6.7,29.1,0.0
full_eto,001,2010,6,2010-10-10,initial,0.6,0.13,2.04,0.7,0.7,0.7,1.0,1.0,6.6,35.6,0.0
full_eto,001,2010,7,2010-10-11,initial,0.6,0.136,2.87,1.0,1.0,1.0,1.0,1.0,7.0,42.7,0.0
full_eto,001,2010,8,2010-10-12,initial,0.6,0.141,2.51,0.87,0.87,0.87,1.0,1.0,7.5,50.1,0.0
full_eto,001,2010,9,2010-10-13,initial,0.6,0.147,2.57,0.88,0.88,0.88,1.0,1.0,6.9,57.0,0.0
full_eto,001,2010,10,2010-10-14,initial,0.6,0.153,2.32,0.8,0.8,0.8,1.0,1.0,7.8,64.8,0.0
full_eto,001,2010,11,2010-10-15,initial,0.6,0.159,1.97,0.67,0.67,0.67,1.0,1.0,7.9,72.8,0.0
full_eto,001,2010,12,2010-10-16,initial,0.6,0.165,1.86,0.64,0.64,0.64,1.0,1.0,7.7,80.5,0.0
full_eto,001,2010,13,2010-10-17,initial,0.6,0.171,2.28,0.79,0.79,0.79,1.0,1.0,8.0,88.4,0.0
full_eto,001,2010,14,2010-10-18,initial,0.6,0.177,2.02,0.69,0.69,0.69,1.0,1.0,8.4,96.9,0.0
full_eto,001,2010,15,2010-10-19,initial,0.6,0.183,2.14,0.73,0.73,0.73,1.0,1.0,8.9,105.8,0.0
full_eto,001,2010,16,2010-10-20,initial,0.6,0.189,2.42,0.83,0.83,0.83,1.0,1.0,9.2,115.0,0.0
full_eto,001,2010,17,2010-10-21,initial,0.6,0.195,2.52,0.87,0.87,0.87,1.0,1.0,9.3,124.4,0.0
full_eto,001,2010,18,2010-10-22,initial,0.6,0.201,2.8,0.97,0.97,0.97,1.0,1.0,9.4,133.8,0.0
full_eto,001,2010,19,2010-10-23,initial,0.6,0.207,2.74,0.95,0.95,0.95,1.0,1.0,9.9,143.7,0.0
full_eto,001,2010,20,2010-10-24,initial,0.6,0.212,2.77,0.96,0.96,0.96,1.0,1.0,10.1,153.8,0.0
full_eto,001,2010,21,2010-10-25,development,0.6,0.212,2.92,1.02,1.02,1.02,1.0,1.0,10.2,164.0,0.0
full_eto,001,2010,22,2010-10-26,development,0.614,0.231,2.4,0.85,0.85,0.85,1.0,1.0,11.3,175.3,0.0
full_eto,001,2010,23,2010-10-27,development,0.628,0.25,2.32,0.84,0.84,0.84,1.0,1.0,12.2,187.4,0.0
full_eto,001,2010,24,2010-10-28,development,0.641,0.268,2.08,0.76,0.76,0.76,1.0,1.0,12.6,200.1,0.0
full_eto,001,2010,25,2010-10-29,development,0.655,0.287,2.51,0.96,0.96,0.96,1.0,1.0,12.7,212.8,0.0
full_eto,001,2010,26,2010-10-30,development,0.669,0.305,2.28,0.89,0.89,0.89,1.0,0.95,12.9,225.7,0.0
full_eto,001,2010,27,2010-10-31,development,0.683,0.324,2.17,0.86,0.86,0.86,1.0,0.961,13.9,239.7,0.0
full_eto,001,2010,28,2010-11-01,development,0.697,0.342,2.43,0.99,0.99,0.99,1.0,0.934,14.8,254.5,0.0
full_eto,001,2010,29,2010-11-02,development,0.71,0.361,2.15,0.88,0.88,0.88,1.0,1.0,16.6,271.2,0.0
full_eto,001,2010,30,2010-11-03,development,0.724,0.379,2.36,0.99,0.99,0.99,1.0,1.0,16.7,287.9,0.0
full_eto,001,2010,31,2010-11-04,development,0.738,0.398,1.93,0.82,0.82,0.82,1.0,1.0,16.7,304.6,0.0
full_eto,001,2010,32,2010-11-05,development,0.752,0.416,2.21,0.96,0.96,0.96,1.0,1.0,17.4,322.0,0.0
full_eto,001,2010,33,2010-11-06,development,0.766,0.435,2.32,1.02,1.02,1.02,1.0,1.0,17.4,339.3,0.0
full_eto,001,2010,34,2010-11-07,development,0.779,0.453,2.27,1.03,1.03,1.03,1.0,1.0,18.8,358.1,0.0
full_eto,001,2010,35,2010-11-08,development,0.793,0.472,2.1,0.97,0.97,0.97,1.0,0.992,20.3,378.4,0.0
full_eto,001,2010,36,2010-11-09,development,0.807,0.491,1.86,0.86,0.86,0.86,1.0,1.0,17.2,395.5,0.0
full_eto,001,2010,37,2010-11-10,development,0.821,0.509,1.97,0.93,0.93,0.93,1.0,1.0,20.6,416.1,0.0
full_eto,001,2010,38,2010-11-11,development,0.834,0.528,2.06,0.99,0.99,0.99,1.0,1.0,21.3,437.5,0.0
full_eto,001,2010,39,2010-11-12,development,0.848,0.546,1.82,0.89,0.89,0.89,1.0,1.0,22.2,459.7,0.0
full_eto,001,2010,40,2010-11-13,development,0.862,0.565,1.56,0.77,0.77,0.77,1.0,1.0,17.6,477.3,0.0
full_eto,001,2010,41,2010-11-14,development,0.876,0.583,1.86,0.93,0.93,0.93,1.0,1.0,23.1,500.4,0.0
full_eto,001,2010,42,2010-11-15,development,0.89,0.602,1.64,0.83,0.83,0.83,1.0,1.0,17.2,517.5,0.0
full_eto,001,2010,43,2010-11-16,development,0.903,0.62,1.99,1.04,1.04,1.07,1.0,1.0,22.3,539.9,0.0
full_eto,001,2010,44,2010-11-17,development,0.917,0.639,1.83,0.97,0.97,0.97,1.0,1.0,24.0,563.9,0.0
full_eto,001,2010,45,2010-11-18,development,0.931,0.657,1.81,0.97,0.97,0.97,1.0,1.0,25.6,589.4,0.0
full_eto,001,2010,46,2010-11-19,development,0.945,0.676,1.99,1.08,1.08,1.08,1.0,1.0,26.8,616.3,0.0
full_eto,001,2010,47,2010-11-20,development,0.959,0.694,2.14,1.18,1.18,1.18,1.0,1.0,27.0,643.2,0.0
full_eto,001,2010,48,2010-11-21,development,0.972,0.713,2.13,1.2,1.2,1.2,1.0,1.0,27.9,671.2,0.0
full_eto,001,2010,49,2010-11-22,development,0.986,0.731,2.19,1.26,1.26,1.26,1.0,0.878,25.5,696.6,0.0
full_eto,001,2010,50,2010-11-23,development,1.0,0.75,1.81,1.05,1.05,1.05,1.0,0.891,26.5,723.1,0.0
full_eto,001,2010,51,2010-11-24,mid,1.0,0.75,1.67,0.96,0.96,0.96,1.0,0.947,23.7,746.9,0.0
full_eto,001,2010,52,2010-11-25,mid,1.0,0.75,1.86,1.07,1.07,1.07,1.0,1.0,27.6,774.5,0.0
full_eto,001,2010,53,2010-11-26,mid,1.0,0.75,1.89,1.09,1.09,1.09,1.0,1.0,27.6,802.1,0.0
full_eto,001,2010,54,2010-11-27,mid,1.0,0.75,1.98,1.14,1.14,1.14,1.0,1.0,27.4,829.5,0.0
full_eto,001,2010,55,2010-11-28,mid,1.0,0.75,1.7,0.98,0.98,0.98,1.0,1.0,27.8,857.3,0.0
full_eto,001,2010,56,2010-11-29,mid,1.0,0.75,1.8,1.04,1.04,1.04,1.0,1.0,29.2,886.5,0.0
full_eto,001,2010,57,2010-11-30,mid,1.0,0.75,1.59,0.91,0.91,0.91,1.0,1.0,29.7,916.2,0.0
full_eto,001,2010,58,2010-12-01,mid,1.0,0.75,1.71,0.99,0.99,0.99,1.0,0.97,29.0,945.2,0.0
full_eto,001,2010,59,2010-12-02,mid,1.0,0.75,1.78,1.03,1.03,1.03,1.0,0.963,29.0,974.2,0.0
