# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-05
#   under underpv_medium (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7090
# CROP: cucumber
# PLANTING_DATE: 10-05
# CONDITION: underpv_medium
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-05,initial,0.6,0.1,3.57,1.77,1.77,1.77,1.0,1.0,6.6,6.6,0.0
full_eto,001,2010,2,2010-10-06,initial,0.6,0.106,3.69,1.84,1.84,1.84,1.0,1.0,7.7,14.3,0.0
full_eto,001,2010,3,2010-10-07,initial,0.6,0.112,3.7,1.85,1.85,1.85,1.0,1.0,8.5,22.8,0.0
full_eto,001,2010,4,2010-10-08,initial,0.6,0.118,3.64,1.81,1.81,1.81,1.0,1.0,9.2,32.0,0.0
full_eto,001,2010,5,2010-10-09,initial,0.6,0.124,3.26,1.62,1.62,1.62,1.0,1.0,9.5,41.6,0.0
full_eto,001,2010,6,2010-10-10,initial,0.6,0.13,2.69,1.33,1.33,1.33,1.0,1.0,9.4,50.9,0.0
full_eto,001,2010,7,2010-10-11,initial,0.6,0.136,3.68,1.83,1.83,1.83,1.0,1.0,10.0,61.0,0.0
full_eto,001,2010,8,2010-10-12,initial,0.6,0.141,3.24,1.61,1.61,1.61,1.0,1.0,10.7,71.6,0.0
full_eto,001,2010,9,2010-10-13,initial,0.6,0.147,3.36,1.66,1.66,1.66,1.0,1.0,9.9,81.5,0.0
full_eto,001,2010,10,2010-10-14,initial,0.6,0.153,3.05,1.51,1.51,1.51,1.0,1.0,11.1,92.6,0.0
full_eto,001,2010,11,2010-10-15,initial,0.6,0.159,2.61,1.29,1.29,1.29,1.0,0.993,11.2,103.8,0.0
full_eto,001,2010,12,2010-10-16,initial,0.6,0.165,2.46,1.22,1.22,1.22,1.0,0.993,10.9,114.7,0.0
full_eto,001,2010,13,2010-10-17,initial,0.6,0.171,3.0,1.49,1.49,1.49,1.0,1.0,11.4,126.1,0.0
full_eto,001,2010,14,2010-10-18,initial,0.6,0.177,2.67,1.32,1.32,1.32,1.0,1.0,12.1,138.2,0.0
full_eto,001,2010,15,2010-10-19,initial,0.6,0.183,2.86,1.41,1.41,1.41,1.0,0.881,11.2,149.5,0.0
full_eto,001,2010,16,2010-10-20,initial,0.6,0.189,3.19,1.58,1.58,1.58,1.0,1.0,13.2,162.7,0.0
