# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-15
#   under openfield (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7040
# CROP: cucumber
# PLANTING_DATE: 10-15
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-15,initial,0.6,0.1,9.03,5.42,5.42,1.0,0.805,11.4,11.4,0.0
full_eto,001,2010,2,2010-10-16,initial,0.6,0.106,8.26,4.96,4.96,1.0,0.806,11.3,22.8,0.0
full_eto,001,2010,3,2010-10-17,initial,0.6,0.112,7.55,4.53,4.53,1.0,0.967,14.4,37.2,0.0
full_eto,001,2010,4,2010-10-18,initial,0.6,0.118,8.9,5.34,5.34,1.0,0.953,15.3,52.5,0.0
full_eto,001,2010,5,2010-10-19,initial,0.6,0.124,9.24,5.54,5.54,1.0,0.694,12.0,64.5,0.0
full_eto,001,2010,6,2010-10-20,initial,0.6,0.13,8.09,4.85,4.85,1.0,0.876,15.9,80.4,0.0
full_eto,001,2010,7,2010-10-21,initial,0.6,0.136,8.17,4.9,4.9,1.0,1.0,18.6,99.0,0.0
full_eto,001,2010,8,2010-10-22,initial,0.6,0.141,7.98,4.79,4.79,1.0,1.0,18.9,117.9,0.0
full_eto,001,2010,9,2010-10-23,initial,0.6,0.147,6.95,4.17,4.17,1.0,1.0,20.2,138.1,0.0
full_eto,001,2010,10,2010-10-24,initial,0.6,0.153,6.99,4.19,4.19,1.0,1.0,20.7,158.8,0.0
full_eto,001,2010,11,2010-10-25,initial,0.6,0.159,7.12,4.27,4.27,1.0,1.0,21.9,180.7,0.0
full_eto,001,2010,12,2010-10-26,initial,0.6,0.165,7.11,4.27,4.27,1.0,1.0,22.9,203.7,0.0
full_eto,001,2010,13,2010-10-27,initial,0.6,0.171,8.59,5.16,5.16,1.0,1.0,23.8,227.4,0.0
full_eto,001,2010,14,2010-10-28,initial,0.6,0.177,7.83,4.7,4.7,1.0,1.0,23.8,251.2,0.0
full_eto,001,2010,15,2010-10-29,initial,0.6,0.183,5.6,3.36,3.36,1.0,1.0,23.2,274.4,0.0
full_eto,001,2010,16,2010-10-30,initial,0.6,0.189,5.41,3.25,3.25,1.0,1.0,24.0,298.4,0.0
full_eto,001,2010,17,2010-10-31,initial,0.6,0.195,5.54,3.33,3.33,1.0,1.0,25.0,323.4,0.0
full_eto,001,2010,18,2010-11-01,initial,0.6,0.201,6.14,3.68,3.68,1.0,1.0,26.6,350.0,0.0
full_eto,001,2010,19,2010-11-02,initial,0.6,0.207,7.05,4.23,4.23,1.0,1.0,27.2,377.2,0.0
full_eto,001,2010,20,2010-11-03,initial,0.6,0.212,7.46,4.48,4.48,1.0,1.0,26.8,404.0,0.0
full_eto,001,2010,21,2010-11-04,development,0.6,0.212,7.54,4.52,4.52,1.0,1.0,25.4,429.5,0.0
full_eto,001,2010,22,2010-11-05,development,0.614,0.231,6.74,4.14,4.14,1.0,1.0,27.5,457.0,0.0
full_eto,001,2010,23,2010-11-06,development,0.628,0.25,6.42,4.03,4.03,1.0,1.0,28.4,485.4,0.0
full_eto,001,2010,24,2010-11-07,development,0.641,0.268,5.56,3.57,3.57,1.0,1.0,31.8,517.2,0.0
full_eto,001,2010,25,2010-11-08,development,0.655,0.287,5.94,3.89,3.89,1.0,1.0,35.4,552.6,0.0
full_eto,001,2010,26,2010-11-09,development,0.669,0.305,6.31,4.22,4.22,1.0,1.0,30.5,583.1,0.0
full_eto,001,2010,27,2010-11-10,development,0.683,0.324,6.57,4.49,4.49,1.0,1.0,37.4,620.5,0.0
full_eto,001,2010,28,2010-11-11,development,0.697,0.342,6.2,4.32,4.32,1.0,1.0,39.7,660.2,0.0
full_eto,001,2010,29,2010-11-12,development,0.71,0.361,6.34,4.51,4.51,1.0,1.0,41.9,702.1,0.0
full_eto,001,2010,30,2010-11-13,development,0.724,0.379,6.08,4.4,4.4,1.0,1.0,33.6,735.7,0.0
full_eto,001,2010,31,2010-11-14,development,0.738,0.398,6.64,4.9,4.9,1.0,1.0,45.0,780.6,0.0
full_eto,001,2010,32,2010-11-15,development,0.752,0.416,5.82,4.37,4.37,1.0,1.0,33.9,814.5,0.0
full_eto,001,2010,33,2010-11-16,development,0.766,0.435,5.09,3.89,3.92,1.0,1.0,44.8,859.3,0.0
full_eto,001,2010,34,2010-11-17,development,0.779,0.453,5.53,4.31,4.31,1.0,1.0,48.8,908.1,0.0
full_eto,001,2010,35,2010-11-18,development,0.793,0.472,6.38,5.06,5.06,1.0,1.0,52.5,960.5,0.0
full_eto,001,2010,36,2010-11-19,development,0.807,0.491,6.67,5.38,5.38,1.0,1.0,55.4,1016.0,0.0
full_eto,001,2010,37,2010-11-20,development,0.821,0.509,6.51,5.34,5.34,1.0,1.0,56.5,1072.5,0.0
full_eto,001,2010,38,2010-11-21,development,0.834,0.528,5.38,4.49,4.49,1.0,1.0,58.9,1131.4,0.0
full_eto,001,2010,39,2010-11-22,development,0.848,0.546,5.26,4.46,4.46,1.0,1.0,61.9,1193.2,0.0
full_eto,001,2010,40,2010-11-23,development,0.862,0.565,5.34,4.6,4.6,1.0,1.0,64.0,1257.2,0.0
full_eto,001,2010,41,2010-11-24,development,0.876,0.583,5.42,4.75,4.75,1.0,1.0,55.6,1312.8,0.0
full_eto,001,2010,42,2010-11-25,development,0.89,0.602,5.69,5.07,5.07,1.0,1.0,63.3,1376.2,0.0
full_eto,001,2010,43,2010-11-26,development,0.903,0.62,5.84,5.28,5.28,1.0,1.0,65.4,1441.6,0.0
full_eto,001,2010,44,2010-11-27,development,0.917,0.639,6.19,5.68,5.68,1.0,1.0,66.7,1508.3,0.0
full_eto,001,2010,45,2010-11-28,development,0.931,0.657,6.42,5.97,5.97,1.0,1.0,69.9,1578.2,0.0
full_eto,001,2010,46,2010-11-29,development,0.945,0.676,5.61,5.3,5.3,1.0,1.0,75.2,1653.3,0.0
full_eto,001,2010,47,2010-11-30,development,0.959,0.694,5.74,5.51,5.51,1.0,1.0,78.8,1732.2,0.0
full_eto,001,2010,48,2010-12-01,development,0.972,0.713,5.9,5.74,5.74,1.0,1.0,81.5,1813.7,0.0
full_eto,001,2010,49,2010-12-02,development,0.986,0.731,6.03,5.95,5.95,1.0,1.0,84.0,1897.6,0.0
full_eto,001,2010,50,2010-12-03,development,1.0,0.75,5.95,5.95,5.95,1.0,1.0,81.1,1978.7,0.0
full_eto,001,2010,51,2010-12-04,mid,1.0,0.75,5.97,5.97,5.97,1.0,1.0,81.3,2060.0,0.0
full_eto,001,2010,52,2010-12-05,mid,1.0,0.75,5.43,5.43,5.43,1.0,1.0,81.5,2141.4,0.0
full_eto,001,2010,53,2010-12-06,mid,1.0,0.75,4.82,4.82,4.82,1.0,0.927,74.1,2215.5,0.0
full_eto,001,2010,54,2010-12-07,mid,1.0,0.75,4.66,4.66,4.66,1.0,0.778,62.8,2278.3,0.0
full_eto,001,2010,55,2010-12-08,mid,1.0,0.75,4.34,4.34,4.34,1.0,0.796,59.0,2337.3,0.0
full_eto,001,2010,56,2010-12-09,mid,1.0,0.75,4.94,4.94,4.94,1.0,0.942,68.7,2406.0,0.0
full_eto,001,2010,57,2010-12-10,mid,1.0,0.75,4.26,4.26,4.28,1.0,0.84,64.5,2470.5,0.0
full_eto,001,2010,58,2010-12-11,mid,1.0,0.75,5.04,5.04,5.08,1.0,0.829,49.1,2519.6,0.0
full_eto,001,2010,59,2010-12-12,mid,1.0,0.75,3.4,3.4,3.4,1.0,0.323,20.0,2539.6,0.0
full_eto,001,2010,60,2010-12-13,mid,1.0,0.75,3.56,3.56,3.56,1.0,0.249,17.5,2557.1,0.0
full_eto,001,2010,61,2010-12-14,mid,1.0,0.75,3.47,3.47,3.47,1.0,0.482,34.9,2592.0,0.0
full_eto,001,2010,62,2010-12-15,mid,1.0,0.75,4.56,4.56,4.56,1.0,0.655,38.9,2630.9,0.0
full_eto,001,2010,63,2010-12-16,mid,1.0,0.75,4.43,4.43,4.43,1.0,0.993,76.1,2706.9,0.0
full_eto,001,2010,64,2010-12-17,mid,1.0,0.75,4.82,4.82,4.82,1.0,1.0,77.0,2783.9,0.0
full_eto,001,2010,65,2010-12-18,mid,1.0,0.75,3.83,3.83,3.83,1.0,0.67,50.4,2834.3,0.0
full_eto,001,2010,66,2010-12-19,mid,1.0,0.75,4.29,4.29,4.29,1.0,0.508,39.5,2873.8,0.0
full_eto,001,2010,67,2010-12-20,mid,1.0,0.75,5.4,5.4,5.4,1.0,0.759,55.9,2929.7,0.0
full_eto,001,2010,68,2010-12-21,mid,1.0,0.75,4.99,4.99,4.99,1.0,0.867,63.4,2993.1,0.0
full_eto,001,2010,69,2010-12-22,mid,1.0,0.75,4.69,4.69,4.69,1.0,0.938,64.9,3057.9,0.0
full_eto,001,2010,70,2010-12-23,mid,1.0,0.75,5.55,5.55,5.55,1.0,0.921,62.9,3120.8,0.0
full_eto,001,2010,71,2010-12-24,mid,1.0,0.75,5.87,5.87,5.87,1.0,0.861,68.3,3189.1,0.0
full_eto,001,2010,72,2010-12-25,mid,1.0,0.75,5.02,5.02,5.02,1.0,0.824,66.2,3255.3,0.0
full_eto,001,2010,73,2010-12-26,mid,1.0,0.75,5.03,5.03,5.03,1.0,0.919,73.6,3328.8,0.0
full_eto,001,2010,74,2010-12-27,mid,1.0,0.75,5.32,5.32,5.32,1.0,0.921,73.1,3401.9,0.0
full_eto,001,2010,75,2010-12-28,mid,1.0,0.75,5.36,5.36,5.36,1.0,0.981,77.2,3479.2,0.0
full_eto,001,2010,76,2010-12-29,mid,1.0,0.75,5.04,5.04,5.54,1.0,0.956,26.8,3505.9,0.0
full_eto,001,2010,77,2010-12-30,mid,1.0,0.75,3.62,3.62,3.98,1.0,0.712,31.3,3537.2,0.0
full_eto,001,2010,78,2010-12-31,mid,1.0,0.75,3.57,3.57,3.63,1.0,0.545,37.6,3574.8,0.0
full_eto,001,2010,79,2011-01-01,mid,1.0,0.75,3.69,3.69,3.69,1.0,0.528,40.6,3615.5,0.0
full_eto,001,2010,80,2011-01-02,mid,1.0,0.75,3.53,3.53,3.53,1.0,0.657,50.2,3665.7,0.0
full_eto,001,2010,81,2011-01-03,mid,1.0,0.75,3.84,3.84,3.84,1.0,0.632,36.6,3702.2,0.0
full_eto,001,2010,82,2011-01-04,mid,1.0,0.75,4.19,4.19,4.19,1.0,0.532,41.9,3744.2,0.0
full_eto,001,2010,83,2011-01-05,mid,1.0,0.75,4.39,4.39,4.39,1.0,0.492,40.0,3784.1,0.0
full_eto,001,2010,84,2011-01-06,mid,1.0,0.75,4.91,4.91,4.91,1.0,0.542,43.7,3827.9,0.0
full_eto,001,2010,85,2011-01-07,mid,1.0,0.75,4.87,4.87,4.87,1.0,0.581,46.4,3874.3,0.0
full_eto,001,2010,86,2011-01-08,late,1.0,0.75,4.18,4.18,4.18,1.0,0.384,32.0,3906.3,0.0
full_eto,001,2010,87,2011-01-09,late,0.982,0.739,4.47,4.39,4.39,1.0,0.33,27.3,3933.6,0.0
full_eto,001,2010,88,2011-01-10,late,0.964,0.729,4.39,4.23,4.23,1.0,0.382,31.9,3965.5,0.0
full_eto,001,2010,89,2011-01-11,late,0.946,0.718,4.59,4.34,4.34,1.0,0.496,38.5,4004.0,0.0
