# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-15
#   under underpv_high (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7040
# CROP: cucumber
# PLANTING_DATE: 10-15
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-15,initial,0.6,0.1,8.57,2.98,2.98,1.0,1.0,5.0,5.0,0.0
full_eto,001,2010,2,2010-10-16,initial,0.6,0.106,7.84,2.73,2.73,1.0,1.0,4.9,9.9,0.0
full_eto,001,2010,3,2010-10-17,initial,0.6,0.112,7.16,2.49,2.49,1.0,1.0,5.2,15.1,0.0
full_eto,001,2010,4,2010-10-18,initial,0.6,0.118,8.44,2.94,2.94,1.0,1.0,5.6,20.8,0.0
full_eto,001,2010,5,2010-10-19,initial,0.6,0.124,8.78,3.05,3.05,1.0,1.0,6.0,26.8,0.0
full_eto,001,2010,6,2010-10-20,initial,0.6,0.13,7.68,2.67,2.67,1.0,1.0,6.3,33.1,0.0
full_eto,001,2010,7,2010-10-21,initial,0.6,0.136,7.74,2.7,2.7,1.0,1.0,6.5,39.6,0.0
full_eto,001,2010,8,2010-10-22,initial,0.6,0.141,7.55,2.63,2.63,1.0,1.0,6.6,46.3,0.0
full_eto,001,2010,9,2010-10-23,initial,0.6,0.147,6.57,2.29,2.29,1.0,1.0,7.1,53.3,0.0
full_eto,001,2010,10,2010-10-24,initial,0.6,0.153,6.59,2.31,2.31,1.0,1.0,7.3,60.6,0.0
full_eto,001,2010,11,2010-10-25,initial,0.6,0.159,6.72,2.35,2.35,1.0,1.0,7.7,68.3,0.0
full_eto,001,2010,12,2010-10-26,initial,0.6,0.165,6.71,2.35,2.35,1.0,1.0,8.0,76.3,0.0
full_eto,001,2010,13,2010-10-27,initial,0.6,0.171,8.13,2.84,2.84,1.0,1.0,8.3,84.7,0.0
full_eto,001,2010,14,2010-10-28,initial,0.6,0.177,7.42,2.58,2.58,1.0,1.0,8.3,93.0,0.0
full_eto,001,2010,15,2010-10-29,initial,0.6,0.183,5.27,1.85,1.85,1.0,1.0,8.1,101.1,0.0
full_eto,001,2010,16,2010-10-30,initial,0.6,0.189,5.09,1.79,1.79,1.0,0.95,8.0,109.1,0.0
full_eto,001,2010,17,2010-10-31,initial,0.6,0.195,5.21,1.83,1.83,1.0,0.961,8.4,117.5,0.0
full_eto,001,2010,18,2010-11-01,initial,0.6,0.201,5.77,2.02,2.02,1.0,0.934,8.7,126.2,0.0
full_eto,001,2010,19,2010-11-02,initial,0.6,0.207,6.64,2.33,2.33,1.0,1.0,9.5,135.7,0.0
full_eto,001,2010,20,2010-11-03,initial,0.6,0.212,7.04,2.46,2.46,1.0,1.0,9.4,145.1,0.0
full_eto,001,2010,21,2010-11-04,development,0.6,0.212,7.12,2.49,2.49,1.0,1.0,8.9,154.0,0.0
full_eto,001,2010,22,2010-11-05,development,0.614,0.231,6.37,2.28,2.28,1.0,1.0,9.6,163.7,0.0
full_eto,001,2010,23,2010-11-06,development,0.628,0.25,6.06,2.21,2.21,1.0,1.0,10.0,173.6,0.0
full_eto,001,2010,24,2010-11-07,development,0.641,0.268,5.23,1.96,1.96,1.0,1.0,11.1,184.7,0.0
full_eto,001,2010,25,2010-11-08,development,0.655,0.287,5.58,2.14,2.14,1.0,0.992,12.3,197.1,0.0
full_eto,001,2010,26,2010-11-09,development,0.669,0.305,5.94,2.32,2.32,1.0,1.0,10.7,207.7,0.0
full_eto,001,2010,27,2010-11-10,development,0.683,0.324,6.19,2.47,2.47,1.0,1.0,13.1,220.8,0.0
full_eto,001,2010,28,2010-11-11,development,0.697,0.342,5.84,2.37,2.37,1.0,1.0,13.8,234.7,0.0
full_eto,001,2010,29,2010-11-12,development,0.71,0.361,5.99,2.48,2.48,1.0,1.0,14.7,249.3,0.0
full_eto,001,2010,30,2010-11-13,development,0.724,0.379,5.74,2.42,2.42,1.0,1.0,11.8,261.1,0.0
