# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-15
#   under underpv_low (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7040
# CROP: cucumber
# PLANTING_DATE: 10-15
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-15,initial,0.6,0.1,8.88,4.61,4.61,1.0,0.905,8.4,8.4,0.0
full_eto,001,2010,2,2010-10-16,initial,0.6,0.106,8.13,4.21,4.21,1.0,0.906,8.3,16.6,0.0
full_eto,001,2010,3,2010-10-17,initial,0.6,0.112,7.42,3.85,3.85,1.0,1.0,9.7,26.3,0.0
full_eto,001,2010,4,2010-10-18,initial,0.6,0.118,8.76,4.54,4.54,1.0,1.0,10.5,36.8,0.0
full_eto,001,2010,5,2010-10-19,initial,0.6,0.124,9.09,4.71,4.71,1.0,0.794,8.9,45.7,0.0
full_eto,001,2010,6,2010-10-20,initial,0.6,0.13,7.96,4.13,4.13,1.0,0.976,11.5,57.2,0.0
full_eto,001,2010,7,2010-10-21,initial,0.6,0.136,8.04,4.17,4.17,1.0,1.0,12.1,69.3,0.0
full_eto,001,2010,8,2010-10-22,initial,0.6,0.141,7.84,4.07,4.07,1.0,1.0,12.3,81.6,0.0
full_eto,001,2010,9,2010-10-23,initial,0.6,0.147,6.83,3.55,3.55,1.0,1.0,13.1,94.7,0.0
full_eto,001,2010,10,2010-10-24,initial,0.6,0.153,6.86,3.56,3.56,1.0,1.0,13.5,108.2,0.0
full_eto,001,2010,11,2010-10-25,initial,0.6,0.159,6.99,3.63,3.63,1.0,1.0,14.2,122.4,0.0
full_eto,001,2010,12,2010-10-26,initial,0.6,0.165,6.99,3.63,3.63,1.0,1.0,14.9,137.3,0.0
full_eto,001,2010,13,2010-10-27,initial,0.6,0.171,8.44,4.38,4.38,1.0,1.0,15.4,152.7,0.0
full_eto,001,2010,14,2010-10-28,initial,0.6,0.177,7.7,3.99,3.99,1.0,1.0,15.5,168.2,0.0
full_eto,001,2010,15,2010-10-29,initial,0.6,0.183,5.49,2.85,2.85,1.0,1.0,15.1,183.3,0.0
full_eto,001,2010,16,2010-10-30,initial,0.6,0.189,5.31,2.76,2.76,1.0,1.0,15.6,198.9,0.0
full_eto,001,2010,17,2010-10-31,initial,0.6,0.195,5.44,2.83,2.83,1.0,1.0,16.3,215.1,0.0
full_eto,001,2010,18,2010-11-01,initial,0.6,0.201,6.02,3.13,3.13,1.0,1.0,17.3,232.5,0.0
full_eto,001,2010,19,2010-11-02,initial,0.6,0.207,6.92,3.6,3.6,1.0,1.0,17.7,250.1,0.0
full_eto,001,2010,20,2010-11-03,initial,0.6,0.212,7.32,3.8,3.8,1.0,1.0,17.5,267.6,0.0
full_eto,001,2010,21,2010-11-04,development,0.6,0.212,7.4,3.84,3.84,1.0,1.0,16.5,284.1,0.0
full_eto,001,2010,22,2010-11-05,development,0.614,0.231,6.62,3.52,3.52,1.0,1.0,17.9,302.0,0.0
full_eto,001,2010,23,2010-11-06,development,0.628,0.25,6.3,3.42,3.42,1.0,1.0,18.4,320.4,0.0
