# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-15
#   under underpv_medium (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7040
# CROP: cucumber
# PLANTING_DATE: 10-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-15,initial,0.6,0.1,8.76,4.33,4.33,1.0,0.993,7.0,7.0,0.0
full_eto,001,2010,2,2010-10-16,initial,0.6,0.106,8.01,3.97,3.97,1.0,0.993,7.0,14.0,0.0
full_eto,001,2010,3,2010-10-17,initial,0.6,0.112,7.31,3.62,3.62,1.0,1.0,7.5,21.5,0.0
full_eto,001,2010,4,2010-10-18,initial,0.6,0.118,8.63,4.27,4.27,1.0,1.0,8.1,29.5,0.0
full_eto,001,2010,5,2010-10-19,initial,0.6,0.124,8.96,4.43,4.43,1.0,0.881,7.6,37.1,0.0
full_eto,001,2010,6,2010-10-20,initial,0.6,0.13,7.84,3.88,3.88,1.0,1.0,9.1,46.2,0.0
full_eto,001,2010,7,2010-10-21,initial,0.6,0.136,7.91,3.92,3.92,1.0,1.0,9.3,55.5,0.0
full_eto,001,2010,8,2010-10-22,initial,0.6,0.141,7.72,3.83,3.83,1.0,1.0,9.5,64.9,0.0
full_eto,001,2010,9,2010-10-23,initial,0.6,0.147,6.72,3.34,3.34,1.0,1.0,10.1,75.0,0.0
full_eto,001,2010,10,2010-10-24,initial,0.6,0.153,6.75,3.35,3.35,1.0,1.0,10.4,85.4,0.0
full_eto,001,2010,11,2010-10-25,initial,0.6,0.159,6.88,3.42,3.42,1.0,1.0,11.0,96.4,0.0
full_eto,001,2010,12,2010-10-26,initial,0.6,0.165,6.87,3.41,3.41,1.0,1.0,11.5,107.8,0.0
full_eto,001,2010,13,2010-10-27,initial,0.6,0.171,8.31,4.12,4.12,1.0,1.0,11.9,119.7,0.0
full_eto,001,2010,14,2010-10-28,initial,0.6,0.177,7.58,3.76,3.76,1.0,1.0,11.9,131.7,0.0
full_eto,001,2010,15,2010-10-29,initial,0.6,0.183,5.4,2.69,2.69,1.0,1.0,11.6,143.2,0.0
full_eto,001,2010,16,2010-10-30,initial,0.6,0.189,5.22,2.6,2.6,1.0,1.0,12.0,155.2,0.0
full_eto,001,2010,17,2010-10-31,initial,0.6,0.195,5.35,2.66,2.66,1.0,1.0,12.5,167.7,0.0
full_eto,001,2010,18,2010-11-01,initial,0.6,0.201,5.92,2.95,2.95,1.0,1.0,13.3,181.0,0.0
full_eto,001,2010,19,2010-11-02,initial,0.6,0.207,6.8,3.39,3.39,1.0,1.0,13.6,194.6,0.0
full_eto,001,2010,20,2010-11-03,initial,0.6,0.212,7.21,3.58,3.58,1.0,1.0,13.4,208.1,0.0
full_eto,001,2010,21,2010-11-04,development,0.6,0.212,7.29,3.62,3.62,1.0,1.0,12.7,220.8,0.0
full_eto,001,2010,22,2010-11-05,development,0.614,0.231,6.52,3.31,3.31,1.0,1.0,13.8,234.6,0.0
full_eto,001,2010,23,2010-11-06,development,0.628,0.25,6.2,3.22,3.22,1.0,1.0,14.2,248.7,0.0
full_eto,001,2010,24,2010-11-07,development,0.641,0.268,5.36,2.85,2.85,1.0,1.0,15.8,264.6,0.0
full_eto,001,2010,25,2010-11-08,development,0.655,0.287,5.73,3.11,3.11,1.0,1.0,17.7,282.3,0.0
