# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 10-25
#   under underpv_low (fall-winter season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6990
# CROP: cucumber
# PLANTING_DATE: 10-25
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-25,initial,0.6,0.1,4.22,2.2,2.2,2.2,1.0,1.0,8.9,8.9,0.0
full_eto,001,2010,2,2010-10-26,initial,0.6,0.106,3.57,1.86,1.86,1.86,1.0,1.0,9.6,18.5,0.0
full_eto,001,2010,3,2010-10-27,initial,0.6,0.112,3.54,1.84,1.84,1.84,1.0,1.0,10.1,28.6,0.0
full_eto,001,2010,4,2010-10-28,initial,0.6,0.118,3.24,1.69,1.69,1.69,1.0,1.0,10.3,38.9,0.0
full_eto,001,2010,5,2010-10-29,initial,0.6,0.124,3.58,1.87,1.87,1.87,1.0,1.0,10.2,49.1,0.0
full_eto,001,2010,6,2010-10-30,initial,0.6,0.13,3.27,1.71,1.71,1.71,1.0,1.0,10.7,59.8,0.0
full_eto,001,2010,7,2010-10-31,initial,0.6,0.136,3.15,1.65,1.65,1.65,1.0,1.0,11.3,71.1,0.0
full_eto,001,2010,8,2010-11-01,initial,0.6,0.141,3.5,1.83,1.83,1.83,1.0,1.0,12.2,83.3,0.0
full_eto,001,2010,9,2010-11-02,initial,0.6,0.147,3.19,1.66,1.66,1.66,1.0,1.0,12.6,95.9,0.0
full_eto,001,2010,10,2010-11-03,initial,0.6,0.153,3.5,1.82,1.82,1.82,1.0,1.0,12.6,108.5,0.0
full_eto,001,2010,11,2010-11-04,initial,0.6,0.159,2.91,1.51,1.51,1.51,1.0,1.0,12.4,120.9,0.0
full_eto,001,2010,12,2010-11-05,initial,0.6,0.165,3.3,1.71,1.71,1.71,1.0,1.0,12.8,133.7,0.0
full_eto,001,2010,13,2010-11-06,initial,0.6,0.171,3.39,1.77,1.77,1.77,1.0,1.0,12.6,146.3,0.0
full_eto,001,2010,14,2010-11-07,initial,0.6,0.177,3.26,1.7,1.7,1.7,1.0,1.0,13.6,159.9,0.0
full_eto,001,2010,15,2010-11-08,initial,0.6,0.183,3.07,1.6,1.6,1.6,1.0,1.0,14.6,174.6,0.0
full_eto,001,2010,16,2010-11-09,initial,0.6,0.189,2.72,1.41,1.41,1.41,1.0,1.0,12.3,186.9,0.0
full_eto,001,2010,17,2010-11-10,initial,0.6,0.195,2.92,1.52,1.52,1.52,1.0,1.0,14.6,201.5,0.0
full_eto,001,2010,18,2010-11-11,initial,0.6,0.201,3.04,1.58,1.58,1.58,1.0,1.0,15.1,216.6,0.0
full_eto,001,2010,19,2010-11-12,initial,0.6,0.207,2.73,1.42,1.42,1.42,1.0,1.0,15.6,232.2,0.0
full_eto,001,2010,20,2010-11-13,initial,0.6,0.212,2.3,1.19,1.19,1.19,1.0,1.0,12.2,244.5,0.0
full_eto,001,2010,21,2010-11-14,development,0.6,0.212,2.79,1.45,1.45,1.45,1.0,1.0,15.6,260.0,0.0
full_eto,001,2010,22,2010-11-15,development,0.614,0.231,2.39,1.27,1.27,1.27,1.0,1.0,12.2,272.3,0.0
full_eto,001,2010,23,2010-11-16,development,0.628,0.25,2.87,1.56,1.56,1.59,1.0,1.0,16.7,289.0,0.0
full_eto,001,2010,24,2010-11-17,development,0.641,0.268,2.68,1.49,1.49,1.49,1.0,1.0,18.8,307.7,0.0
full_eto,001,2010,25,2010-11-18,development,0.655,0.287,2.71,1.54,1.54,1.54,1.0,1.0,20.7,328.4,0.0
full_eto,001,2010,26,2010-11-19,development,0.669,0.305,2.94,1.71,1.71,1.71,1.0,1.0,22.4,350.8,0.0
full_eto,001,2010,27,2010-11-20,development,0.683,0.324,3.12,1.85,1.85,1.85,1.0,1.0,23.3,374.2,0.0
full_eto,001,2010,28,2010-11-21,development,0.697,0.342,3.05,1.85,1.85,1.85,1.0,1.0,24.8,399.0,0.0
full_eto,001,2010,29,2010-11-22,development,0.71,0.361,3.11,1.92,1.92,1.92,1.0,1.0,26.6,425.5,0.0
full_eto,001,2010,30,2010-11-23,development,0.724,0.379,2.63,1.65,1.65,1.65,1.0,1.0,27.9,453.5,0.0
full_eto,001,2010,31,2010-11-24,development,0.738,0.398,2.41,1.54,1.54,1.54,1.0,1.0,24.6,478.1,0.0
full_eto,001,2010,32,2010-11-25,development,0.752,0.416,2.7,1.76,1.76,1.76,1.0,1.0,28.5,506.6,0.0
full_eto,001,2010,33,2010-11-26,development,0.766,0.435,2.76,1.83,1.83,1.83,1.0,1.0,29.9,536.5,0.0
full_eto,001,2010,34,2010-11-27,development,0.779,0.453,2.89,1.95,1.95,1.95,1.0,1.0,30.8,567.3,0.0
full_eto,001,2010,35,2010-11-28,development,0.793,0.472,2.51,1.72,1.72,1.72,1.0,1.0,32.5,599.8,0.0
full_eto,001,2010,36,2010-11-29,development,0.807,0.491,2.65,1.86,1.86,1.86,1.0,1.0,35.5,635.3,0.0
full_eto,001,2010,37,2010-11-30,development,0.821,0.509,2.35,1.67,1.67,1.67,1.0,1.0,37.6,672.9,0.0
full_eto,001,2010,38,2010-12-01,development,0.834,0.528,2.51,1.82,1.82,1.82,1.0,1.0,39.2,712.1,0.0
full_eto,001,2010,39,2010-12-02,development,0.848,0.546,2.6,1.92,1.92,1.92,1.0,1.0,40.8,752.9,0.0
full_eto,001,2010,40,2010-12-03,development,0.862,0.565,2.45,1.84,1.84,1.84,1.0,1.0,39.7,792.6,0.0
full_eto,001,2010,41,2010-12-04,development,0.876,0.583,2.5,1.9,1.9,1.9,1.0,1.0,41.1,833.7,0.0
full_eto,001,2010,42,2010-12-05,development,0.89,0.602,2.49,1.93,1.93,1.93,1.0,1.0,42.4,876.1,0.0
full_eto,001,2010,43,2010-12-06,development,0.903,0.62,3.2,2.52,2.52,2.52,1.0,0.848,36.4,912.5,0.0
full_eto,001,2010,44,2010-12-07,development,0.917,0.639,2.6,2.07,2.07,2.07,1.0,0.698,31.2,943.7,0.0
full_eto,001,2010,45,2010-12-08,development,0.931,0.657,2.23,1.81,1.81,1.81,1.0,0.716,30.3,974.0,0.0
full_eto,001,2010,46,2010-12-09,development,0.945,0.676,2.73,2.24,2.24,2.24,1.0,0.862,36.8,1010.8,0.0
full_eto,001,2010,47,2010-12-10,development,0.959,0.694,2.55,2.13,2.13,2.15,1.0,0.759,35.1,1046.0,0.0
full_eto,001,2010,48,2010-12-11,development,0.972,0.713,2.91,2.46,2.46,2.5,1.0,0.748,27.4,1073.4,0.0
full_eto,001,2010,49,2010-12-12,development,0.986,0.731,2.34,2.02,2.02,2.02,1.0,0.243,9.5,1082.9,0.0
full_eto,001,2010,50,2010-12-13,development,1.0,0.75,2.07,1.81,1.81,1.81,1.0,0.169,7.7,1090.6,0.0
full_eto,001,2010,51,2010-12-14,mid,1.0,0.75,1.35,1.18,1.18,1.18,1.0,0.402,18.9,1109.5,0.0
full_eto,001,2010,52,2010-12-15,mid,1.0,0.75,1.74,1.51,1.51,1.51,1.0,0.575,22.2,1131.7,0.0
full_eto,001,2010,53,2010-12-16,mid,1.0,0.75,1.86,1.62,1.62,1.62,1.0,0.913,45.4,1177.1,0.0
full_eto,001,2010,54,2010-12-17,mid,1.0,0.75,1.96,1.7,1.7,1.7,1.0,0.932,46.6,1223.7,0.0
full_eto,001,2010,55,2010-12-18,mid,1.0,0.75,2.51,2.19,2.19,2.19,1.0,0.59,28.9,1252.6,0.0
full_eto,001,2010,56,2010-12-19,mid,1.0,0.75,2.51,2.19,2.19,2.19,1.0,0.427,21.6,1274.2,0.0
full_eto,001,2010,57,2010-12-20,mid,1.0,0.75,2.57,2.23,2.23,2.23,1.0,0.679,32.5,1306.7,0.0
full_eto,001,2010,58,2010-12-21,mid,1.0,0.75,2.42,2.11,2.11,2.11,1.0,0.787,37.3,1344.0,0.0
full_eto,001,2010,59,2010-12-22,mid,1.0,0.75,2.53,2.2,2.2,2.2,1.0,0.857,38.5,1382.5,0.0
full_eto,001,2010,60,2010-12-23,mid,1.0,0.75,3.16,2.75,2.75,2.75,1.0,0.841,37.3,1419.8,0.0
full_eto,001,2010,61,2010-12-24,mid,1.0,0.75,2.77,2.4,2.4,2.4,1.0,0.78,40.2,1460.0,0.0
full_eto,001,2010,62,2010-12-25,mid,1.0,0.75,2.27,1.97,1.97,1.97,1.0,0.745,38.8,1498.8,0.0
full_eto,001,2010,63,2010-12-26,mid,1.0,0.75,1.99,1.73,1.73,1.73,1.0,0.838,43.7,1542.5,0.0
full_eto,001,2010,64,2010-12-27,mid,1.0,0.75,2.48,2.16,2.16,2.16,1.0,0.841,43.4,1585.8,0.0
full_eto,001,2010,65,2010-12-28,mid,1.0,0.75,2.79,2.43,2.43,2.43,1.0,0.901,46.1,1631.9,0.0
full_eto,001,2010,66,2010-12-29,mid,1.0,0.75,2.61,2.26,2.26,2.49,1.0,0.876,16.0,1647.9,0.0
full_eto,001,2010,67,2010-12-30,mid,1.0,0.75,2.3,2.01,2.01,2.21,1.0,0.632,18.1,1666.0,0.0
full_eto,001,2010,68,2010-12-31,mid,1.0,0.75,2.3,2.01,2.01,2.07,1.0,0.465,20.9,1686.8,0.0
full_eto,001,2010,69,2011-01-01,mid,1.0,0.75,2.0,1.74,1.74,1.74,1.0,0.448,22.4,1709.2,0.0
full_eto,001,2010,70,2011-01-02,mid,1.0,0.75,1.73,1.51,1.51,1.51,1.0,0.577,28.6,1737.8,0.0
full_eto,001,2010,71,2011-01-03,mid,1.0,0.75,1.63,1.42,1.42,1.42,1.0,0.552,20.8,1758.6,0.0
full_eto,001,2010,72,2011-01-04,mid,1.0,0.75,2.46,2.15,2.15,2.15,1.0,0.452,23.1,1781.8,0.0
full_eto,001,2010,73,2011-01-05,mid,1.0,0.75,2.52,2.2,2.2,2.2,1.0,0.412,21.8,1803.6,0.0
full_eto,001,2010,74,2011-01-06,mid,1.0,0.75,2.56,2.23,2.23,2.23,1.0,0.462,24.2,1827.8,0.0
full_eto,001,2010,75,2011-01-07,mid,1.0,0.75,2.92,2.55,2.55,2.55,1.0,0.501,26.0,1853.8,0.0
full_eto,001,2010,76,2011-01-08,mid,1.0,0.75,2.63,2.3,2.3,2.3,1.0,0.303,16.5,1870.3,0.0
full_eto,001,2010,77,2011-01-09,mid,1.0,0.75,2.44,2.13,2.13,2.13,1.0,0.25,13.6,1883.9,0.0
full_eto,001,2010,78,2011-01-10,mid,1.0,0.75,2.27,1.98,1.98,1.98,1.0,0.303,16.9,1900.8,0.0
full_eto,001,2010,79,2011-01-11,mid,1.0,0.75,2.07,1.8,1.8,1.8,1.0,0.416,21.9,1922.7,0.0
full_eto,001,2010,80,2011-01-12,mid,1.0,0.75,1.89,1.64,1.64,1.64,1.0,0.651,33.5,1956.2,0.0
full_eto,001,2010,81,2011-01-13,mid,1.0,0.75,2.06,1.79,1.79,1.79,1.0,0.553,30.7,1986.9,0.0
full_eto,001,2010,82,2011-01-14,mid,1.0,0.75,2.34,2.04,2.04,2.05,1.0,0.409,21.8,2008.7,0.0
full_eto,001,2010,83,2011-01-15,mid,1.0,0.75,2.25,1.96,1.96,2.09,1.0,0.292,13.7,2022.4,0.0
full_eto,001,2010,84,2011-01-16,mid,1.0,0.75,2.36,2.06,2.06,2.06,1.0,0.353,19.4,2041.8,0.0
full_eto,001,2010,85,2011-01-17,mid,1.0,0.75,1.8,1.57,1.57,1.73,1.0,0.413,19.9,2061.7,0.0
full_eto,001,2010,86,2011-01-18,late,1.0,0.75,1.88,1.64,1.64,1.81,1.0,0.195,6.4,2068.2,0.0
