# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-01
#   under openfield (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-01
# CONDITION: openfield
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-01,initial,0.6,0.1,11.74,7.04,7.04,1.0,1.0,18.9,18.9,0.0
full_eto,001,2010,2,2010-09-02,initial,0.6,0.106,10.41,6.25,6.25,1.0,1.0,20.1,39.0,0.0
full_eto,001,2010,3,2010-09-03,initial,0.6,0.112,11.35,6.81,6.81,1.0,1.0,21.2,60.2,0.0
full_eto,001,2010,4,2010-09-04,initial,0.6,0.118,11.56,6.94,6.94,1.0,1.0,21.7,81.9,0.0
full_eto,001,2010,5,2010-09-05,initial,0.6,0.124,10.56,6.34,6.34,1.0,1.0,22.4,104.3,0.0
full_eto,001,2010,6,2010-09-06,initial,0.6,0.13,12.01,7.2,7.2,1.0,0.919,22.7,127.0,0.0
full_eto,001,2010,7,2010-09-07,initial,0.6,0.136,13.32,7.99,7.99,1.0,0.853,21.1,148.1,0.0
full_eto,001,2010,8,2010-09-08,initial,0.6,0.141,11.25,6.75,6.75,1.0,0.958,24.4,172.6,0.0
full_eto,001,2010,9,2010-09-09,initial,0.6,0.147,10.36,6.22,6.22,1.0,1.0,26.6,199.2,0.0
full_eto,001,2010,10,2010-09-10,initial,0.6,0.153,10.7,6.42,6.42,1.0,1.0,27.7,226.9,0.0
full_eto,001,2010,11,2010-09-11,initial,0.6,0.159,10.13,6.08,6.08,1.0,1.0,28.9,255.8,0.0
full_eto,001,2010,12,2010-09-12,initial,0.6,0.165,11.62,6.97,6.97,1.0,0.912,27.2,283.0,0.0
full_eto,001,2010,13,2010-09-13,initial,0.6,0.171,10.86,6.52,6.52,1.0,1.0,30.2,313.3,0.0
full_eto,001,2010,14,2010-09-14,initial,0.6,0.177,9.77,5.86,5.86,1.0,1.0,31.7,345.0,0.0
full_eto,001,2010,15,2010-09-15,initial,0.6,0.183,8.87,5.32,5.32,1.0,1.0,33.2,378.2,0.0
full_eto,001,2010,16,2010-09-16,initial,0.6,0.189,9.64,5.78,5.78,1.0,1.0,33.0,411.2,0.0
full_eto,001,2010,17,2010-09-17,initial,0.6,0.195,8.39,5.03,5.03,1.0,1.0,34.2,445.5,0.0
full_eto,001,2010,18,2010-09-18,initial,0.6,0.201,9.77,5.86,5.86,1.0,1.0,35.8,481.2,0.0
full_eto,001,2010,19,2010-09-19,initial,0.6,0.207,8.91,5.35,5.35,1.0,1.0,36.7,517.9,0.0
full_eto,001,2010,20,2010-09-20,initial,0.6,0.212,9.65,5.79,5.79,1.0,1.0,36.9,554.8,0.0
full_eto,001,2010,21,2010-09-21,development,0.6,0.212,9.22,5.53,5.53,1.0,1.0,33.2,588.0,0.0
full_eto,001,2010,22,2010-09-22,development,0.614,0.231,9.63,5.91,5.91,1.0,1.0,21.5,609.5,0.0
full_eto,001,2010,23,2010-09-23,development,0.628,0.25,9.63,6.04,6.04,1.0,0.966,37.6,647.0,0.0
full_eto,001,2010,24,2010-09-24,development,0.641,0.268,9.82,6.3,6.3,1.0,0.959,36.8,683.8,0.0
full_eto,001,2010,25,2010-09-25,development,0.655,0.287,9.66,6.33,6.33,1.0,0.969,41.4,725.2,0.0
full_eto,001,2010,26,2010-09-26,development,0.669,0.305,10.28,6.88,6.88,1.0,0.987,45.5,770.8,0.0
