# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-01
#   under underpv_high (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-01
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-01,initial,0.6,0.1,11.12,3.87,3.87,1.0,1.0,6.6,6.6,0.0
full_eto,001,2010,2,2010-09-02,initial,0.6,0.106,9.86,3.44,3.44,1.0,1.0,7.0,13.6,0.0
full_eto,001,2010,3,2010-09-03,initial,0.6,0.112,10.75,3.75,3.75,1.0,1.0,7.4,21.1,0.0
full_eto,001,2010,4,2010-09-04,initial,0.6,0.118,10.96,3.82,3.82,1.0,1.0,7.6,28.7,0.0
full_eto,001,2010,5,2010-09-05,initial,0.6,0.124,10.01,3.49,3.49,1.0,1.0,7.8,36.5,0.0
full_eto,001,2010,6,2010-09-06,initial,0.6,0.13,11.39,3.96,3.96,1.0,1.0,8.7,45.1,0.0
full_eto,001,2010,7,2010-09-07,initial,0.6,0.136,12.64,4.4,4.4,1.0,1.0,8.7,53.8,0.0
full_eto,001,2010,8,2010-09-08,initial,0.6,0.141,10.67,3.71,3.71,1.0,1.0,8.9,62.8,0.0
full_eto,001,2010,9,2010-09-09,initial,0.6,0.147,9.81,3.42,3.42,1.0,1.0,9.3,72.1,0.0
full_eto,001,2010,10,2010-09-10,initial,0.6,0.153,10.14,3.53,3.53,1.0,1.0,9.7,81.8,0.0
full_eto,001,2010,11,2010-09-11,initial,0.6,0.159,9.59,3.34,3.34,1.0,1.0,10.1,91.9,0.0
full_eto,001,2010,12,2010-09-12,initial,0.6,0.165,11.02,3.83,3.83,1.0,1.0,10.4,102.3,0.0
full_eto,001,2010,13,2010-09-13,initial,0.6,0.171,10.29,3.58,3.58,1.0,1.0,10.6,112.9,0.0
full_eto,001,2010,14,2010-09-14,initial,0.6,0.177,9.23,3.22,3.22,1.0,1.0,11.1,124.0,0.0
full_eto,001,2010,15,2010-09-15,initial,0.6,0.183,8.38,2.93,2.93,1.0,1.0,11.6,135.7,0.0
full_eto,001,2010,16,2010-09-16,initial,0.6,0.189,9.11,3.18,3.18,1.0,1.0,11.6,147.2,0.0
full_eto,001,2010,17,2010-09-17,initial,0.6,0.195,7.93,2.77,2.77,1.0,1.0,12.0,159.2,0.0
full_eto,001,2010,18,2010-09-18,initial,0.6,0.201,9.23,3.22,3.22,1.0,1.0,12.5,171.7,0.0
full_eto,001,2010,19,2010-09-19,initial,0.6,0.207,8.42,2.94,2.94,1.0,1.0,12.9,184.6,0.0
full_eto,001,2010,20,2010-09-20,initial,0.6,0.212,9.13,3.18,3.18,1.0,1.0,12.9,197.4,0.0
full_eto,001,2010,21,2010-09-21,development,0.6,0.212,8.74,3.04,3.04,1.0,1.0,11.6,209.1,0.0
full_eto,001,2010,22,2010-09-22,development,0.614,0.231,9.12,3.25,3.25,1.0,1.0,7.5,216.6,0.0
full_eto,001,2010,23,2010-09-23,development,0.628,0.25,9.13,3.32,3.32,1.0,1.0,13.6,230.2,0.0
full_eto,001,2010,24,2010-09-24,development,0.641,0.268,9.31,3.47,3.47,1.0,1.0,13.4,243.6,0.0
full_eto,001,2010,25,2010-09-25,development,0.655,0.287,9.15,3.48,3.48,1.0,1.0,14.9,258.5,0.0
full_eto,001,2010,26,2010-09-26,development,0.669,0.305,9.74,3.78,3.78,1.0,1.0,16.1,274.7,0.0
full_eto,001,2010,27,2010-09-27,development,0.683,0.324,10.18,4.02,4.02,1.0,1.0,16.7,291.4,0.0
full_eto,001,2010,28,2010-09-28,development,0.697,0.342,10.43,4.21,4.21,1.0,1.0,17.4,308.8,0.0
full_eto,001,2010,29,2010-09-29,development,0.71,0.361,10.14,4.17,4.17,1.0,1.0,19.1,327.8,0.0
full_eto,001,2010,30,2010-09-30,development,0.724,0.379,10.64,4.46,4.46,1.0,1.0,20.5,348.4,0.0
full_eto,001,2010,31,2010-10-01,development,0.738,0.398,9.24,3.95,3.95,1.0,1.0,20.7,369.1,0.0
full_eto,001,2010,32,2010-10-02,development,0.752,0.416,9.42,4.1,4.1,1.0,0.959,20.1,389.2,0.0
full_eto,001,2010,33,2010-10-03,development,0.766,0.435,9.28,4.11,4.11,1.0,1.0,20.7,409.9,0.0
full_eto,001,2010,34,2010-10-04,development,0.779,0.453,8.25,3.73,3.73,1.0,1.0,19.9,429.8,0.0
full_eto,001,2010,35,2010-10-05,development,0.793,0.472,7.54,3.47,3.47,1.0,1.0,21.8,451.6,0.0
full_eto,001,2010,36,2010-10-06,development,0.807,0.491,6.86,3.22,3.22,1.0,1.0,25.0,476.6,0.0
full_eto,001,2010,37,2010-10-07,development,0.821,0.509,6.93,3.31,3.31,1.0,1.0,27.0,503.7,0.0
full_eto,001,2010,38,2010-10-08,development,0.834,0.528,7.03,3.42,3.42,1.0,1.0,28.9,532.5,0.0
full_eto,001,2010,39,2010-10-09,development,0.848,0.546,7.72,3.81,3.81,1.0,1.0,29.4,562.0,0.0
full_eto,001,2010,40,2010-10-10,development,0.862,0.565,7.09,3.55,3.55,1.0,1.0,28.5,590.5,0.0
full_eto,001,2010,41,2010-10-11,development,0.876,0.583,7.53,3.84,3.84,1.0,1.0,30.2,620.7,0.0
full_eto,001,2010,42,2010-10-12,development,0.89,0.602,6.9,3.58,3.58,1.0,1.0,31.8,652.5,0.0
full_eto,001,2010,43,2010-10-13,development,0.903,0.62,9.2,4.83,4.83,1.0,1.0,29.1,681.6,0.0
full_eto,001,2010,44,2010-10-14,development,0.917,0.639,7.82,4.16,4.16,1.0,1.0,32.5,714.1,0.0
full_eto,001,2010,45,2010-10-15,development,0.931,0.657,8.57,4.62,4.62,1.0,1.0,32.7,746.8,0.0
full_eto,001,2010,46,2010-10-16,development,0.945,0.676,7.84,4.29,4.29,1.0,1.0,31.5,778.3,0.0
full_eto,001,2010,47,2010-10-17,development,0.959,0.694,7.16,3.98,3.98,1.0,1.0,32.4,810.7,0.0
full_eto,001,2010,48,2010-10-18,development,0.972,0.713,8.44,4.76,4.76,1.0,1.0,34.0,844.7,0.0
full_eto,001,2010,49,2010-10-19,development,0.986,0.731,8.78,5.01,5.01,1.0,1.0,35.6,880.4,0.0
full_eto,001,2010,50,2010-10-20,development,1.0,0.75,7.68,4.45,4.45,1.0,1.0,36.7,917.1,0.0
full_eto,001,2010,51,2010-10-21,mid,1.0,0.75,7.74,4.5,4.5,1.0,1.0,36.0,953.1,0.0
full_eto,001,2010,52,2010-10-22,mid,1.0,0.75,7.55,4.39,4.39,1.0,1.0,35.2,988.3,0.0
full_eto,001,2010,53,2010-10-23,mid,1.0,0.75,6.57,3.82,3.82,1.0,1.0,36.0,1024.2,0.0
full_eto,001,2010,54,2010-10-24,mid,1.0,0.75,6.59,3.84,3.84,1.0,1.0,35.6,1059.8,0.0
full_eto,001,2010,55,2010-10-25,mid,1.0,0.75,6.72,3.92,3.92,1.0,1.0,36.2,1096.0,0.0
full_eto,001,2010,56,2010-10-26,mid,1.0,0.75,6.71,3.91,3.91,1.0,1.0,36.5,1132.5,0.0
full_eto,001,2010,57,2010-10-27,mid,1.0,0.75,8.13,4.73,4.73,1.0,1.0,36.5,1169.1,0.0
full_eto,001,2010,58,2010-10-28,mid,1.0,0.75,7.42,4.31,4.31,1.0,1.0,35.4,1204.5,0.0
full_eto,001,2010,59,2010-10-29,mid,1.0,0.75,5.27,3.08,3.08,1.0,1.0,33.2,1237.7,0.0
full_eto,001,2010,60,2010-10-30,mid,1.0,0.75,5.09,2.98,2.98,1.0,0.95,31.8,1269.5,0.0
full_eto,001,2010,61,2010-10-31,mid,1.0,0.75,5.21,3.05,3.05,1.0,0.961,32.3,1301.8,0.0
full_eto,001,2010,62,2010-11-01,mid,1.0,0.75,5.77,3.37,3.37,1.0,0.934,32.5,1334.3,0.0
full_eto,001,2010,63,2010-11-02,mid,1.0,0.75,6.64,3.88,3.88,1.0,1.0,34.6,1368.9,0.0
full_eto,001,2010,64,2010-11-03,mid,1.0,0.75,7.04,4.1,4.1,1.0,1.0,33.0,1402.0,0.0
full_eto,001,2010,65,2010-11-04,mid,1.0,0.75,7.12,4.15,4.15,1.0,1.0,31.5,1433.4,0.0
full_eto,001,2010,66,2010-11-05,mid,1.0,0.75,6.37,3.71,3.71,1.0,1.0,31.3,1464.7,0.0
full_eto,001,2010,67,2010-11-06,mid,1.0,0.75,6.06,3.53,3.53,1.0,1.0,29.9,1494.7,0.0
full_eto,001,2010,68,2010-11-07,mid,1.0,0.75,5.23,3.06,3.06,1.0,1.0,31.1,1525.8,0.0
full_eto,001,2010,69,2010-11-08,mid,1.0,0.75,5.58,3.26,3.26,1.0,0.992,32.2,1558.0,0.0
full_eto,001,2010,70,2010-11-09,mid,1.0,0.75,5.94,3.47,3.47,1.0,1.0,26.2,1584.2,0.0
full_eto,001,2010,71,2010-11-10,mid,1.0,0.75,6.19,3.61,3.61,1.0,1.0,30.3,1614.6,0.0
full_eto,001,2010,72,2010-11-11,mid,1.0,0.75,5.84,3.41,3.41,1.0,1.0,30.3,1644.9,0.0
full_eto,001,2010,73,2010-11-12,mid,1.0,0.75,5.99,3.49,3.49,1.0,1.0,30.5,1675.4,0.0
full_eto,001,2010,74,2010-11-13,mid,1.0,0.75,5.74,3.34,3.34,1.0,1.0,23.3,1698.7,0.0
full_eto,001,2010,75,2010-11-14,mid,1.0,0.75,6.27,3.65,3.65,1.0,1.0,29.7,1728.5,0.0
