# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-01
#   under underpv_low (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-01
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-01,initial,0.6,0.1,11.54,5.99,5.99,1.0,1.0,12.3,12.3,0.0
full_eto,001,2010,2,2010-09-02,initial,0.6,0.106,10.24,5.31,5.31,1.0,1.0,13.1,25.4,0.0
full_eto,001,2010,3,2010-09-03,initial,0.6,0.112,11.16,5.79,5.79,1.0,1.0,13.8,39.1,0.0
full_eto,001,2010,4,2010-09-04,initial,0.6,0.118,11.37,5.9,5.9,1.0,1.0,14.1,53.3,0.0
full_eto,001,2010,5,2010-09-05,initial,0.6,0.124,10.38,5.39,5.39,1.0,1.0,14.6,67.8,0.0
full_eto,001,2010,6,2010-09-06,initial,0.6,0.13,11.81,6.12,6.12,1.0,1.0,16.1,83.9,0.0
full_eto,001,2010,7,2010-09-07,initial,0.6,0.136,13.1,6.79,6.79,1.0,0.952,15.3,99.2,0.0
full_eto,001,2010,8,2010-09-08,initial,0.6,0.141,11.07,5.74,5.74,1.0,1.0,16.6,115.8,0.0
full_eto,001,2010,9,2010-09-09,initial,0.6,0.147,10.18,5.28,5.28,1.0,1.0,17.3,133.0,0.0
full_eto,001,2010,10,2010-09-10,initial,0.6,0.153,10.52,5.46,5.46,1.0,1.0,18.0,151.1,0.0
full_eto,001,2010,11,2010-09-11,initial,0.6,0.159,9.96,5.17,5.17,1.0,1.0,18.8,169.9,0.0
full_eto,001,2010,12,2010-09-12,initial,0.6,0.165,11.43,5.92,5.92,1.0,1.0,19.4,189.3,0.0
full_eto,001,2010,13,2010-09-13,initial,0.6,0.171,10.68,5.54,5.54,1.0,1.0,19.6,208.9,0.0
full_eto,001,2010,14,2010-09-14,initial,0.6,0.177,9.6,4.98,4.98,1.0,1.0,20.6,229.5,0.0
full_eto,001,2010,15,2010-09-15,initial,0.6,0.183,8.71,4.52,4.52,1.0,1.0,21.6,251.1,0.0
full_eto,001,2010,16,2010-09-16,initial,0.6,0.189,9.47,4.92,4.92,1.0,1.0,21.5,272.6,0.0
full_eto,001,2010,17,2010-09-17,initial,0.6,0.195,8.24,4.28,4.28,1.0,1.0,22.3,294.9,0.0
full_eto,001,2010,18,2010-09-18,initial,0.6,0.201,9.6,4.98,4.98,1.0,1.0,23.2,318.1,0.0
full_eto,001,2010,19,2010-09-19,initial,0.6,0.207,8.75,4.55,4.55,1.0,1.0,23.8,342.0,0.0
full_eto,001,2010,20,2010-09-20,initial,0.6,0.212,9.48,4.92,4.92,1.0,1.0,24.0,366.0,0.0
full_eto,001,2010,21,2010-09-21,development,0.6,0.212,9.07,4.7,4.7,1.0,1.0,21.5,387.5,0.0
full_eto,001,2010,22,2010-09-22,development,0.614,0.231,9.47,5.02,5.02,1.0,1.0,14.0,401.5,0.0
full_eto,001,2010,23,2010-09-23,development,0.628,0.25,9.47,5.14,5.14,1.0,1.0,25.3,426.8,0.0
full_eto,001,2010,24,2010-09-24,development,0.641,0.268,9.66,5.36,5.36,1.0,1.0,24.9,451.7,0.0
full_eto,001,2010,25,2010-09-25,development,0.655,0.287,9.49,5.38,5.38,1.0,1.0,27.8,479.5,0.0
full_eto,001,2010,26,2010-09-26,development,0.669,0.305,10.11,5.84,5.84,1.0,1.0,30.0,509.5,0.0
full_eto,001,2010,27,2010-09-27,development,0.683,0.324,10.54,6.22,6.22,1.0,0.896,27.8,537.3,0.0
full_eto,001,2010,28,2010-09-28,development,0.697,0.342,10.81,6.5,6.5,1.0,0.823,26.6,563.9,0.0
full_eto,001,2010,29,2010-09-29,development,0.71,0.361,10.51,6.45,6.45,1.0,0.892,31.6,595.5,0.0
