# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-01
#   under underpv_medium (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-01,initial,0.6,0.1,4.88,2.42,2.42,2.42,1.0,1.0,9.5,9.5,0.0
full_eto,001,2010,2,2010-09-02,initial,0.6,0.106,4.64,2.31,2.31,2.31,1.0,1.0,10.0,19.5,0.0
full_eto,001,2010,3,2010-09-03,initial,0.6,0.112,4.73,2.35,2.35,2.35,1.0,1.0,10.6,30.1,0.0
full_eto,001,2010,4,2010-09-04,initial,0.6,0.118,4.87,2.42,2.42,2.42,1.0,1.0,10.9,41.0,0.0
full_eto,001,2010,5,2010-09-05,initial,0.6,0.124,4.57,2.27,2.27,2.27,1.0,1.0,11.2,52.2,0.0
full_eto,001,2010,6,2010-09-06,initial,0.6,0.13,5.12,2.54,2.54,2.54,1.0,1.0,12.4,64.5,0.0
full_eto,001,2010,7,2010-09-07,initial,0.6,0.136,5.39,2.67,2.67,2.67,1.0,1.0,12.4,76.9,0.0
full_eto,001,2010,8,2010-09-08,initial,0.6,0.141,4.77,2.36,2.36,2.36,1.0,1.0,12.8,89.7,0.0
full_eto,001,2010,9,2010-09-09,initial,0.6,0.147,4.59,2.28,2.28,2.28,1.0,1.0,13.3,103.0,0.0
full_eto,001,2010,10,2010-09-10,initial,0.6,0.153,4.58,2.27,2.27,2.27,1.0,1.0,13.9,116.8,0.0
full_eto,001,2010,11,2010-09-11,initial,0.6,0.159,4.55,2.26,2.26,2.26,1.0,1.0,14.4,131.3,0.0
full_eto,001,2010,12,2010-09-12,initial,0.6,0.165,4.66,2.31,2.31,2.31,1.0,1.0,14.9,146.2,0.0
full_eto,001,2010,13,2010-09-13,initial,0.6,0.171,4.9,2.44,2.44,2.44,1.0,1.0,15.1,161.3,0.0
full_eto,001,2010,14,2010-09-14,initial,0.6,0.177,4.5,2.24,2.24,2.24,1.0,1.0,15.9,177.1,0.0
full_eto,001,2010,15,2010-09-15,initial,0.6,0.183,4.11,2.05,2.05,2.05,1.0,1.0,16.6,193.7,0.0
full_eto,001,2010,16,2010-09-16,initial,0.6,0.189,4.26,2.12,2.12,2.12,1.0,1.0,16.5,210.3,0.0
full_eto,001,2010,17,2010-09-17,initial,0.6,0.195,4.19,2.09,2.09,2.09,1.0,1.0,17.1,227.4,0.0
full_eto,001,2010,18,2010-09-18,initial,0.6,0.201,4.5,2.24,2.24,2.24,1.0,1.0,17.9,245.3,0.0
full_eto,001,2010,19,2010-09-19,initial,0.6,0.207,3.41,1.69,1.69,1.69,1.0,1.0,18.3,263.6,0.0
full_eto,001,2010,20,2010-09-20,initial,0.6,0.212,3.18,1.58,1.58,1.58,1.0,1.0,18.5,282.1,0.0
full_eto,001,2010,21,2010-09-21,development,0.6,0.212,3.65,1.81,1.81,1.81,1.0,1.0,16.6,298.6,0.0
full_eto,001,2010,22,2010-09-22,development,0.614,0.231,3.38,1.71,1.71,1.71,1.0,1.0,10.8,309.4,0.0
full_eto,001,2010,23,2010-09-23,development,0.628,0.25,3.81,1.97,1.97,1.97,1.0,1.0,19.4,328.8,0.0
full_eto,001,2010,24,2010-09-24,development,0.641,0.268,4.04,2.14,2.14,2.14,1.0,1.0,19.2,348.0,0.0
full_eto,001,2010,25,2010-09-25,development,0.655,0.287,4.19,2.27,2.27,2.27,1.0,1.0,21.4,369.4,0.0
full_eto,001,2010,26,2010-09-26,development,0.669,0.305,3.79,2.09,2.09,2.09,1.0,1.0,23.1,392.5,0.0
full_eto,001,2010,27,2010-09-27,development,0.683,0.324,4.04,2.27,2.27,2.27,1.0,0.984,23.4,415.9,0.0
full_eto,001,2010,28,2010-09-28,development,0.697,0.342,3.99,2.28,2.28,2.28,1.0,0.911,22.6,438.6,0.0
full_eto,001,2010,29,2010-09-29,development,0.71,0.361,3.86,2.26,2.26,2.26,1.0,0.979,26.7,465.3,0.0
full_eto,001,2010,30,2010-09-30,development,0.724,0.379,3.63,2.16,2.16,2.16,1.0,0.943,27.6,492.9,0.0
full_eto,001,2010,31,2010-10-01,development,0.738,0.398,3.2,1.94,1.94,1.94,1.0,1.0,29.6,522.5,0.0
full_eto,001,2010,32,2010-10-02,development,0.752,0.416,2.9,1.79,1.79,1.79,1.0,0.834,24.9,547.4,0.0
full_eto,001,2010,33,2010-10-03,development,0.766,0.435,3.0,1.89,1.89,1.89,1.0,0.933,27.6,575.0,0.0
full_eto,001,2010,34,2010-10-04,development,0.779,0.453,3.5,2.25,2.25,2.25,1.0,1.0,28.4,603.5,0.0
full_eto,001,2010,35,2010-10-05,development,0.793,0.472,3.57,2.34,2.34,2.34,1.0,1.0,31.1,634.5,0.0
full_eto,001,2010,36,2010-10-06,development,0.807,0.491,3.69,2.47,2.47,2.47,1.0,1.0,35.9,670.4,0.0
full_eto,001,2010,37,2010-10-07,development,0.821,0.509,3.7,2.53,2.53,2.53,1.0,1.0,38.8,709.2,0.0
full_eto,001,2010,38,2010-10-08,development,0.834,0.528,3.64,2.52,2.52,2.52,1.0,1.0,41.2,750.3,0.0
full_eto,001,2010,39,2010-10-09,development,0.848,0.546,3.26,2.29,2.29,2.29,1.0,1.0,42.0,792.4,0.0
full_eto,001,2010,40,2010-10-10,development,0.862,0.565,2.69,1.91,1.91,1.91,1.0,1.0,40.8,833.2,0.0
full_eto,001,2010,41,2010-10-11,development,0.876,0.583,3.68,2.68,2.68,2.68,1.0,1.0,43.2,876.4,0.0
full_eto,001,2010,42,2010-10-12,development,0.89,0.602,3.24,2.39,2.39,2.39,1.0,1.0,45.4,921.8,0.0
full_eto,001,2010,43,2010-10-13,development,0.903,0.62,3.36,2.5,2.5,2.5,1.0,1.0,41.5,963.3,0.0
full_eto,001,2010,44,2010-10-14,development,0.917,0.639,3.05,2.31,2.31,2.31,1.0,1.0,46.4,1009.7,0.0
full_eto,001,2010,45,2010-10-15,development,0.931,0.657,2.61,2.01,2.01,2.01,1.0,0.993,46.3,1056.0,0.0
full_eto,001,2010,46,2010-10-16,development,0.945,0.676,2.46,1.92,1.92,1.92,1.0,0.993,44.5,1100.5,0.0
full_eto,001,2010,47,2010-10-17,development,0.959,0.694,3.0,2.38,2.38,2.38,1.0,1.0,46.3,1146.8,0.0
full_eto,001,2010,48,2010-10-18,development,0.972,0.713,2.67,2.14,2.14,2.14,1.0,1.0,48.8,1195.6,0.0
full_eto,001,2010,49,2010-10-19,development,0.986,0.731,2.86,2.32,2.32,2.32,1.0,0.881,44.9,1240.5,0.0
full_eto,001,2010,50,2010-10-20,development,1.0,0.75,3.19,2.64,2.64,2.64,1.0,1.0,52.5,1293.0,0.0
full_eto,001,2010,51,2010-10-21,mid,1.0,0.75,3.3,2.72,2.72,2.72,1.0,1.0,51.3,1344.3,0.0
full_eto,001,2010,52,2010-10-22,mid,1.0,0.75,3.63,3.0,3.0,3.0,1.0,1.0,50.2,1394.5,0.0
full_eto,001,2010,53,2010-10-23,mid,1.0,0.75,3.52,2.92,2.92,2.92,1.0,1.0,51.3,1445.8,0.0
full_eto,001,2010,54,2010-10-24,mid,1.0,0.75,3.53,2.93,2.93,2.93,1.0,1.0,50.7,1496.6,0.0
full_eto,001,2010,55,2010-10-25,mid,1.0,0.75,3.72,3.1,3.1,3.1,1.0,1.0,51.7,1548.3,0.0
full_eto,001,2010,56,2010-10-26,mid,1.0,0.75,3.1,2.57,2.57,2.57,1.0,1.0,52.1,1600.4,0.0
full_eto,001,2010,57,2010-10-27,mid,1.0,0.75,3.03,2.51,2.51,2.51,1.0,1.0,52.1,1652.5,0.0
full_eto,001,2010,58,2010-10-28,mid,1.0,0.75,2.74,2.26,2.26,2.26,1.0,1.0,50.5,1703.0,0.0
full_eto,001,2010,59,2010-10-29,mid,1.0,0.75,3.16,2.64,2.64,2.64,1.0,1.0,47.4,1750.4,0.0
full_eto,001,2010,60,2010-10-30,mid,1.0,0.75,2.88,2.4,2.4,2.4,1.0,1.0,47.6,1798.1,0.0
full_eto,001,2010,61,2010-10-31,mid,1.0,0.75,2.76,2.3,2.3,2.3,1.0,1.0,48.2,1846.3,0.0
full_eto,001,2010,62,2010-11-01,mid,1.0,0.75,3.09,2.57,2.57,2.57,1.0,1.0,49.8,1896.0,0.0
full_eto,001,2010,63,2010-11-02,mid,1.0,0.75,2.77,2.29,2.29,2.29,1.0,1.0,49.4,1945.4,0.0
full_eto,001,2010,64,2010-11-03,mid,1.0,0.75,3.05,2.52,2.52,2.52,1.0,1.0,47.4,1992.9,0.0
full_eto,001,2010,65,2010-11-04,mid,1.0,0.75,2.5,2.06,2.06,2.06,1.0,1.0,44.9,2037.8,0.0
full_eto,001,2010,66,2010-11-05,mid,1.0,0.75,2.85,2.36,2.36,2.36,1.0,1.0,44.7,2082.5,0.0
full_eto,001,2010,67,2010-11-06,mid,1.0,0.75,2.97,2.46,2.46,2.46,1.0,1.0,42.6,2125.0,0.0
full_eto,001,2010,68,2010-11-07,mid,1.0,0.75,2.88,2.39,2.39,2.39,1.0,1.0,44.3,2169.4,0.0
full_eto,001,2010,69,2010-11-08,mid,1.0,0.75,2.69,2.23,2.23,2.23,1.0,1.0,46.3,2215.6,0.0
full_eto,001,2010,70,2010-11-09,mid,1.0,0.75,2.38,1.96,1.96,1.96,1.0,1.0,37.5,2253.2,0.0
full_eto,001,2010,71,2010-11-10,mid,1.0,0.75,2.53,2.1,2.1,2.1,1.0,1.0,43.4,2296.5,0.0
full_eto,001,2010,72,2010-11-11,mid,1.0,0.75,2.65,2.19,2.19,2.19,1.0,1.0,43.5,2340.1,0.0
full_eto,001,2010,73,2010-11-12,mid,1.0,0.75,2.35,1.94,1.94,1.94,1.0,1.0,43.5,2383.6,0.0
full_eto,001,2010,74,2010-11-13,mid,1.0,0.75,1.99,1.64,1.64,1.64,1.0,1.0,33.2,2416.8,0.0
