# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-11
#   under underpv_high (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-11
# CONDITION: underpv_high
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-11,initial,0.6,0.1,3.52,1.22,1.22,1.22,1.0,1.0,6.4,6.4,0.0
full_eto,001,2010,2,2010-09-12,initial,0.6,0.106,3.55,1.22,1.22,1.22,1.0,1.0,6.7,13.0,0.0
full_eto,001,2010,3,2010-09-13,initial,0.6,0.112,3.79,1.31,1.31,1.31,1.0,1.0,6.9,20.0,0.0
full_eto,001,2010,4,2010-09-14,initial,0.6,0.118,3.51,1.22,1.22,1.22,1.0,1.0,7.4,27.4,0.0
full_eto,001,2010,5,2010-09-15,initial,0.6,0.124,3.19,1.11,1.11,1.11,1.0,1.0,7.9,35.2,0.0
full_eto,001,2010,6,2010-09-16,initial,0.6,0.13,3.3,1.14,1.14,1.14,1.0,1.0,7.9,43.1,0.0
full_eto,001,2010,7,2010-09-17,initial,0.6,0.136,3.28,1.14,1.14,1.14,1.0,1.0,8.3,51.5,0.0
full_eto,001,2010,8,2010-09-18,initial,0.6,0.141,3.5,1.22,1.22,1.22,1.0,1.0,8.8,60.3,0.0
full_eto,001,2010,9,2010-09-19,initial,0.6,0.147,2.6,0.9,0.9,0.9,1.0,1.0,9.2,69.5,0.0
full_eto,001,2010,10,2010-09-20,initial,0.6,0.153,2.4,0.83,0.83,0.83,1.0,1.0,9.3,78.8,0.0
full_eto,001,2010,11,2010-09-21,initial,0.6,0.159,2.79,0.96,0.96,0.96,1.0,1.0,8.7,87.5,0.0
full_eto,001,2010,12,2010-09-22,initial,0.6,0.165,2.62,0.89,0.89,0.89,1.0,1.0,5.4,92.9,0.0
full_eto,001,2010,13,2010-09-23,initial,0.6,0.171,2.9,1.0,1.0,1.0,1.0,1.0,9.3,102.2,0.0
full_eto,001,2010,14,2010-09-24,initial,0.6,0.177,3.1,1.07,1.07,1.07,1.0,1.0,8.9,111.0,0.0
full_eto,001,2010,15,2010-09-25,initial,0.6,0.183,3.22,1.11,1.11,1.11,1.0,1.0,9.5,120.6,0.0
full_eto,001,2010,16,2010-09-26,initial,0.6,0.189,2.88,0.99,0.99,0.99,1.0,1.0,10.0,130.6,0.0
full_eto,001,2010,17,2010-09-27,initial,0.6,0.195,3.07,1.05,1.05,1.05,1.0,1.0,10.0,140.6,0.0
full_eto,001,2010,18,2010-09-28,initial,0.6,0.201,3.02,1.03,1.03,1.03,1.0,1.0,10.2,150.8,0.0
full_eto,001,2010,19,2010-09-29,initial,0.6,0.207,2.91,1.0,1.0,1.0,1.0,1.0,10.9,161.7,0.0
full_eto,001,2010,20,2010-09-30,initial,0.6,0.212,2.73,0.94,0.94,0.94,1.0,1.0,11.5,173.2,0.0
full_eto,001,2010,21,2010-10-01,development,0.6,0.212,2.41,0.82,0.82,0.82,1.0,1.0,11.1,184.3,0.0
full_eto,001,2010,22,2010-10-02,development,0.614,0.231,2.17,0.76,0.76,0.76,1.0,0.959,11.1,195.4,0.0
full_eto,001,2010,23,2010-10-03,development,0.628,0.25,2.26,0.81,0.81,0.81,1.0,1.0,11.9,207.3,0.0
full_eto,001,2010,24,2010-10-04,development,0.641,0.268,2.68,0.98,0.98,0.98,1.0,1.0,11.7,219.1,0.0
full_eto,001,2010,25,2010-10-05,development,0.655,0.287,2.76,1.04,1.04,1.04,1.0,1.0,13.2,232.3,0.0
full_eto,001,2010,26,2010-10-06,development,0.669,0.305,2.89,1.12,1.12,1.12,1.0,1.0,15.6,247.9,0.0
full_eto,001,2010,27,2010-10-07,development,0.683,0.324,2.9,1.15,1.15,1.15,1.0,1.0,17.2,265.1,0.0
full_eto,001,2010,28,2010-10-08,development,0.697,0.342,2.85,1.15,1.15,1.15,1.0,1.0,18.7,283.8,0.0
full_eto,001,2010,29,2010-10-09,development,0.71,0.361,2.5,1.02,1.02,1.02,1.0,1.0,19.5,303.3,0.0
