# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 09-11
#   under underpv_low (fall season, 95 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 7125
# CROP: cucumber
# PLANTING_DATE: 09-11
# CONDITION: underpv_low
# SEASON_LENGTH: 95 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-11,initial,0.6,0.1,5.26,2.74,2.74,2.74,1.0,1.0,11.8,11.8,0.0
full_eto,001,2010,2,2010-09-12,initial,0.6,0.106,5.43,2.82,2.82,2.82,1.0,1.0,12.4,24.3,0.0
full_eto,001,2010,3,2010-09-13,initial,0.6,0.112,5.63,2.93,2.93,2.93,1.0,1.0,12.8,37.1,0.0
full_eto,001,2010,4,2010-09-14,initial,0.6,0.118,5.15,2.69,2.69,2.69,1.0,1.0,13.7,50.8,0.0
full_eto,001,2010,5,2010-09-15,initial,0.6,0.124,4.76,2.48,2.48,2.48,1.0,1.0,14.6,65.4,0.0
full_eto,001,2010,6,2010-09-16,initial,0.6,0.13,4.91,2.56,2.56,2.56,1.0,1.0,14.7,80.2,0.0
full_eto,001,2010,7,2010-09-17,initial,0.6,0.136,4.81,2.51,2.51,2.51,1.0,1.0,15.5,95.7,0.0
full_eto,001,2010,8,2010-09-18,initial,0.6,0.141,5.16,2.69,2.69,2.69,1.0,1.0,16.4,112.1,0.0
full_eto,001,2010,9,2010-09-19,initial,0.6,0.147,4.05,2.11,2.11,2.11,1.0,1.0,17.0,129.0,0.0
full_eto,001,2010,10,2010-09-20,initial,0.6,0.153,3.84,1.99,1.99,1.99,1.0,1.0,17.3,146.4,0.0
full_eto,001,2010,11,2010-09-21,initial,0.6,0.159,4.28,2.22,2.22,2.22,1.0,1.0,16.1,162.5,0.0
full_eto,001,2010,12,2010-09-22,initial,0.6,0.165,3.84,1.99,1.99,1.99,1.0,1.0,10.0,172.5,0.0
full_eto,001,2010,13,2010-09-23,initial,0.6,0.171,4.46,2.32,2.32,2.32,1.0,1.0,17.3,189.8,0.0
full_eto,001,2010,14,2010-09-24,initial,0.6,0.177,4.67,2.42,2.42,2.42,1.0,1.0,16.5,206.3,0.0
