# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 12-01
#   under openfield (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6105
# CROP: kale
# PLANTING_DATE: 12-01
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,3.08,2.16,2.16,2.16,1.0,0.726,7.7,7.7,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.106,3.17,2.22,2.22,2.22,1.0,0.734,8.3,16.1,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.112,2.99,2.1,2.1,2.1,1.0,0.723,8.2,24.2,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.118,3.06,2.14,2.14,2.14,1.0,0.642,7.6,31.9,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.124,3.04,2.13,2.13,2.13,1.0,0.706,8.8,40.7,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.13,3.62,2.54,2.54,2.54,1.0,1.0,12.9,53.6,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.136,3.0,2.1,2.1,2.1,1.0,1.0,13.6,67.2,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.141,2.62,1.84,1.84,1.84,1.0,1.0,13.0,80.3,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.147,3.14,2.2,2.2,2.2,1.0,1.0,13.4,93.6,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.153,2.95,2.07,2.07,2.09,1.0,1.0,14.6,108.3,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.159,3.24,2.27,2.27,2.31,1.0,1.0,11.7,120.0,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.165,2.59,1.81,1.81,1.81,1.0,1.0,12.7,132.8,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.171,2.34,1.64,1.64,1.64,1.0,0.949,14.2,147.0,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.177,1.7,1.19,1.19,1.19,1.0,1.0,15.9,162.9,0.0
full_eto,001,2010,15,2010-12-15,initial,0.7,0.183,2.04,1.43,1.43,1.43,1.0,1.0,13.5,176.4,0.0
full_eto,001,2010,16,2010-12-16,initial,0.7,0.189,2.32,1.63,1.63,1.63,1.0,1.0,18.0,194.4,0.0
full_eto,001,2010,17,2010-12-17,initial,0.7,0.195,2.42,1.7,1.7,1.7,1.0,0.985,18.4,212.8,0.0
full_eto,001,2010,18,2010-12-18,initial,0.7,0.201,2.85,1.99,1.99,1.99,1.0,1.0,18.8,231.6,0.0
