# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 12-01
#   under underpv_high (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6105
# CROP: kale
# PLANTING_DATE: 12-01
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,1.71,0.69,0.69,0.69,1.0,1.0,3.7,3.7,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.106,1.78,0.72,0.72,0.72,1.0,1.0,4.0,7.7,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.112,1.69,0.68,0.68,0.68,1.0,1.0,4.0,11.6,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.118,1.71,0.69,0.69,0.69,1.0,0.954,4.0,15.6,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.124,1.71,0.69,0.69,0.69,1.0,1.0,4.4,20.0,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.13,2.33,0.96,0.96,0.96,1.0,1.0,4.5,24.5,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.136,1.86,0.76,0.76,0.76,1.0,1.0,4.8,29.3,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.141,1.59,0.65,0.65,0.65,1.0,1.0,4.6,33.8,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.147,1.95,0.79,0.79,0.79,1.0,1.0,4.7,38.5,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.153,1.84,0.75,0.75,0.77,1.0,1.0,5.1,43.6,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.159,2.12,0.87,0.87,0.91,1.0,1.0,4.1,47.7,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.165,1.79,0.75,0.75,0.75,1.0,0.773,3.5,51.2,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.171,1.54,0.64,0.64,0.64,1.0,0.699,3.7,54.9,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.177,0.98,0.4,0.4,0.4,1.0,0.932,5.2,60.1,0.0
