# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 12-01
#   under underpv_low (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6105
# CROP: kale
# PLANTING_DATE: 12-01
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,5.79,3.51,3.51,1.0,0.826,5.7,5.7,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.106,5.92,3.59,3.59,1.0,0.834,6.2,11.9,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.112,5.84,3.54,3.54,1.0,0.823,6.0,17.9,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.118,5.86,3.55,3.55,1.0,0.742,5.7,23.7,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.124,5.33,3.23,3.23,1.0,0.806,6.6,30.2,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.13,4.72,2.87,2.87,1.0,1.0,8.4,38.6,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.136,4.56,2.77,2.77,1.0,1.0,8.9,47.5,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.141,4.25,2.58,2.58,1.0,1.0,8.5,55.9,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.147,4.84,2.94,2.94,1.0,1.0,8.7,64.6,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.153,4.17,2.53,2.55,1.0,1.0,9.5,74.2,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.159,4.93,3.0,3.04,1.0,1.0,7.6,81.8,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.165,3.31,2.02,2.02,1.0,0.943,7.8,89.6,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.171,3.47,2.12,2.12,1.0,0.869,8.5,98.0,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.177,3.39,2.06,2.06,1.0,1.0,10.4,108.4,0.0
full_eto,001,2010,15,2010-12-15,initial,0.7,0.183,4.46,2.71,2.71,1.0,1.0,8.8,117.2,0.0
full_eto,001,2010,16,2010-12-16,initial,0.7,0.189,4.34,2.63,2.63,1.0,1.0,11.7,128.9,0.0
full_eto,001,2010,17,2010-12-17,initial,0.7,0.195,4.72,2.87,2.87,1.0,1.0,12.1,141.0,0.0
full_eto,001,2010,18,2010-12-18,initial,0.7,0.201,3.74,2.28,2.28,1.0,1.0,12.2,153.2,0.0
full_eto,001,2010,19,2010-12-19,initial,0.7,0.207,4.19,2.55,2.55,1.0,1.0,13.0,166.2,0.0
full_eto,001,2010,20,2010-12-20,initial,0.7,0.212,5.28,3.21,3.21,1.0,1.0,12.6,178.8,0.0
full_eto,001,2010,21,2010-12-21,development,0.7,0.212,4.89,2.97,2.97,1.0,1.0,12.5,191.4,0.0
full_eto,001,2010,22,2010-12-22,development,0.712,0.231,4.6,2.84,2.84,1.0,1.0,12.9,204.3,0.0
full_eto,001,2010,23,2010-12-23,development,0.724,0.25,5.44,3.42,3.42,1.0,1.0,13.8,218.1,0.0
full_eto,001,2010,24,2010-12-24,development,0.736,0.268,5.74,3.67,3.67,1.0,1.0,17.2,235.2,0.0
full_eto,001,2010,25,2010-12-25,development,0.748,0.287,4.92,3.19,3.19,1.0,1.0,18.6,253.8,0.0
full_eto,001,2010,26,2010-12-26,development,0.76,0.305,4.92,3.25,3.25,1.0,1.0,19.8,273.6,0.0
full_eto,001,2010,27,2010-12-27,development,0.772,0.324,5.21,3.49,3.49,1.0,1.0,20.8,294.4,0.0
full_eto,001,2010,28,2010-12-28,development,0.784,0.342,5.25,3.57,3.57,1.0,1.0,21.8,316.1,0.0
full_eto,001,2010,29,2010-12-29,development,0.797,0.361,4.93,3.41,3.75,1.0,1.0,8.2,324.3,0.0
full_eto,001,2010,30,2010-12-30,development,0.809,0.379,3.54,2.49,2.74,1.0,1.0,13.5,337.8,0.0
full_eto,001,2010,31,2010-12-31,development,0.821,0.398,3.49,2.49,2.55,1.0,1.0,22.2,360.1,0.0
full_eto,001,2010,32,2011-01-01,development,0.833,0.416,3.61,2.61,2.61,1.0,1.0,25.9,386.0,0.0
full_eto,001,2010,33,2011-01-02,development,0.845,0.435,3.45,2.53,2.53,1.0,1.0,26.8,412.8,0.0
full_eto,001,2010,34,2011-01-03,development,0.857,0.453,3.75,2.8,2.8,1.0,1.0,21.3,434.1,0.0
full_eto,001,2010,35,2011-01-04,development,0.869,0.472,4.1,3.1,3.1,1.0,1.0,30.0,464.1,0.0
full_eto,001,2010,36,2011-01-05,development,0.881,0.491,4.29,3.29,3.29,1.0,1.0,32.3,496.4,0.0
full_eto,001,2010,37,2011-01-06,development,0.893,0.509,4.8,3.73,3.73,1.0,1.0,33.3,529.6,0.0
full_eto,001,2010,38,2011-01-07,development,0.905,0.528,4.76,3.75,3.75,1.0,1.0,34.1,563.7,0.0
full_eto,001,2010,39,2011-01-08,development,0.917,0.546,4.08,3.26,3.26,1.0,1.0,36.9,600.6,0.0
full_eto,001,2010,40,2011-01-09,development,0.929,0.565,4.37,3.53,3.53,1.0,0.95,36.4,637.0,0.0
full_eto,001,2010,41,2011-01-10,development,0.941,0.583,4.29,3.51,3.51,1.0,1.0,40.5,677.5,0.0
full_eto,001,2010,42,2011-01-11,development,0.953,0.602,4.48,3.72,3.72,1.0,1.0,39.4,717.0,0.0
