# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 12-01
#   under underpv_medium (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6105
# CROP: kale
# PLANTING_DATE: 12-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,5.69,3.31,3.31,1.0,0.913,4.9,4.9,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.106,5.82,3.38,3.38,1.0,0.921,5.2,10.1,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.112,5.74,3.33,3.33,1.0,0.911,5.1,15.2,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.118,5.76,3.34,3.34,1.0,0.829,4.9,20.2,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.124,5.24,3.04,3.04,1.0,0.893,5.6,25.8,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.13,4.64,2.7,2.7,1.0,1.0,6.5,32.2,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.136,4.48,2.61,2.61,1.0,1.0,6.8,39.1,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.141,4.17,2.43,2.43,1.0,1.0,6.5,45.6,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.147,4.75,2.76,2.76,1.0,1.0,6.7,52.3,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.153,4.09,2.38,2.4,1.0,1.0,7.3,59.6,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.159,4.84,2.82,2.86,1.0,1.0,5.9,65.5,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.165,3.24,1.9,1.9,1.0,0.873,5.6,71.0,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.171,3.4,2.0,2.0,1.0,0.799,6.0,77.0,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.177,3.32,1.94,1.94,1.0,1.0,8.0,85.0,0.0
full_eto,001,2010,15,2010-12-15,initial,0.7,0.183,4.37,2.55,2.55,1.0,1.0,6.7,91.7,0.0
full_eto,001,2010,16,2010-12-16,initial,0.7,0.189,4.26,2.48,2.48,1.0,1.0,9.0,100.7,0.0
full_eto,001,2010,17,2010-12-17,initial,0.7,0.195,4.64,2.7,2.7,1.0,1.0,9.3,110.0,0.0
full_eto,001,2010,18,2010-12-18,initial,0.7,0.201,3.67,2.14,2.14,1.0,1.0,9.4,119.5,0.0
full_eto,001,2010,19,2010-12-19,initial,0.7,0.207,4.11,2.4,2.4,1.0,1.0,10.0,129.4,0.0
full_eto,001,2010,20,2010-12-20,initial,0.7,0.212,5.18,3.02,3.02,1.0,1.0,9.8,139.2,0.0
full_eto,001,2010,21,2010-12-21,development,0.7,0.212,4.79,2.79,2.79,1.0,1.0,9.7,148.9,0.0
full_eto,001,2010,22,2010-12-22,development,0.712,0.231,4.51,2.67,2.67,1.0,1.0,9.9,158.8,0.0
full_eto,001,2010,23,2010-12-23,development,0.724,0.25,5.34,3.22,3.22,1.0,1.0,10.6,169.5,0.0
full_eto,001,2010,24,2010-12-24,development,0.736,0.268,5.64,3.45,3.45,1.0,1.0,13.2,182.7,0.0
full_eto,001,2010,25,2010-12-25,development,0.748,0.287,4.82,3.01,3.01,1.0,1.0,14.3,197.0,0.0
full_eto,001,2010,26,2010-12-26,development,0.76,0.305,4.83,3.06,3.06,1.0,1.0,15.2,212.2,0.0
full_eto,001,2010,27,2010-12-27,development,0.772,0.324,5.11,3.29,3.29,1.0,1.0,16.0,228.2,0.0
full_eto,001,2010,28,2010-12-28,development,0.784,0.342,5.15,3.36,3.36,1.0,1.0,16.7,244.9,0.0
full_eto,001,2010,29,2010-12-29,development,0.797,0.361,4.85,3.21,3.53,1.0,1.0,6.3,251.2,0.0
full_eto,001,2010,30,2010-12-30,development,0.809,0.379,3.47,2.34,2.58,1.0,1.0,10.4,261.5,0.0
full_eto,001,2010,31,2010-12-31,development,0.821,0.398,3.42,2.34,2.4,1.0,1.0,17.1,278.7,0.0
full_eto,001,2010,32,2011-01-01,development,0.833,0.416,3.53,2.46,2.46,1.0,1.0,19.9,298.6,0.0
full_eto,001,2010,33,2011-01-02,development,0.845,0.435,3.38,2.38,2.38,1.0,1.0,20.6,319.2,0.0
full_eto,001,2010,34,2011-01-03,development,0.857,0.453,3.68,2.63,2.63,1.0,1.0,16.3,335.6,0.0
full_eto,001,2010,35,2011-01-04,development,0.869,0.472,4.02,2.92,2.92,1.0,1.0,23.1,358.6,0.0
full_eto,001,2010,36,2011-01-05,development,0.881,0.491,4.2,3.1,3.1,1.0,1.0,24.8,383.4,0.0
full_eto,001,2010,37,2011-01-06,development,0.893,0.509,4.7,3.51,3.51,1.0,1.0,25.6,409.1,0.0
full_eto,001,2010,38,2011-01-07,development,0.905,0.528,4.67,3.53,3.53,1.0,1.0,26.3,435.3,0.0
full_eto,001,2010,39,2011-01-08,development,0.917,0.546,4.0,3.07,3.07,1.0,0.934,26.4,461.7,0.0
full_eto,001,2010,40,2011-01-09,development,0.929,0.565,4.27,3.33,3.33,1.0,0.88,26.0,487.7,0.0
full_eto,001,2010,41,2011-01-10,development,0.941,0.583,4.2,3.31,3.31,1.0,0.932,29.1,516.8,0.0
full_eto,001,2010,42,2011-01-11,development,0.953,0.602,4.39,3.5,3.5,1.0,1.0,30.3,547.0,0.0
full_eto,001,2010,43,2011-01-12,development,0.966,0.62,4.42,3.56,3.56,1.0,1.0,30.6,577.7,0.0
