# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 12-11
#   under underpv_medium (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6055
# CROP: kale
# PLANTING_DATE: 12-11
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-11,initial,0.7,0.1,2.64,1.54,1.54,1.58,1.0,1.0,3.7,3.7,0.0
full_eto,001,2010,2,2010-12-12,initial,0.7,0.106,2.15,1.27,1.27,1.27,1.0,0.873,3.6,7.3,0.0
full_eto,001,2010,3,2010-12-13,initial,0.7,0.112,1.88,1.11,1.11,1.11,1.0,0.799,3.9,11.2,0.0
full_eto,001,2010,4,2010-12-14,initial,0.7,0.118,1.18,0.69,0.69,0.69,1.0,1.0,5.3,16.5,0.0
full_eto,001,2010,5,2010-12-15,initial,0.7,0.124,1.55,0.9,0.9,0.9,1.0,1.0,4.5,21.0,0.0
full_eto,001,2010,6,2010-12-16,initial,0.7,0.13,1.62,0.94,0.94,0.94,1.0,1.0,6.2,27.2,0.0
full_eto,001,2010,7,2010-12-17,initial,0.7,0.136,1.71,0.99,0.99,0.99,1.0,1.0,6.5,33.7,0.0
full_eto,001,2010,8,2010-12-18,initial,0.7,0.141,2.26,1.33,1.33,1.33,1.0,1.0,6.6,40.3,0.0
full_eto,001,2010,9,2010-12-19,initial,0.7,0.147,2.26,1.33,1.33,1.33,1.0,1.0,7.1,47.5,0.0
full_eto,001,2010,10,2010-12-20,initial,0.7,0.153,2.31,1.34,1.34,1.34,1.0,1.0,7.0,54.5,0.0
full_eto,001,2010,11,2010-12-21,initial,0.7,0.159,2.16,1.26,1.26,1.26,1.0,1.0,7.2,61.7,0.0
full_eto,001,2010,12,2010-12-22,initial,0.7,0.165,2.26,1.32,1.32,1.32,1.0,1.0,7.1,68.9,0.0
full_eto,001,2010,13,2010-12-23,initial,0.7,0.171,2.86,1.66,1.66,1.66,1.0,1.0,7.3,76.1,0.0
full_eto,001,2010,14,2010-12-24,initial,0.7,0.177,2.47,1.44,1.44,1.44,1.0,1.0,8.7,84.9,0.0
full_eto,001,2010,15,2010-12-25,initial,0.7,0.183,2.01,1.17,1.17,1.17,1.0,1.0,9.1,94.0,0.0
full_eto,001,2010,16,2010-12-26,initial,0.7,0.189,1.74,1.01,1.01,1.01,1.0,1.0,9.4,103.4,0.0
full_eto,001,2010,17,2010-12-27,initial,0.7,0.195,2.21,1.28,1.28,1.28,1.0,1.0,9.6,113.0,0.0
full_eto,001,2010,18,2010-12-28,initial,0.7,0.201,2.49,1.45,1.45,1.45,1.0,1.0,9.8,122.8,0.0
full_eto,001,2010,19,2010-12-29,initial,0.7,0.207,2.39,1.39,1.39,1.52,1.0,1.0,3.6,126.4,0.0
full_eto,001,2010,20,2010-12-30,initial,0.7,0.212,2.11,1.23,1.23,1.35,1.0,1.0,5.8,132.2,0.0
full_eto,001,2010,21,2010-12-31,development,0.7,0.212,2.08,1.22,1.22,1.28,1.0,1.0,9.2,141.4,0.0
full_eto,001,2010,22,2011-01-01,development,0.712,0.231,1.78,1.06,1.06,1.06,1.0,1.0,11.1,152.4,0.0
full_eto,001,2010,23,2011-01-02,development,0.724,0.25,1.52,0.92,0.92,0.92,1.0,1.0,11.8,164.3,0.0
full_eto,001,2010,24,2011-01-03,development,0.736,0.268,1.45,0.89,0.89,0.89,1.0,1.0,9.7,173.9,0.0
full_eto,001,2010,25,2011-01-04,development,0.748,0.287,2.22,1.39,1.39,1.39,1.0,1.0,14.0,187.9,0.0
full_eto,001,2010,26,2011-01-05,development,0.76,0.305,2.27,1.45,1.45,1.45,1.0,1.0,15.4,203.4,0.0
full_eto,001,2010,27,2011-01-06,development,0.772,0.324,2.3,1.49,1.49,1.49,1.0,1.0,16.3,219.7,0.0
full_eto,001,2010,28,2011-01-07,development,0.784,0.342,2.64,1.74,1.74,1.74,1.0,1.0,17.1,236.7,0.0
full_eto,001,2010,29,2011-01-08,development,0.797,0.361,2.38,1.6,1.6,1.6,1.0,0.934,17.4,254.1,0.0
full_eto,001,2010,30,2011-01-09,development,0.809,0.379,2.2,1.49,1.49,1.49,1.0,0.88,17.4,271.6,0.0
full_eto,001,2010,31,2011-01-10,development,0.821,0.398,2.03,1.4,1.4,1.4,1.0,0.932,19.8,291.4,0.0
full_eto,001,2010,32,2011-01-11,development,0.833,0.416,1.84,1.28,1.28,1.28,1.0,1.0,21.0,312.4,0.0
full_eto,001,2010,33,2011-01-12,development,0.845,0.435,1.66,1.16,1.16,1.16,1.0,1.0,21.5,333.8,0.0
full_eto,001,2010,34,2011-01-13,development,0.857,0.453,1.81,1.29,1.29,1.29,1.0,1.0,24.0,357.9,0.0
full_eto,001,2010,35,2011-01-14,development,0.869,0.472,2.1,1.53,1.53,1.54,1.0,1.0,24.1,381.9,0.0
full_eto,001,2010,36,2011-01-15,development,0.881,0.491,2.03,1.5,1.5,1.63,1.0,0.921,20.3,402.3,0.0
full_eto,001,2010,37,2011-01-16,development,0.893,0.509,2.11,1.58,1.58,1.58,1.0,0.982,26.4,428.7,0.0
full_eto,001,2010,38,2011-01-17,development,0.905,0.528,1.59,1.2,1.2,1.32,1.0,1.0,24.3,452.9,0.0
full_eto,001,2010,39,2011-01-18,development,0.917,0.546,1.71,1.32,1.32,1.45,1.0,0.825,14.2,467.1,0.0
full_eto,001,2010,40,2011-01-19,development,0.929,0.565,1.72,1.33,1.33,1.33,1.0,1.0,28.4,495.5,0.0
full_eto,001,2010,41,2011-01-20,development,0.941,0.583,1.69,1.33,1.33,1.33,1.0,1.0,29.9,525.4,0.0
full_eto,001,2010,42,2011-01-21,development,0.953,0.602,1.9,1.51,1.51,1.51,1.0,1.0,32.3,557.7,0.0
full_eto,001,2010,43,2011-01-22,development,0.966,0.62,2.06,1.66,1.66,1.66,1.0,1.0,34.1,591.8,0.0
full_eto,001,2010,44,2011-01-23,development,0.978,0.639,1.97,1.61,1.61,1.61,1.0,1.0,35.5,627.3,0.0
full_eto,001,2010,45,2011-01-24,development,0.99,0.657,2.28,1.89,1.89,1.89,1.0,1.0,37.4,664.7,0.0
full_eto,001,2010,46,2011-01-25,development,1.002,0.676,2.02,1.69,1.69,1.69,1.0,1.0,30.7,695.4,0.0
full_eto,001,2010,47,2011-01-26,development,1.014,0.694,2.2,1.86,1.86,1.86,1.0,1.0,38.6,734.1,0.0
full_eto,001,2010,48,2011-01-27,development,1.026,0.713,1.77,1.51,1.51,1.51,1.0,1.0,39.7,773.7,0.0
full_eto,001,2010,49,2011-01-28,development,1.038,0.731,1.88,1.62,1.62,1.62,1.0,1.0,38.2,812.0,0.0
full_eto,001,2010,50,2011-01-29,development,1.05,0.75,2.43,2.11,2.11,2.11,1.0,1.0,38.8,850.8,0.0
full_eto,001,2010,51,2011-01-30,mid,1.05,0.75,2.38,2.1,2.1,2.1,1.0,1.0,42.8,893.6,0.0
full_eto,001,2010,52,2011-01-31,mid,1.05,0.75,2.38,2.1,2.1,2.1,1.0,0.976,41.4,935.0,0.0
full_eto,001,2010,53,2011-02-01,mid,1.05,0.75,1.9,1.66,1.66,1.66,1.0,1.0,34.8,969.9,0.0
full_eto,001,2010,54,2011-02-02,mid,1.05,0.75,2.34,2.06,2.06,2.06,1.0,1.0,43.7,1013.6,0.0
full_eto,001,2010,55,2011-02-03,mid,1.05,0.75,2.02,1.76,1.76,1.76,1.0,1.0,38.6,1052.2,0.0
full_eto,001,2010,56,2011-02-04,mid,1.05,0.75,2.18,1.9,1.9,1.9,1.0,1.0,36.3,1088.5,0.0
full_eto,001,2010,57,2011-02-05,mid,1.05,0.75,2.18,1.91,1.91,1.96,1.0,1.0,34.1,1122.6,0.0
full_eto,001,2010,58,2011-02-06,mid,1.05,0.75,1.81,1.57,1.57,1.59,1.0,1.0,33.0,1155.7,0.0
full_eto,001,2010,59,2011-02-07,mid,1.05,0.75,2.97,2.6,2.6,2.6,1.0,1.0,43.0,1198.7,0.0
full_eto,001,2010,60,2011-02-08,mid,1.05,0.75,2.74,2.41,2.41,2.42,1.0,1.0,42.1,1240.8,0.0
full_eto,001,2010,61,2011-02-09,mid,1.05,0.75,2.31,2.03,2.03,2.03,1.0,1.0,43.9,1284.7,0.0
full_eto,001,2010,62,2011-02-10,mid,1.05,0.75,2.11,1.86,1.86,1.86,1.0,0.997,32.6,1317.2,0.0
