# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 02-01
#   under openfield (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-01
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-01,initial,0.7,0.1,5.46,3.82,3.82,1.0,1.0,11.3,11.3,0.0
full_eto,001,2010,2,2010-02-02,initial,0.7,0.106,5.88,4.11,4.11,1.0,1.0,12.6,23.9,0.0
full_eto,001,2010,3,2010-02-03,initial,0.7,0.112,4.34,3.04,3.04,1.0,1.0,12.9,36.8,0.0
full_eto,001,2010,4,2010-02-04,initial,0.7,0.118,4.15,2.91,2.91,1.0,0.901,12.7,49.5,0.0
full_eto,001,2010,5,2010-02-05,initial,0.7,0.124,4.55,3.19,3.19,1.0,0.81,11.4,60.9,0.0
full_eto,001,2010,6,2010-02-06,initial,0.7,0.13,4.95,3.47,3.47,1.0,0.862,13.2,74.0,0.0
full_eto,001,2010,7,2010-02-07,initial,0.7,0.136,5.11,3.58,3.58,1.0,1.0,17.1,91.2,0.0
full_eto,001,2010,8,2010-02-08,initial,0.7,0.141,5.91,4.14,4.14,1.0,1.0,16.7,107.8,0.0
full_eto,001,2010,9,2010-02-09,initial,0.7,0.147,6.96,4.87,4.87,1.0,1.0,17.8,125.6,0.0
full_eto,001,2010,10,2010-02-10,initial,0.7,0.153,5.85,4.1,4.1,1.0,1.0,19.0,144.6,0.0
full_eto,001,2010,11,2010-02-11,initial,0.7,0.159,6.09,4.26,4.26,1.0,1.0,18.9,163.5,0.0
full_eto,001,2010,12,2010-02-12,initial,0.7,0.165,6.49,4.54,4.54,1.0,0.946,19.8,183.3,0.0
full_eto,001,2010,13,2010-02-13,initial,0.7,0.171,7.35,5.15,5.15,1.0,0.776,16.7,200.0,0.0
full_eto,001,2010,14,2010-02-14,initial,0.7,0.177,8.12,5.69,5.69,1.0,0.617,11.5,211.6,0.0
full_eto,001,2010,15,2010-02-15,initial,0.7,0.183,6.18,4.32,4.32,1.0,0.544,10.5,222.1,0.0
full_eto,001,2010,16,2010-02-16,initial,0.7,0.189,7.06,4.94,4.94,1.0,0.464,10.1,232.2,0.0
full_eto,001,2010,17,2010-02-17,initial,0.7,0.195,7.1,4.97,4.97,1.0,0.536,13.1,245.3,0.0
full_eto,001,2010,18,2010-02-18,initial,0.7,0.201,7.59,5.31,5.31,1.0,0.518,13.3,258.6,0.0
full_eto,001,2010,19,2010-02-19,initial,0.7,0.207,7.6,5.32,5.32,1.0,0.705,19.4,278.1,0.0
full_eto,001,2010,20,2010-02-20,initial,0.7,0.212,7.6,5.32,5.32,1.0,0.749,21.6,299.7,0.0
full_eto,001,2010,21,2010-02-21,development,0.7,0.212,7.66,5.36,5.36,1.0,0.606,17.9,317.5,0.0
full_eto,001,2010,22,2010-02-22,development,0.712,0.231,5.9,4.2,4.2,1.0,1.0,29.4,346.9,0.0
full_eto,001,2010,23,2010-02-23,development,0.724,0.25,6.3,4.56,4.57,1.0,1.0,32.8,379.8,0.0
full_eto,001,2010,24,2010-02-24,development,0.736,0.268,6.71,4.94,4.94,1.0,1.0,33.7,413.5,0.0
full_eto,001,2010,25,2010-02-25,development,0.748,0.287,7.07,5.29,5.44,1.0,1.0,29.1,442.6,0.0
full_eto,001,2010,26,2010-02-26,development,0.76,0.305,4.9,3.73,3.82,1.0,1.0,32.2,474.8,0.0
full_eto,001,2010,27,2010-02-27,development,0.772,0.324,6.06,4.68,4.68,1.0,1.0,45.0,519.7,0.0
full_eto,001,2010,28,2010-02-28,development,0.784,0.342,7.73,6.06,6.06,1.0,1.0,38.9,558.6,0.0
full_eto,001,2010,29,2010-03-01,development,0.797,0.361,6.9,5.49,5.51,1.0,1.0,50.5,609.2,0.0
full_eto,001,2010,30,2010-03-02,development,0.809,0.379,7.4,5.98,5.98,1.0,1.0,54.7,663.8,0.0
full_eto,001,2010,31,2010-03-03,development,0.821,0.398,7.79,6.39,6.39,1.0,1.0,53.5,717.4,0.0
full_eto,001,2010,32,2010-03-04,development,0.833,0.416,8.13,6.77,6.77,1.0,1.0,63.1,780.4,0.0
full_eto,001,2010,33,2010-03-05,development,0.845,0.435,7.96,6.73,6.73,1.0,0.809,47.6,828.0,0.0
full_eto,001,2010,34,2010-03-06,development,0.857,0.453,7.37,6.31,6.31,1.0,0.825,55.6,883.6,0.0
full_eto,001,2010,35,2010-03-07,development,0.869,0.472,8.21,7.13,7.13,1.0,0.896,64.4,948.0,0.0
full_eto,001,2010,36,2010-03-08,development,0.881,0.491,8.8,7.75,7.75,1.0,0.557,40.9,988.9,0.0
full_eto,001,2010,37,2010-03-09,development,0.893,0.509,8.13,7.26,7.26,1.0,0.549,37.9,1026.7,0.0
full_eto,001,2010,38,2010-03-10,development,0.905,0.528,8.01,7.25,7.25,1.0,0.544,41.9,1068.7,0.0
full_eto,001,2010,39,2010-03-11,development,0.917,0.546,8.46,7.76,7.76,1.0,0.419,35.4,1104.0,0.0
full_eto,001,2010,40,2010-03-12,development,0.929,0.565,8.87,8.24,8.24,1.0,0.441,39.0,1143.0,0.0
full_eto,001,2010,41,2010-03-13,development,0.941,0.583,8.36,7.87,7.87,1.0,0.646,58.3,1201.3,0.0
full_eto,001,2010,42,2010-03-14,development,0.953,0.602,7.1,6.77,6.77,1.0,0.641,49.7,1250.9,0.0
full_eto,001,2010,43,2010-03-15,development,0.966,0.62,7.43,7.17,7.17,1.0,0.607,43.8,1294.7,0.0
full_eto,001,2010,44,2010-03-16,development,0.978,0.639,7.39,7.22,7.22,1.0,1.0,87.9,1382.7,0.0
full_eto,001,2010,45,2010-03-17,development,0.99,0.657,6.21,6.14,6.14,1.0,1.0,91.8,1474.4,0.0
full_eto,001,2010,46,2010-03-18,development,1.002,0.676,7.24,7.26,7.26,1.0,1.0,107.7,1582.2,0.0
full_eto,001,2010,47,2010-03-19,development,1.014,0.694,8.61,8.73,8.73,1.0,1.0,117.9,1700.1,0.0
full_eto,001,2010,48,2010-03-20,development,1.026,0.713,9.2,9.44,9.44,1.0,1.0,117.6,1817.7,0.0
full_eto,001,2010,49,2010-03-21,development,1.038,0.731,9.66,10.02,10.02,1.0,1.0,112.9,1930.6,0.0
full_eto,001,2010,50,2010-03-22,development,1.05,0.75,9.74,10.23,10.23,1.0,0.996,116.2,2046.9,0.0
full_eto,001,2010,51,2010-03-23,mid,1.05,0.75,8.76,9.2,9.2,1.0,1.0,118.8,2165.7,0.0
full_eto,001,2010,52,2010-03-24,mid,1.05,0.75,8.83,9.28,9.28,1.0,1.0,120.3,2286.0,0.0
