# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 02-01
#   under underpv_high (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-01
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-01,initial,0.7,0.1,2.1,0.86,0.86,0.86,1.0,1.0,3.9,3.9,0.0
full_eto,001,2010,2,2010-02-02,initial,0.7,0.106,2.35,0.97,0.97,0.97,1.0,1.0,4.4,8.4,0.0
full_eto,001,2010,3,2010-02-03,initial,0.7,0.112,2.02,0.84,0.84,0.84,1.0,0.866,3.9,12.3,0.0
full_eto,001,2010,4,2010-02-04,initial,0.7,0.118,1.93,0.81,0.81,0.81,1.0,0.651,3.2,15.5,0.0
full_eto,001,2010,5,2010-02-05,initial,0.7,0.124,1.9,0.8,0.8,0.8,1.0,0.559,2.8,18.2,0.0
full_eto,001,2010,6,2010-02-06,initial,0.7,0.13,1.86,0.77,0.77,0.77,1.0,0.612,3.3,21.5,0.0
full_eto,001,2010,7,2010-02-07,initial,0.7,0.136,1.58,0.65,0.65,0.65,1.0,0.8,4.8,26.3,0.0
full_eto,001,2010,8,2010-02-08,initial,0.7,0.141,1.74,0.71,0.71,0.71,1.0,1.0,5.8,32.1,0.0
full_eto,001,2010,9,2010-02-09,initial,0.7,0.147,1.68,0.69,0.69,0.69,1.0,1.0,6.2,38.4,0.0
full_eto,001,2010,10,2010-02-10,initial,0.7,0.153,1.67,0.68,0.68,0.68,1.0,1.0,6.6,45.0,0.0
full_eto,001,2010,11,2010-02-11,initial,0.7,0.159,1.94,0.79,0.79,0.79,1.0,1.0,6.6,51.6,0.0
full_eto,001,2010,12,2010-02-12,initial,0.7,0.165,1.73,0.7,0.7,0.7,1.0,1.0,7.3,58.9,0.0
full_eto,001,2010,13,2010-02-13,initial,0.7,0.171,1.94,0.79,0.79,0.79,1.0,1.0,7.5,66.5,0.0
full_eto,001,2010,14,2010-02-14,initial,0.7,0.177,1.82,0.73,0.73,0.73,1.0,0.929,6.1,72.5,0.0
