# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 02-01
#   under underpv_low (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-01
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-01,initial,0.7,0.1,5.34,3.25,3.25,1.0,1.0,7.4,7.4,0.0
full_eto,001,2010,2,2010-02-02,initial,0.7,0.106,5.75,3.5,3.5,1.0,1.0,8.2,15.5,0.0
full_eto,001,2010,3,2010-02-03,initial,0.7,0.112,4.24,2.58,2.58,1.0,1.0,8.4,23.9,0.0
full_eto,001,2010,4,2010-02-04,initial,0.7,0.118,4.05,2.47,2.47,1.0,0.821,7.5,31.4,0.0
full_eto,001,2010,5,2010-02-05,initial,0.7,0.124,4.43,2.71,2.71,1.0,0.73,6.7,38.1,0.0
full_eto,001,2010,6,2010-02-06,initial,0.7,0.13,4.83,2.95,2.95,1.0,0.782,7.8,45.9,0.0
full_eto,001,2010,7,2010-02-07,initial,0.7,0.136,4.99,3.04,3.04,1.0,0.97,10.8,56.7,0.0
full_eto,001,2010,8,2010-02-08,initial,0.7,0.141,5.78,3.52,3.52,1.0,1.0,10.8,67.5,0.0
full_eto,001,2010,9,2010-02-09,initial,0.7,0.147,6.81,4.14,4.14,1.0,1.0,11.6,79.1,0.0
full_eto,001,2010,10,2010-02-10,initial,0.7,0.153,5.73,3.48,3.48,1.0,1.0,12.3,91.4,0.0
full_eto,001,2010,11,2010-02-11,initial,0.7,0.159,5.96,3.62,3.62,1.0,1.0,12.3,103.7,0.0
full_eto,001,2010,12,2010-02-12,initial,0.7,0.165,6.36,3.86,3.86,1.0,1.0,13.6,117.3,0.0
full_eto,001,2010,13,2010-02-13,initial,0.7,0.171,7.21,4.37,4.37,1.0,0.876,12.3,129.6,0.0
full_eto,001,2010,14,2010-02-14,initial,0.7,0.177,7.97,4.83,4.83,1.0,0.717,8.7,138.3,0.0
full_eto,001,2010,15,2010-02-15,initial,0.7,0.183,6.06,3.67,3.67,1.0,0.644,8.1,146.4,0.0
full_eto,001,2010,16,2010-02-16,initial,0.7,0.189,6.93,4.2,4.2,1.0,0.564,8.0,154.4,0.0
full_eto,001,2010,17,2010-02-17,initial,0.7,0.195,6.97,4.22,4.22,1.0,0.636,10.2,164.6,0.0
