# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 02-01
#   under underpv_medium (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-01,initial,0.7,0.1,5.24,3.06,3.06,1.0,1.0,5.7,5.7,0.0
full_eto,001,2010,2,2010-02-02,initial,0.7,0.106,5.63,3.29,3.29,1.0,1.0,6.3,12.0,0.0
full_eto,001,2010,3,2010-02-03,initial,0.7,0.112,4.15,2.43,2.43,1.0,0.966,6.2,18.2,0.0
full_eto,001,2010,4,2010-02-04,initial,0.7,0.118,3.96,2.33,2.33,1.0,0.751,5.3,23.5,0.0
full_eto,001,2010,5,2010-02-05,initial,0.7,0.124,4.33,2.55,2.55,1.0,0.659,4.7,28.1,0.0
full_eto,001,2010,6,2010-02-06,initial,0.7,0.13,4.72,2.77,2.77,1.0,0.712,5.4,33.6,0.0
full_eto,001,2010,7,2010-02-07,initial,0.7,0.136,4.88,2.86,2.86,1.0,0.9,7.7,41.3,0.0
full_eto,001,2010,8,2010-02-08,initial,0.7,0.141,5.67,3.31,3.31,1.0,1.0,8.3,49.6,0.0
full_eto,001,2010,9,2010-02-09,initial,0.7,0.147,6.68,3.9,3.9,1.0,1.0,8.9,58.5,0.0
full_eto,001,2010,10,2010-02-10,initial,0.7,0.153,5.62,3.28,3.28,1.0,1.0,9.5,68.0,0.0
full_eto,001,2010,11,2010-02-11,initial,0.7,0.159,5.85,3.41,3.41,1.0,1.0,9.4,77.5,0.0
full_eto,001,2010,12,2010-02-12,initial,0.7,0.165,6.24,3.63,3.63,1.0,1.0,10.5,87.9,0.0
full_eto,001,2010,13,2010-02-13,initial,0.7,0.171,7.09,4.12,4.12,1.0,0.964,10.4,98.3,0.0
full_eto,001,2010,14,2010-02-14,initial,0.7,0.177,7.84,4.55,4.55,1.0,0.804,7.5,105.8,0.0
full_eto,001,2010,15,2010-02-15,initial,0.7,0.183,5.96,3.46,3.46,1.0,0.731,7.1,112.9,0.0
full_eto,001,2010,16,2010-02-16,initial,0.7,0.189,6.82,3.95,3.95,1.0,0.651,7.1,120.0,0.0
full_eto,001,2010,17,2010-02-17,initial,0.7,0.195,6.85,3.97,3.97,1.0,0.723,8.9,128.8,0.0
full_eto,001,2010,18,2010-02-18,initial,0.7,0.201,7.33,4.25,4.25,1.0,0.706,9.0,137.9,0.0
full_eto,001,2010,19,2010-02-19,initial,0.7,0.207,7.33,4.26,4.26,1.0,0.893,12.3,150.2,0.0
full_eto,001,2010,20,2010-02-20,initial,0.7,0.212,7.33,4.26,4.26,1.0,0.937,13.5,163.7,0.0
full_eto,001,2010,21,2010-02-21,development,0.7,0.212,7.39,4.29,4.29,1.0,0.793,11.7,175.4,0.0
full_eto,001,2010,22,2010-02-22,development,0.712,0.231,5.68,3.36,3.36,1.0,1.0,14.7,190.1,0.0
