# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 02-11
#   under underpv_low (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-11
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-11,initial,0.7,0.1,2.82,1.71,1.71,1.71,1.0,1.0,7.7,7.7,0.0
full_eto,001,2010,2,2010-02-12,initial,0.7,0.106,2.6,1.58,1.58,1.58,1.0,1.0,8.7,16.5,0.0
full_eto,001,2010,3,2010-02-13,initial,0.7,0.112,2.92,1.77,1.77,1.77,1.0,0.876,8.0,24.5,0.0
full_eto,001,2010,4,2010-02-14,initial,0.7,0.118,2.71,1.64,1.64,1.64,1.0,0.717,5.8,30.3,0.0
full_eto,001,2010,5,2010-02-15,initial,0.7,0.124,2.73,1.66,1.66,1.66,1.0,0.644,5.5,35.8,0.0
full_eto,001,2010,6,2010-02-16,initial,0.7,0.13,2.5,1.52,1.52,1.52,1.0,0.564,5.5,41.3,0.0
full_eto,001,2010,7,2010-02-17,initial,0.7,0.136,3.04,1.84,1.84,1.84,1.0,0.636,7.1,48.3,0.0
full_eto,001,2010,8,2010-02-18,initial,0.7,0.141,3.09,1.87,1.87,1.87,1.0,0.618,7.3,55.6,0.0
full_eto,001,2010,9,2010-02-19,initial,0.7,0.147,3.75,2.28,2.28,2.28,1.0,0.805,10.3,65.9,0.0
full_eto,001,2010,10,2010-02-20,initial,0.7,0.153,3.35,2.03,2.03,2.03,1.0,0.849,11.5,77.4,0.0
full_eto,001,2010,11,2010-02-21,initial,0.7,0.159,3.23,1.96,1.96,1.96,1.0,0.706,10.1,87.5,0.0
full_eto,001,2010,12,2010-02-22,initial,0.7,0.165,3.35,2.05,2.05,2.05,1.0,1.0,13.7,101.2,0.0
full_eto,001,2010,13,2010-02-23,initial,0.7,0.171,3.47,2.12,2.12,2.13,1.0,1.0,14.6,115.8,0.0
full_eto,001,2010,14,2010-02-24,initial,0.7,0.177,3.25,1.98,1.98,1.98,1.0,1.0,14.5,130.3,0.0
full_eto,001,2010,15,2010-02-25,initial,0.7,0.183,3.1,1.88,1.88,2.03,1.0,1.0,12.0,142.3,0.0
full_eto,001,2010,16,2010-02-26,initial,0.7,0.189,2.7,1.65,1.65,1.74,1.0,1.0,12.9,155.3,0.0
full_eto,001,2010,17,2010-02-27,initial,0.7,0.195,2.94,1.79,1.79,1.79,1.0,1.0,17.6,172.8,0.0
full_eto,001,2010,18,2010-02-28,initial,0.7,0.201,3.78,2.3,2.3,2.3,1.0,1.0,14.9,187.7,0.0
full_eto,001,2010,19,2010-03-01,initial,0.7,0.207,3.62,2.21,2.21,2.23,1.0,1.0,18.8,206.5,0.0
full_eto,001,2010,20,2010-03-02,initial,0.7,0.212,3.38,2.06,2.06,2.06,1.0,1.0,19.9,226.4,0.0
full_eto,001,2010,21,2010-03-03,development,0.7,0.212,3.37,2.05,2.05,2.05,1.0,1.0,18.6,244.9,0.0
full_eto,001,2010,22,2010-03-04,development,0.712,0.231,4.15,2.57,2.57,2.57,1.0,1.0,22.7,267.7,0.0
full_eto,001,2010,23,2010-03-05,development,0.724,0.25,3.28,2.06,2.06,2.06,1.0,0.909,19.9,287.6,0.0
full_eto,001,2010,24,2010-03-06,development,0.736,0.268,3.41,2.18,2.18,2.18,1.0,0.925,23.9,311.5,0.0
full_eto,001,2010,25,2010-03-07,development,0.748,0.287,3.82,2.48,2.48,2.48,1.0,0.996,28.3,339.8,0.0
full_eto,001,2010,26,2010-03-08,development,0.76,0.305,3.64,2.4,2.4,2.4,1.0,0.657,19.5,359.3,0.0
full_eto,001,2010,27,2010-03-09,development,0.772,0.324,3.92,2.63,2.63,2.63,1.0,0.649,18.5,377.8,0.0
full_eto,001,2010,28,2010-03-10,development,0.784,0.342,3.76,2.56,2.56,2.56,1.0,0.644,20.9,398.7,0.0
full_eto,001,2010,29,2010-03-11,development,0.797,0.361,3.75,2.59,2.59,2.59,1.0,0.519,18.8,417.5,0.0
full_eto,001,2010,30,2010-03-12,development,0.809,0.379,3.83,2.69,2.69,2.69,1.0,0.541,20.9,438.4,0.0
full_eto,001,2010,31,2010-03-13,development,0.821,0.398,4.04,2.88,2.88,2.88,1.0,0.746,29.8,468.3,0.0
full_eto,001,2010,32,2010-03-14,development,0.833,0.416,3.59,2.6,2.6,2.6,1.0,0.741,25.8,494.1,0.0
full_eto,001,2010,33,2010-03-15,development,0.845,0.435,3.49,2.56,2.56,2.56,1.0,0.707,23.3,517.4,0.0
full_eto,001,2010,34,2010-03-16,development,0.857,0.453,4.02,3.0,3.0,3.0,1.0,1.0,40.6,558.0,0.0
