# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 02-11
#   under underpv_medium (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 02-11
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-11,initial,0.7,0.1,2.46,1.43,1.43,1.43,1.0,1.0,5.9,5.9,0.0
full_eto,001,2010,2,2010-02-12,initial,0.7,0.106,2.22,1.29,1.29,1.29,1.0,1.0,6.7,12.6,0.0
full_eto,001,2010,3,2010-02-13,initial,0.7,0.112,2.5,1.45,1.45,1.45,1.0,0.964,6.8,19.4,0.0
full_eto,001,2010,4,2010-02-14,initial,0.7,0.118,2.34,1.35,1.35,1.35,1.0,0.804,5.0,24.4,0.0
full_eto,001,2010,5,2010-02-15,initial,0.7,0.124,2.34,1.36,1.36,1.36,1.0,0.731,4.8,29.2,0.0
full_eto,001,2010,6,2010-02-16,initial,0.7,0.13,2.09,1.21,1.21,1.21,1.0,0.651,4.9,34.1,0.0
full_eto,001,2010,7,2010-02-17,initial,0.7,0.136,2.59,1.5,1.5,1.5,1.0,0.723,6.2,40.2,0.0
full_eto,001,2010,8,2010-02-18,initial,0.7,0.141,2.63,1.52,1.52,1.52,1.0,0.706,6.4,46.6,0.0
full_eto,001,2010,9,2010-02-19,initial,0.7,0.147,3.28,1.9,1.9,1.9,1.0,0.893,8.8,55.4,0.0
full_eto,001,2010,10,2010-02-20,initial,0.7,0.153,2.88,1.67,1.67,1.67,1.0,0.937,9.7,65.1,0.0
full_eto,001,2010,11,2010-02-21,initial,0.7,0.159,2.75,1.59,1.59,1.59,1.0,0.793,8.8,73.9,0.0
full_eto,001,2010,12,2010-02-22,initial,0.7,0.165,2.97,1.74,1.74,1.74,1.0,1.0,10.5,84.4,0.0
full_eto,001,2010,13,2010-02-23,initial,0.7,0.171,3.08,1.8,1.8,1.81,1.0,1.0,11.3,95.6,0.0
full_eto,001,2010,14,2010-02-24,initial,0.7,0.177,2.86,1.67,1.67,1.67,1.0,1.0,11.1,106.8,0.0
