# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 01-22
#   under openfield (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 01-22
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-22,initial,0.7,0.1,2.42,1.7,1.7,1.7,1.0,1.0,10.9,10.9,0.0
full_eto,001,2010,2,2010-01-23,initial,0.7,0.106,2.99,2.09,2.09,2.09,1.0,1.0,11.8,22.7,0.0
full_eto,001,2010,3,2010-01-24,initial,0.7,0.112,3.34,2.34,2.34,2.34,1.0,1.0,12.1,34.8,0.0
full_eto,001,2010,4,2010-01-25,initial,0.7,0.118,2.86,2.0,2.0,2.0,1.0,1.0,13.0,47.8,0.0
full_eto,001,2010,5,2010-01-26,initial,0.7,0.124,2.88,2.02,2.02,2.02,1.0,0.959,13.4,61.3,0.0
full_eto,001,2010,6,2010-01-27,initial,0.7,0.13,2.26,1.58,1.58,1.58,1.0,1.0,12.2,73.5,0.0
full_eto,001,2010,7,2010-01-28,initial,0.7,0.136,2.67,1.87,1.87,1.87,1.0,1.0,15.9,89.4,0.0
full_eto,001,2010,8,2010-01-29,initial,0.7,0.141,3.32,2.33,2.33,2.33,1.0,1.0,16.1,105.5,0.0
full_eto,001,2010,9,2010-01-30,initial,0.7,0.147,3.56,2.49,2.49,2.49,1.0,1.0,13.2,118.7,0.0
full_eto,001,2010,10,2010-01-31,initial,0.7,0.153,2.53,1.77,1.77,1.95,1.0,0.994,10.2,128.9,0.0
full_eto,001,2010,11,2010-02-01,initial,0.7,0.159,3.49,2.44,2.44,2.44,1.0,1.0,18.0,146.9,0.0
full_eto,001,2010,12,2010-02-02,initial,0.7,0.165,3.77,2.64,2.64,2.64,1.0,1.0,19.6,166.5,0.0
full_eto,001,2010,13,2010-02-03,initial,0.7,0.171,3.12,2.19,2.19,2.19,1.0,1.0,19.7,186.3,0.0
full_eto,001,2010,14,2010-02-04,initial,0.7,0.177,2.95,2.07,2.07,2.07,1.0,0.901,19.1,205.3,0.0
full_eto,001,2010,15,2010-02-05,initial,0.7,0.183,2.94,2.06,2.06,2.06,1.0,0.81,16.9,222.2,0.0
full_eto,001,2010,16,2010-02-06,initial,0.7,0.189,2.98,2.09,2.09,2.09,1.0,0.862,19.2,241.4,0.0
full_eto,001,2010,17,2010-02-07,initial,0.7,0.195,2.79,1.95,1.95,1.95,1.0,1.0,24.6,265.9,0.0
