# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 01-22
#   under underpv_low (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 01-22
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-22,initial,0.7,0.1,1.96,1.19,1.19,1.19,1.0,1.0,7.1,7.1,0.0
full_eto,001,2010,2,2010-01-23,initial,0.7,0.106,2.49,1.51,1.51,1.51,1.0,1.0,7.7,14.8,0.0
full_eto,001,2010,3,2010-01-24,initial,0.7,0.112,2.92,1.79,1.79,1.79,1.0,1.0,7.9,22.7,0.0
full_eto,001,2010,4,2010-01-25,initial,0.7,0.118,2.5,1.53,1.53,1.53,1.0,0.938,7.9,30.6,0.0
full_eto,001,2010,5,2010-01-26,initial,0.7,0.124,2.49,1.52,1.52,1.52,1.0,0.879,8.0,38.6,0.0
full_eto,001,2010,6,2010-01-27,initial,0.7,0.13,1.84,1.12,1.12,1.12,1.0,1.0,8.0,46.5,0.0
full_eto,001,2010,7,2010-01-28,initial,0.7,0.136,2.09,1.27,1.27,1.27,1.0,1.0,10.4,56.9,0.0
full_eto,001,2010,8,2010-01-29,initial,0.7,0.141,2.77,1.69,1.69,1.69,1.0,1.0,10.5,67.4,0.0
full_eto,001,2010,9,2010-01-30,initial,0.7,0.147,3.11,1.89,1.89,1.89,1.0,1.0,8.6,75.9,0.0
full_eto,001,2010,10,2010-01-31,initial,0.7,0.153,2.15,1.3,1.3,1.43,1.0,1.0,6.7,82.6,0.0
full_eto,001,2010,11,2010-02-01,initial,0.7,0.159,2.97,1.81,1.81,1.81,1.0,1.0,11.7,94.3,0.0
full_eto,001,2010,12,2010-02-02,initial,0.7,0.165,3.27,2.0,2.0,2.0,1.0,1.0,12.7,107.1,0.0
full_eto,001,2010,13,2010-02-03,initial,0.7,0.171,2.72,1.67,1.67,1.67,1.0,1.0,12.8,119.9,0.0
full_eto,001,2010,14,2010-02-04,initial,0.7,0.177,2.58,1.58,1.58,1.58,1.0,0.821,11.3,131.2,0.0
