# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 01-22
#   under underpv_medium (winter-spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 01-22
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-01-22,initial,0.7,0.1,1.71,1.0,1.0,1.0,1.0,1.0,5.5,5.5,0.0
full_eto,001,2010,2,2010-01-23,initial,0.7,0.106,2.19,1.28,1.28,1.28,1.0,1.0,5.9,11.4,0.0
full_eto,001,2010,3,2010-01-24,initial,0.7,0.112,2.63,1.55,1.55,1.55,1.0,1.0,6.1,17.4,0.0
full_eto,001,2010,4,2010-01-25,initial,0.7,0.118,2.26,1.33,1.33,1.33,1.0,0.868,5.6,23.1,0.0
full_eto,001,2010,5,2010-01-26,initial,0.7,0.124,2.23,1.31,1.31,1.31,1.0,0.809,5.7,28.8,0.0
full_eto,001,2010,6,2010-01-27,initial,0.7,0.13,1.61,0.94,0.94,0.94,1.0,1.0,6.1,34.9,0.0
full_eto,001,2010,7,2010-01-28,initial,0.7,0.136,1.79,1.04,1.04,1.04,1.0,1.0,8.0,42.8,0.0
full_eto,001,2010,8,2010-01-29,initial,0.7,0.141,2.44,1.42,1.42,1.42,1.0,1.0,8.1,50.9,0.0
full_eto,001,2010,9,2010-01-30,initial,0.7,0.147,2.79,1.63,1.63,1.63,1.0,1.0,6.6,57.5,0.0
full_eto,001,2010,10,2010-01-31,initial,0.7,0.153,1.9,1.1,1.1,1.21,1.0,1.0,5.1,62.6,0.0
full_eto,001,2010,11,2010-02-01,initial,0.7,0.159,2.64,1.54,1.54,1.54,1.0,1.0,9.0,71.6,0.0
full_eto,001,2010,12,2010-02-02,initial,0.7,0.165,2.94,1.72,1.72,1.72,1.0,1.0,9.8,81.4,0.0
full_eto,001,2010,13,2010-02-03,initial,0.7,0.171,2.45,1.45,1.45,1.45,1.0,0.966,9.5,90.9,0.0
full_eto,001,2010,14,2010-02-04,initial,0.7,0.177,2.34,1.38,1.38,1.38,1.0,0.751,7.9,98.9,0.0
