# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 03-05
#   under openfield (spring season, 75 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 5625
# CROP: kale
# PLANTING_DATE: 03-05
# CONDITION: openfield
# SEASON_LENGTH: 75 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-05,initial,0.7,0.1,4.17,2.92,2.92,2.92,1.0,0.809,10.9,10.9,0.0
full_eto,001,2010,2,2010-03-06,initial,0.7,0.106,4.36,3.06,3.06,3.06,1.0,0.825,13.0,23.9,0.0
full_eto,001,2010,3,2010-03-07,initial,0.7,0.112,4.74,3.32,3.32,3.32,1.0,0.896,15.3,39.2,0.0
full_eto,001,2010,4,2010-03-08,initial,0.7,0.118,4.71,3.29,3.29,3.29,1.0,0.557,9.8,49.0,0.0
full_eto,001,2010,5,2010-03-09,initial,0.7,0.124,4.84,3.39,3.39,3.39,1.0,0.549,9.2,58.2,0.0
full_eto,001,2010,6,2010-03-10,initial,0.7,0.13,4.78,3.34,3.34,3.34,1.0,0.544,10.3,68.5,0.0
full_eto,001,2010,7,2010-03-11,initial,0.7,0.136,4.91,3.44,3.44,3.44,1.0,0.419,8.8,77.3,0.0
full_eto,001,2010,8,2010-03-12,initial,0.7,0.141,5.0,3.5,3.5,3.5,1.0,0.441,9.8,87.0,0.0
full_eto,001,2010,9,2010-03-13,initial,0.7,0.147,5.06,3.54,3.54,3.54,1.0,0.646,14.7,101.8,0.0
full_eto,001,2010,10,2010-03-14,initial,0.7,0.153,4.44,3.11,3.11,3.11,1.0,0.641,12.7,114.4,0.0
full_eto,001,2010,11,2010-03-15,initial,0.7,0.159,4.29,3.0,3.0,3.0,1.0,0.607,11.2,125.7,0.0
full_eto,001,2010,12,2010-03-16,initial,0.7,0.165,4.74,3.32,3.32,3.32,1.0,1.0,22.7,148.4,0.0
full_eto,001,2010,13,2010-03-17,initial,0.7,0.171,4.1,2.87,2.87,2.87,1.0,1.0,23.9,172.3,0.0
full_eto,001,2010,14,2010-03-18,initial,0.7,0.177,4.75,3.32,3.32,3.32,1.0,1.0,28.2,200.5,0.0
