# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 03-15
#   under openfield (spring season, 75 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 5625
# CROP: kale
# PLANTING_DATE: 03-15
# CONDITION: openfield
# SEASON_LENGTH: 75 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-15,initial,0.7,0.1,7.43,5.2,5.2,1.0,0.607,7.1,7.1,0.0
full_eto,001,2010,2,2010-03-16,initial,0.7,0.106,7.39,5.17,5.17,1.0,1.0,14.6,21.6,0.0
full_eto,001,2010,3,2010-03-17,initial,0.7,0.112,6.21,4.35,4.35,1.0,1.0,15.6,37.3,0.0
full_eto,001,2010,4,2010-03-18,initial,0.7,0.118,7.24,5.07,5.07,1.0,1.0,18.8,56.0,0.0
full_eto,001,2010,5,2010-03-19,initial,0.7,0.124,8.61,6.03,6.03,1.0,1.0,21.0,77.0,0.0
full_eto,001,2010,6,2010-03-20,initial,0.7,0.13,9.2,6.44,6.44,1.0,1.0,21.4,98.4,0.0
full_eto,001,2010,7,2010-03-21,initial,0.7,0.136,9.66,6.76,6.76,1.0,1.0,20.9,119.3,0.0
full_eto,001,2010,8,2010-03-22,initial,0.7,0.141,9.74,6.82,6.82,1.0,0.996,21.9,141.3,0.0
full_eto,001,2010,9,2010-03-23,initial,0.7,0.147,8.76,6.13,6.13,1.0,1.0,23.4,164.6,0.0
full_eto,001,2010,10,2010-03-24,initial,0.7,0.153,8.83,6.18,6.18,1.0,1.0,24.6,189.2,0.0
full_eto,001,2010,11,2010-03-25,initial,0.7,0.159,8.41,5.89,5.89,1.0,1.0,24.7,213.9,0.0
full_eto,001,2010,12,2010-03-26,initial,0.7,0.165,7.11,4.98,4.98,1.0,1.0,26.3,240.2,0.0
full_eto,001,2010,13,2010-03-27,initial,0.7,0.171,7.51,5.25,5.28,1.0,1.0,24.8,265.0,0.0
full_eto,001,2010,14,2010-03-28,initial,0.7,0.177,8.44,5.91,5.91,1.0,1.0,28.8,293.8,0.0
full_eto,001,2010,15,2010-03-29,initial,0.7,0.183,8.94,6.26,6.26,1.0,0.966,28.6,322.5,0.0
full_eto,001,2010,16,2010-03-30,initial,0.7,0.189,7.86,5.5,5.5,1.0,1.0,33.4,355.9,0.0
full_eto,001,2010,17,2010-03-31,initial,0.7,0.195,8.79,6.15,6.15,1.0,1.0,35.9,391.9,0.0
full_eto,001,2010,18,2010-04-01,initial,0.7,0.201,11.91,8.34,8.34,1.0,0.854,31.4,423.3,0.0
full_eto,001,2010,19,2010-04-02,initial,0.7,0.207,13.45,9.41,9.41,1.0,0.309,11.4,434.7,0.0
full_eto,001,2010,20,2010-04-03,initial,0.7,0.212,12.99,9.1,9.1,1.0,0.166,5.7,440.4,0.0
full_eto,001,2010,21,2010-04-04,development,0.7,0.212,10.68,7.48,7.48,1.0,0.503,16.6,457.0,0.0
full_eto,001,2010,22,2010-04-05,development,0.712,0.231,10.23,7.29,7.29,1.0,0.918,36.8,493.9,0.0
full_eto,001,2010,23,2010-04-06,development,0.724,0.25,9.25,6.7,6.7,1.0,1.0,44.7,538.6,0.0
full_eto,001,2010,24,2010-04-07,development,0.736,0.268,8.88,6.54,6.54,1.0,1.0,47.8,586.4,0.0
full_eto,001,2010,25,2010-04-08,development,0.748,0.287,8.38,6.27,6.27,1.0,1.0,51.0,637.5,0.0
full_eto,001,2010,26,2010-04-09,development,0.76,0.305,9.69,7.37,7.37,1.0,1.0,53.9,691.3,0.0
full_eto,001,2010,27,2010-04-10,development,0.772,0.324,11.68,9.02,9.02,1.0,0.694,36.9,728.3,0.0
full_eto,001,2010,28,2010-04-11,development,0.784,0.342,10.77,8.45,8.45,1.0,0.327,17.6,745.9,0.0
full_eto,001,2010,29,2010-04-12,development,0.797,0.361,8.03,6.4,6.4,1.0,1.0,62.8,808.8,0.0
full_eto,001,2010,30,2010-04-13,development,0.809,0.379,8.91,7.2,7.2,1.0,1.0,71.5,880.2,0.0
full_eto,001,2010,31,2010-04-14,development,0.821,0.398,10.25,8.41,8.41,1.0,0.985,72.4,952.7,0.0
full_eto,001,2010,32,2010-04-15,development,0.833,0.416,11.1,9.25,9.25,1.0,0.757,56.5,1009.2,0.0
full_eto,001,2010,33,2010-04-16,development,0.845,0.435,10.71,9.05,9.05,1.0,0.472,37.7,1046.9,0.0
full_eto,001,2010,34,2010-04-17,development,0.857,0.453,10.89,9.33,9.33,1.0,0.731,62.9,1109.8,0.0
full_eto,001,2010,35,2010-04-18,development,0.869,0.472,11.78,10.24,10.24,1.0,0.493,42.6,1152.4,0.0
full_eto,001,2010,36,2010-04-19,development,0.881,0.491,13.06,11.51,11.51,1.0,0.249,22.5,1174.8,0.0
full_eto,001,2010,37,2010-04-20,development,0.893,0.509,11.94,10.66,10.66,1.0,0.218,19.9,1194.8,0.0
full_eto,001,2010,38,2010-04-21,development,0.905,0.528,9.57,8.66,8.66,1.0,0.55,46.5,1241.3,0.0
full_eto,001,2010,39,2010-04-22,development,0.917,0.546,7.42,6.8,6.8,1.0,1.0,106.8,1348.1,0.0
full_eto,001,2010,40,2010-04-23,development,0.929,0.565,9.5,8.83,8.83,1.0,1.0,102.6,1450.7,0.0
full_eto,001,2010,41,2010-04-24,development,0.941,0.583,11.76,11.07,11.07,1.0,0.877,100.3,1550.9,0.0
full_eto,001,2010,42,2010-04-25,development,0.953,0.602,11.99,11.43,11.43,1.0,0.652,72.9,1623.8,0.0
full_eto,001,2010,43,2010-04-26,development,0.966,0.62,11.77,11.36,11.36,1.0,0.529,62.1,1685.9,0.0
full_eto,001,2010,44,2010-04-27,development,0.978,0.639,11.85,11.58,11.58,1.0,0.278,34.1,1720.1,0.0
full_eto,001,2010,45,2010-04-28,development,0.99,0.657,8.64,8.55,8.55,1.0,0.616,71.7,1791.7,0.0
full_eto,001,2010,46,2010-04-29,development,1.002,0.676,7.63,7.64,7.64,1.0,0.769,80.5,1872.2,0.0
full_eto,001,2010,47,2010-04-30,development,1.014,0.694,8.34,8.46,8.48,1.0,0.787,53.9,1926.2,0.0
full_eto,001,2010,48,2010-05-01,development,1.026,0.713,8.98,9.21,9.31,1.0,0.756,75.7,2001.8,0.0
full_eto,001,2010,49,2010-05-02,development,1.038,0.731,8.71,9.04,9.04,1.0,0.971,142.7,2144.5,0.0
full_eto,001,2010,50,2010-05-03,development,1.05,0.75,10.66,11.19,11.19,1.0,0.837,127.8,2272.3,0.0
full_eto,001,2010,51,2010-05-04,mid,1.05,0.75,11.54,12.11,12.11,1.0,0.734,111.4,2383.7,0.0
full_eto,001,2010,52,2010-05-05,mid,1.05,0.75,12.01,12.61,12.61,1.0,0.632,96.6,2480.3,0.0
full_eto,001,2010,53,2010-05-06,mid,1.05,0.75,12.32,12.93,12.93,1.0,0.601,92.2,2572.5,0.0
full_eto,001,2010,54,2010-05-07,mid,1.05,0.75,12.96,13.61,13.61,1.0,0.264,39.5,2612.0,0.0
full_eto,001,2010,55,2010-05-08,mid,1.05,0.75,12.82,13.46,13.46,1.0,0.0,0.0,2612.0,0.0
full_eto,001,2010,56,2010-05-09,mid,1.05,0.75,13.75,14.44,14.44,1.0,0.0,0.0,2612.0,0.0
full_eto,001,2010,57,2010-05-10,mid,1.05,0.75,12.82,13.46,13.46,1.0,0.037,4.7,2616.7,0.0
full_eto,001,2010,58,2010-05-11,mid,1.05,0.75,10.1,10.6,10.6,1.0,0.527,75.0,2691.8,0.0
full_eto,001,2010,59,2010-05-12,mid,1.05,0.75,11.12,11.67,11.67,1.0,0.511,76.6,2768.4,0.0
full_eto,001,2010,60,2010-05-13,mid,1.05,0.75,12.63,13.26,13.26,1.0,0.423,64.6,2833.0,0.0
full_eto,001,2010,61,2010-05-14,mid,1.05,0.75,14.91,15.66,15.66,1.0,0.105,16.1,2849.1,0.0
full_eto,001,2010,62,2010-05-15,mid,1.05,0.75,14.26,14.97,14.97,1.0,0.0,0.0,2849.1,0.0
full_eto,001,2010,63,2010-05-16,mid,1.05,0.75,17.66,18.55,18.55,1.0,0.0,0.0,2849.1,0.0
