# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 03-15
#   under underpv_high (spring season, 75 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 5625
# CROP: kale
# PLANTING_DATE: 03-15
# CONDITION: underpv_high
# SEASON_LENGTH: 75 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-15,initial,0.7,0.1,7.0,2.86,2.86,1.0,0.919,3.7,3.7,0.0
full_eto,001,2010,2,2010-03-16,initial,0.7,0.106,6.92,2.84,2.84,1.0,1.0,5.1,8.8,0.0
full_eto,001,2010,3,2010-03-17,initial,0.7,0.112,5.8,2.39,2.39,1.0,1.0,5.5,14.3,0.0
full_eto,001,2010,4,2010-03-18,initial,0.7,0.118,6.74,2.79,2.79,1.0,1.0,6.6,20.9,0.0
full_eto,001,2010,5,2010-03-19,initial,0.7,0.124,8.01,3.32,3.32,1.0,1.0,7.4,28.2,0.0
full_eto,001,2010,6,2010-03-20,initial,0.7,0.13,8.58,3.54,3.54,1.0,1.0,7.5,35.7,0.0
full_eto,001,2010,7,2010-03-21,initial,0.7,0.136,9.03,3.72,3.72,1.0,1.0,7.3,43.0,0.0
full_eto,001,2010,8,2010-03-22,initial,0.7,0.141,9.13,3.75,3.75,1.0,1.0,7.7,50.7,0.0
full_eto,001,2010,9,2010-03-23,initial,0.7,0.147,8.2,3.37,3.37,1.0,1.0,8.2,58.9,0.0
full_eto,001,2010,10,2010-03-24,initial,0.7,0.153,8.28,3.4,3.4,1.0,1.0,8.6,67.5,0.0
full_eto,001,2010,11,2010-03-25,initial,0.7,0.159,7.88,3.24,3.24,1.0,1.0,8.7,76.2,0.0
full_eto,001,2010,12,2010-03-26,initial,0.7,0.165,6.64,2.74,2.74,1.0,1.0,9.2,85.4,0.0
full_eto,001,2010,13,2010-03-27,initial,0.7,0.171,6.99,2.89,2.92,1.0,1.0,8.7,94.1,0.0
full_eto,001,2010,14,2010-03-28,initial,0.7,0.177,7.89,3.25,3.25,1.0,1.0,10.1,104.2,0.0
full_eto,001,2010,15,2010-03-29,initial,0.7,0.183,8.38,3.44,3.44,1.0,1.0,10.4,114.6,0.0
full_eto,001,2010,16,2010-03-30,initial,0.7,0.189,7.35,3.02,3.02,1.0,1.0,11.7,126.3,0.0
full_eto,001,2010,17,2010-03-31,initial,0.7,0.195,8.22,3.38,3.38,1.0,1.0,12.6,138.8,0.0
full_eto,001,2010,18,2010-04-01,initial,0.7,0.201,11.18,4.58,4.58,1.0,1.0,12.9,151.7,0.0
full_eto,001,2010,19,2010-04-02,initial,0.7,0.207,12.71,5.18,5.18,1.0,0.622,8.0,159.7,0.0
full_eto,001,2010,20,2010-04-03,initial,0.7,0.212,12.3,5.0,5.0,1.0,0.478,5.8,165.5,0.0
full_eto,001,2010,21,2010-04-04,development,0.7,0.212,10.07,4.11,4.11,1.0,0.816,9.4,174.9,0.0
full_eto,001,2010,22,2010-04-05,development,0.712,0.231,9.6,4.01,4.01,1.0,1.0,14.0,189.0,0.0
full_eto,001,2010,23,2010-04-06,development,0.724,0.25,8.67,3.69,3.69,1.0,1.0,15.6,204.6,0.0
full_eto,001,2010,24,2010-04-07,development,0.736,0.268,8.32,3.6,3.6,1.0,1.0,16.7,221.3,0.0
full_eto,001,2010,25,2010-04-08,development,0.748,0.287,7.84,3.45,3.45,1.0,1.0,17.9,239.2,0.0
full_eto,001,2010,26,2010-04-09,development,0.76,0.305,9.08,4.05,4.05,1.0,1.0,18.8,258.1,0.0
full_eto,001,2010,27,2010-04-10,development,0.772,0.324,10.99,4.96,4.96,1.0,1.0,18.6,276.7,0.0
full_eto,001,2010,28,2010-04-11,development,0.784,0.342,10.17,4.65,4.65,1.0,0.639,12.1,288.8,0.0
full_eto,001,2010,29,2010-04-12,development,0.797,0.361,7.52,3.52,3.52,1.0,1.0,22.0,310.8,0.0
full_eto,001,2010,30,2010-04-13,development,0.809,0.379,8.32,3.96,3.96,1.0,1.0,25.1,335.8,0.0
full_eto,001,2010,31,2010-04-14,development,0.821,0.398,9.61,4.63,4.63,1.0,1.0,25.7,361.5,0.0
full_eto,001,2010,32,2010-04-15,development,0.833,0.416,10.44,5.09,5.09,1.0,1.0,26.1,387.6,0.0
full_eto,001,2010,33,2010-04-16,development,0.845,0.435,10.1,4.98,4.98,1.0,0.784,22.0,409.6,0.0
full_eto,001,2010,34,2010-04-17,development,0.857,0.453,10.24,5.13,5.13,1.0,1.0,30.1,439.6,0.0
full_eto,001,2010,35,2010-04-18,development,0.869,0.472,11.11,5.63,5.63,1.0,0.806,24.4,464.0,0.0
full_eto,001,2010,36,2010-04-19,development,0.881,0.491,12.35,6.33,6.33,1.0,0.561,17.8,481.8,0.0
full_eto,001,2010,37,2010-04-20,development,0.893,0.509,11.29,5.86,5.86,1.0,0.531,17.0,498.8,0.0
full_eto,001,2010,38,2010-04-21,development,0.905,0.528,9.01,4.76,4.76,1.0,0.862,25.5,524.3,0.0
full_eto,001,2010,39,2010-04-22,development,0.917,0.546,6.94,3.74,3.74,1.0,1.0,37.4,561.7,0.0
full_eto,001,2010,40,2010-04-23,development,0.929,0.565,8.89,4.85,4.85,1.0,1.0,35.9,597.6,0.0
full_eto,001,2010,41,2010-04-24,development,0.941,0.583,11.04,6.09,6.09,1.0,1.0,39.9,637.5,0.0
full_eto,001,2010,42,2010-04-25,development,0.953,0.602,11.29,6.29,6.29,1.0,0.964,37.8,675.3,0.0
full_eto,001,2010,43,2010-04-26,development,0.966,0.62,11.09,6.25,6.25,1.0,0.841,34.6,709.9,0.0
full_eto,001,2010,44,2010-04-27,development,0.978,0.639,11.2,6.37,6.37,1.0,0.591,25.4,735.3,0.0
full_eto,001,2010,45,2010-04-28,development,0.99,0.657,8.14,4.7,4.7,1.0,0.928,37.8,773.1,0.0
full_eto,001,2010,46,2010-04-29,development,1.002,0.676,7.17,4.2,4.2,1.0,1.0,36.6,809.7,0.0
full_eto,001,2010,47,2010-04-30,development,1.014,0.694,7.84,4.65,4.67,1.0,1.0,24.0,833.7,0.0
full_eto,001,2010,48,2010-05-01,development,1.026,0.713,8.44,5.07,5.17,1.0,1.0,35.0,868.7,0.0
full_eto,001,2010,49,2010-05-02,development,1.038,0.731,8.16,4.97,4.97,1.0,1.0,51.3,920.0,0.0
full_eto,001,2010,50,2010-05-03,development,1.05,0.75,10.01,6.15,6.15,1.0,1.0,53.3,973.4,0.0
full_eto,001,2010,51,2010-05-04,mid,1.05,0.75,10.85,6.66,6.66,1.0,1.0,53.2,1026.5,0.0
full_eto,001,2010,52,2010-05-05,mid,1.05,0.75,11.31,6.94,6.94,1.0,0.944,50.5,1077.1,0.0
full_eto,001,2010,53,2010-05-06,mid,1.05,0.75,11.6,7.11,7.11,1.0,0.913,49.0,1126.1,0.0
full_eto,001,2010,54,2010-05-07,mid,1.05,0.75,12.25,7.49,7.49,1.0,0.576,30.2,1156.3,0.0
full_eto,001,2010,55,2010-05-08,mid,1.05,0.75,12.15,7.4,7.4,1.0,0.258,12.9,1169.3,0.0
full_eto,001,2010,56,2010-05-09,mid,1.05,0.75,13.05,7.94,7.94,1.0,0.199,9.0,1178.3,0.0
full_eto,001,2010,57,2010-05-10,mid,1.05,0.75,12.15,7.41,7.41,1.0,0.349,15.7,1194.0,0.0
full_eto,001,2010,58,2010-05-11,mid,1.05,0.75,9.52,5.83,5.83,1.0,0.84,41.8,1235.8,0.0
full_eto,001,2010,59,2010-05-12,mid,1.05,0.75,10.48,6.42,6.42,1.0,0.823,43.2,1279.0,0.0
full_eto,001,2010,60,2010-05-13,mid,1.05,0.75,11.92,7.29,7.29,1.0,0.736,39.4,1318.3,0.0
full_eto,001,2010,61,2010-05-14,mid,1.05,0.75,14.12,8.61,8.61,1.0,0.417,22.4,1340.8,0.0
full_eto,001,2010,62,2010-05-15,mid,1.05,0.75,13.52,8.24,8.24,1.0,0.287,14.7,1355.5,0.0
full_eto,001,2010,63,2010-05-16,mid,1.05,0.75,16.78,10.2,10.2,1.0,0.011,0.5,1356.0,0.0
full_eto,001,2010,64,2010-05-17,mid,1.05,0.75,13.45,8.18,8.18,1.0,0.098,4.1,1360.2,0.0
full_eto,001,2010,65,2010-05-18,mid,1.05,0.75,9.13,5.58,5.58,1.0,0.503,22.6,1382.8,0.0
full_eto,001,2010,66,2010-05-19,mid,1.05,0.75,10.06,6.16,6.16,1.0,0.771,39.3,1422.1,0.0
full_eto,001,2010,67,2010-05-20,mid,1.05,0.75,11.13,6.83,6.83,1.0,0.896,46.3,1468.4,0.0
full_eto,001,2010,68,2010-05-21,mid,1.05,0.75,12.1,7.41,7.41,1.0,0.826,43.6,1512.0,0.0
full_eto,001,2010,69,2010-05-22,mid,1.05,0.75,12.54,7.66,7.66,1.0,0.509,26.0,1538.1,0.0
full_eto,001,2010,70,2010-05-23,mid,1.05,0.75,9.49,5.82,5.82,1.0,0.95,50.0,1588.0,0.0
full_eto,001,2010,71,2010-05-24,mid,1.05,0.75,10.76,6.61,6.61,1.0,1.0,53.3,1641.4,0.0
full_eto,001,2010,72,2010-05-25,mid,1.05,0.75,11.53,7.07,7.07,1.0,0.9,47.7,1689.1,0.0
full_eto,001,2010,73,2010-05-26,mid,1.05,0.75,14.36,8.77,8.77,1.0,0.526,27.7,1716.7,0.0
full_eto,001,2010,74,2010-05-27,mid,1.05,0.75,11.59,7.07,7.07,1.0,0.394,18.0,1734.8,0.0
full_eto,001,2010,75,2010-05-28,mid,1.05,0.75,9.3,5.7,5.7,1.0,0.816,41.8,1776.5,20629.0
full_eto,001,2011,1,2011-03-15,initial,0.7,0.1,8.58,3.53,3.53,1.0,1.0,6.0,6.0,0.0
full_eto,001,2011,2,2011-03-16,initial,0.7,0.106,8.26,3.4,3.4,1.0,1.0,6.3,12.2,0.0
full_eto,001,2011,3,2011-03-17,initial,0.7,0.112,8.21,3.38,3.38,1.0,1.0,6.5,18.7,0.0
full_eto,001,2011,4,2011-03-18,initial,0.7,0.118,8.15,3.35,3.35,1.0,1.0,6.8,25.5,0.0
full_eto,001,2011,5,2011-03-19,initial,0.7,0.124,7.6,3.11,3.11,1.0,1.0,6.9,32.5,0.0
full_eto,001,2011,6,2011-03-20,initial,0.7,0.13,8.26,3.39,3.39,1.0,1.0,6.8,39.3,0.0
full_eto,001,2011,7,2011-03-21,initial,0.7,0.136,7.64,3.13,3.13,1.0,1.0,6.8,46.1,0.0
full_eto,001,2011,8,2011-03-22,initial,0.7,0.141,6.51,2.68,2.68,1.0,1.0,8.3,54.4,0.0
full_eto,001,2011,9,2011-03-23,initial,0.7,0.147,6.63,2.74,2.74,1.0,1.0,8.8,63.3,0.0
full_eto,001,2011,10,2011-03-24,initial,0.7,0.153,6.0,2.49,2.49,1.0,1.0,9.0,72.3,0.0
full_eto,001,2011,11,2011-03-25,initial,0.7,0.159,6.5,2.7,2.73,1.0,0.848,6.4,78.8,0.0
full_eto,001,2011,12,2011-03-26,initial,0.7,0.165,7.46,3.09,3.09,1.0,0.98,10.0,88.8,0.0
full_eto,001,2011,13,2011-03-27,initial,0.7,0.171,8.02,3.31,3.31,1.0,1.0,10.7,99.4,0.0
full_eto,001,2011,14,2011-03-28,initial,0.7,0.177,8.45,3.48,3.48,1.0,1.0,10.8,110.2,0.0
