# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 03-15
#   under underpv_medium (spring season, 75 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 5625
# CROP: kale
# PLANTING_DATE: 03-15
# CONDITION: underpv_medium
# SEASON_LENGTH: 75 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-15,initial,0.7,0.1,3.04,1.77,1.77,1.77,1.0,0.794,4.6,4.6,0.0
full_eto,001,2010,2,2010-03-16,initial,0.7,0.106,3.58,2.1,2.1,2.1,1.0,1.0,7.3,11.9,0.0
full_eto,001,2010,3,2010-03-17,initial,0.7,0.112,3.01,1.76,1.76,1.76,1.0,1.0,7.8,19.7,0.0
full_eto,001,2010,4,2010-03-18,initial,0.7,0.118,3.66,2.16,2.16,2.16,1.0,1.0,9.4,29.1,0.0
full_eto,001,2010,5,2010-03-19,initial,0.7,0.124,3.75,2.2,2.2,2.2,1.0,1.0,10.5,39.6,0.0
full_eto,001,2010,6,2010-03-20,initial,0.7,0.13,3.91,2.29,2.29,2.29,1.0,1.0,10.7,50.3,0.0
full_eto,001,2010,7,2010-03-21,initial,0.7,0.136,3.55,2.07,2.07,2.07,1.0,1.0,10.5,60.7,0.0
full_eto,001,2010,8,2010-03-22,initial,0.7,0.141,3.57,2.08,2.08,2.08,1.0,1.0,11.0,71.8,0.0
full_eto,001,2010,9,2010-03-23,initial,0.7,0.147,3.47,2.02,2.02,2.02,1.0,1.0,11.7,83.4,0.0
full_eto,001,2010,10,2010-03-24,initial,0.7,0.153,2.86,1.66,1.66,1.66,1.0,1.0,12.3,95.8,0.0
full_eto,001,2010,11,2010-03-25,initial,0.7,0.159,3.84,2.24,2.24,2.24,1.0,1.0,12.4,108.1,0.0
full_eto,001,2010,12,2010-03-26,initial,0.7,0.165,3.15,1.85,1.85,1.85,1.0,1.0,13.2,121.3,0.0
full_eto,001,2010,13,2010-03-27,initial,0.7,0.171,3.13,1.83,1.83,1.86,1.0,1.0,12.4,133.7,0.0
full_eto,001,2010,14,2010-03-28,initial,0.7,0.177,2.71,1.57,1.57,1.57,1.0,1.0,14.4,148.1,0.0
full_eto,001,2010,15,2010-03-29,initial,0.7,0.183,2.97,1.72,1.72,1.72,1.0,1.0,14.8,162.9,0.0
full_eto,001,2010,16,2010-03-30,initial,0.7,0.189,3.58,2.1,2.1,2.1,1.0,1.0,16.7,179.6,0.0
full_eto,001,2010,17,2010-03-31,initial,0.7,0.195,3.42,1.99,1.99,1.99,1.0,1.0,18.0,197.6,0.0
full_eto,001,2010,18,2010-04-01,initial,0.7,0.201,4.01,2.32,2.32,2.32,1.0,1.0,18.4,216.0,0.0
full_eto,001,2010,19,2010-04-02,initial,0.7,0.207,4.2,2.43,2.43,2.43,1.0,0.497,9.1,225.2,0.0
full_eto,001,2010,20,2010-04-03,initial,0.7,0.212,4.08,2.35,2.35,2.35,1.0,0.353,6.1,231.3,0.0
full_eto,001,2010,21,2010-04-04,development,0.7,0.212,3.77,2.19,2.19,2.19,1.0,0.691,11.4,242.7,0.0
full_eto,001,2010,22,2010-04-05,development,0.712,0.231,4.23,2.51,2.51,2.51,1.0,1.0,20.1,262.8,0.0
full_eto,001,2010,23,2010-04-06,development,0.724,0.25,4.01,2.43,2.43,2.43,1.0,1.0,22.3,285.1,0.0
full_eto,001,2010,24,2010-04-07,development,0.736,0.268,4.04,2.49,2.49,2.49,1.0,1.0,23.9,309.0,0.0
full_eto,001,2010,25,2010-04-08,development,0.748,0.287,3.83,2.4,2.4,2.4,1.0,1.0,25.5,334.5,0.0
full_eto,001,2010,26,2010-04-09,development,0.76,0.305,3.95,2.51,2.51,2.51,1.0,1.0,26.9,361.4,0.0
full_eto,001,2010,27,2010-04-10,development,0.772,0.324,3.28,2.09,2.09,2.09,1.0,0.882,23.5,384.9,0.0
full_eto,001,2010,28,2010-04-11,development,0.784,0.342,3.7,2.4,2.4,2.4,1.0,0.514,13.9,398.8,0.0
full_eto,001,2010,29,2010-04-12,development,0.797,0.361,3.68,2.45,2.45,2.45,1.0,1.0,31.4,430.2,0.0
full_eto,001,2010,30,2010-04-13,development,0.809,0.379,3.66,2.48,2.48,2.48,1.0,1.0,35.8,466.0,0.0
full_eto,001,2010,31,2010-04-14,development,0.821,0.398,4.09,2.79,2.79,2.79,1.0,1.0,36.8,502.8,0.0
full_eto,001,2010,32,2010-04-15,development,0.833,0.416,3.41,2.35,2.35,2.35,1.0,0.944,35.2,538.0,0.0
full_eto,001,2010,33,2010-04-16,development,0.845,0.435,3.39,2.36,2.36,2.36,1.0,0.659,26.4,564.3,0.0
full_eto,001,2010,34,2010-04-17,development,0.857,0.453,4.48,3.2,3.2,3.2,1.0,0.919,39.5,603.8,0.0
full_eto,001,2010,35,2010-04-18,development,0.869,0.472,4.31,3.1,3.1,3.1,1.0,0.681,29.4,633.2,0.0
full_eto,001,2010,36,2010-04-19,development,0.881,0.491,4.35,3.16,3.16,3.16,1.0,0.436,19.7,652.9,0.0
full_eto,001,2010,37,2010-04-20,development,0.893,0.509,4.1,3.02,3.02,3.02,1.0,0.406,18.5,671.5,0.0
full_eto,001,2010,38,2010-04-21,development,0.905,0.528,4.06,3.05,3.05,3.05,1.0,0.737,31.3,702.7,0.0
full_eto,001,2010,39,2010-04-22,development,0.917,0.546,3.57,2.75,2.75,2.75,1.0,1.0,53.4,756.1,0.0
full_eto,001,2010,40,2010-04-23,development,0.929,0.565,3.7,2.87,2.87,2.87,1.0,1.0,51.4,807.5,0.0
full_eto,001,2010,41,2010-04-24,development,0.941,0.583,3.82,2.98,2.98,2.98,1.0,1.0,57.1,864.6,0.0
full_eto,001,2010,42,2010-04-25,development,0.953,0.602,3.95,3.11,3.11,3.11,1.0,0.839,46.9,911.5,0.0
full_eto,001,2010,43,2010-04-26,development,0.966,0.62,4.67,3.75,3.75,3.75,1.0,0.716,42.1,953.6,0.0
full_eto,001,2010,44,2010-04-27,development,0.978,0.639,3.76,3.03,3.03,3.03,1.0,0.466,28.6,982.2,0.0
full_eto,001,2010,45,2010-04-28,development,0.99,0.657,3.95,3.26,3.26,3.26,1.0,0.803,46.7,1029.0,0.0
full_eto,001,2010,46,2010-04-29,development,1.002,0.676,3.24,2.7,2.7,2.7,1.0,0.957,50.1,1079.0,0.0
full_eto,001,2010,47,2010-04-30,development,1.014,0.694,2.88,2.42,2.42,2.44,1.0,0.974,33.4,1112.4,0.0
full_eto,001,2010,48,2010-05-01,development,1.026,0.713,3.06,2.6,2.6,2.7,1.0,0.944,47.2,1159.6,0.0
full_eto,001,2010,49,2010-05-02,development,1.038,0.731,3.77,3.27,3.27,3.27,1.0,1.0,73.4,1233.1,0.0
full_eto,001,2010,50,2010-05-03,development,1.05,0.75,3.9,3.4,3.4,3.4,1.0,1.0,76.2,1309.3,0.0
full_eto,001,2010,51,2010-05-04,mid,1.05,0.75,3.95,3.43,3.43,3.43,1.0,0.922,69.9,1379.2,0.0
full_eto,001,2010,52,2010-05-05,mid,1.05,0.75,4.27,3.71,3.71,3.71,1.0,0.819,62.7,1441.9,0.0
full_eto,001,2010,53,2010-05-06,mid,1.05,0.75,4.54,3.95,3.95,3.95,1.0,0.788,60.5,1502.4,0.0
full_eto,001,2010,54,2010-05-07,mid,1.05,0.75,4.01,3.47,3.47,3.47,1.0,0.451,33.7,1536.1,0.0
full_eto,001,2010,55,2010-05-08,mid,1.05,0.75,4.12,3.56,3.56,3.56,1.0,0.133,9.5,1545.7,0.0
full_eto,001,2010,56,2010-05-09,mid,1.05,0.75,3.99,3.44,3.44,3.44,1.0,0.074,4.8,1550.5,0.0
full_eto,001,2010,57,2010-05-10,mid,1.05,0.75,4.41,3.82,3.82,3.82,1.0,0.224,14.4,1564.9,0.0
full_eto,001,2010,58,2010-05-11,mid,1.05,0.75,4.26,3.72,3.72,3.72,1.0,0.715,50.9,1615.7,0.0
full_eto,001,2010,59,2010-05-12,mid,1.05,0.75,4.4,3.84,3.84,3.84,1.0,0.698,52.4,1668.2,0.0
full_eto,001,2010,60,2010-05-13,mid,1.05,0.75,4.82,4.19,4.19,4.19,1.0,0.611,46.6,1714.8,0.0
full_eto,001,2010,61,2010-05-14,mid,1.05,0.75,5.64,4.89,4.89,4.89,1.0,0.292,22.4,1737.2,0.0
full_eto,001,2010,62,2010-05-15,mid,1.05,0.75,4.84,4.19,4.19,4.19,1.0,0.162,11.9,1749.1,0.0
full_eto,001,2010,63,2010-05-16,mid,1.05,0.75,4.61,3.97,3.97,3.97,1.0,0.0,0.0,1749.1,0.0
full_eto,001,2010,64,2010-05-17,mid,1.05,0.75,4.35,3.75,3.75,3.75,1.0,0.0,0.0,1749.1,0.0
full_eto,001,2010,65,2010-05-18,mid,1.05,0.75,4.25,3.71,3.71,3.71,1.0,0.378,24.4,1773.4,0.0
full_eto,001,2010,66,2010-05-19,mid,1.05,0.75,4.93,4.32,4.32,4.32,1.0,0.646,47.0,1820.5,0.0
full_eto,001,2010,67,2010-05-20,mid,1.05,0.75,5.1,4.46,4.46,4.46,1.0,0.771,56.9,1877.4,0.0
full_eto,001,2010,68,2010-05-21,mid,1.05,0.75,4.73,4.12,4.12,4.12,1.0,0.701,52.9,1930.2,0.0
full_eto,001,2010,69,2010-05-22,mid,1.05,0.75,4.83,4.19,4.19,4.19,1.0,0.384,28.1,1958.4,0.0
full_eto,001,2010,70,2010-05-23,mid,1.05,0.75,4.59,4.02,4.02,4.02,1.0,0.825,62.0,2020.3,0.0
full_eto,001,2010,71,2010-05-24,mid,1.05,0.75,4.69,4.1,4.1,4.1,1.0,0.902,68.8,2089.1,0.0
full_eto,001,2010,72,2010-05-25,mid,1.05,0.75,4.8,4.18,4.18,4.18,1.0,0.775,58.5,2147.6,0.0
full_eto,001,2010,73,2010-05-26,mid,1.05,0.75,5.02,4.35,4.35,4.35,1.0,0.401,30.2,2177.8,0.0
full_eto,001,2010,74,2010-05-27,mid,1.05,0.75,4.57,3.96,3.96,3.96,1.0,0.269,17.6,2195.4,0.0
full_eto,001,2010,75,2010-05-28,mid,1.05,0.75,4.44,3.89,3.89,3.89,1.0,0.691,50.5,2245.9,18949.0
full_eto,001,2011,1,2011-03-15,initial,0.7,0.1,3.15,1.83,1.83,1.83,1.0,1.0,8.5,8.5,0.0
full_eto,001,2011,2,2011-03-16,initial,0.7,0.106,3.09,1.8,1.8,1.8,1.0,1.0,9.0,17.5,0.0
full_eto,001,2011,3,2011-03-17,initial,0.7,0.112,2.97,1.73,1.73,1.73,1.0,1.0,9.3,26.7,0.0
full_eto,001,2011,4,2011-03-18,initial,0.7,0.118,3.02,1.75,1.75,1.75,1.0,1.0,9.7,36.5,0.0
full_eto,001,2011,5,2011-03-19,initial,0.7,0.124,2.6,1.51,1.51,1.51,1.0,0.983,9.7,46.2,0.0
full_eto,001,2011,6,2011-03-20,initial,0.7,0.13,2.85,1.65,1.65,1.65,1.0,0.991,9.7,55.9,0.0
full_eto,001,2011,7,2011-03-21,initial,0.7,0.136,3.18,1.85,1.85,1.85,1.0,0.95,9.2,65.1,0.0
full_eto,001,2011,8,2011-03-22,initial,0.7,0.141,3.42,2.01,2.01,2.01,1.0,1.0,11.9,77.0,0.0
full_eto,001,2011,9,2011-03-23,initial,0.7,0.147,3.22,1.89,1.89,1.89,1.0,1.0,12.6,89.6,0.0
full_eto,001,2011,10,2011-03-24,initial,0.7,0.153,3.06,1.8,1.8,1.8,1.0,1.0,12.9,102.5,0.0
full_eto,001,2011,11,2011-03-25,initial,0.7,0.159,2.95,1.74,1.74,1.77,1.0,0.948,10.3,112.8,0.0
full_eto,001,2011,12,2011-03-26,initial,0.7,0.165,2.97,1.74,1.74,1.74,1.0,1.0,14.6,127.4,0.0
full_eto,001,2011,13,2011-03-27,initial,0.7,0.171,3.39,1.98,1.98,1.98,1.0,1.0,15.3,142.7,0.0
full_eto,001,2011,14,2011-03-28,initial,0.7,0.177,3.93,2.3,2.3,2.3,1.0,1.0,15.4,158.1,0.0
full_eto,001,2011,15,2011-03-29,initial,0.7,0.183,3.67,2.14,2.14,2.14,1.0,1.0,16.4,174.5,0.0
full_eto,001,2011,16,2011-03-30,initial,0.7,0.189,3.87,2.26,2.26,2.26,1.0,1.0,16.7,191.2,0.0
full_eto,001,2011,17,2011-03-31,initial,0.7,0.195,3.49,2.03,2.03,2.03,1.0,1.0,17.1,208.3,0.0
full_eto,001,2011,18,2011-04-01,initial,0.7,0.201,3.19,1.85,1.85,1.85,1.0,0.701,11.8,220.1,0.0
full_eto,001,2011,19,2011-04-02,initial,0.7,0.207,3.79,2.21,2.21,2.21,1.0,1.0,15.3,235.4,0.0
full_eto,001,2011,20,2011-04-03,initial,0.7,0.212,3.54,2.07,2.07,2.07,1.0,1.0,17.5,252.9,0.0
full_eto,001,2011,21,2011-04-04,development,0.7,0.212,3.14,1.84,1.84,1.85,1.0,1.0,17.9,270.8,0.0
full_eto,001,2011,22,2011-04-05,development,0.712,0.231,3.04,1.81,1.81,1.81,1.0,1.0,19.2,290.0,0.0
full_eto,001,2011,23,2011-04-06,development,0.724,0.25,3.04,1.84,1.84,1.84,1.0,1.0,22.4,312.4,0.0
full_eto,001,2011,24,2011-04-07,development,0.736,0.268,2.9,1.77,1.77,1.77,1.0,1.0,23.2,335.6,0.0
full_eto,001,2011,25,2011-04-08,development,0.748,0.287,3.08,1.91,1.91,1.91,1.0,1.0,23.6,359.2,0.0
full_eto,001,2011,26,2011-04-09,development,0.76,0.305,3.42,2.17,2.17,2.18,1.0,1.0,26.9,386.1,0.0
full_eto,001,2011,27,2011-04-10,development,0.772,0.324,3.27,2.1,2.1,2.1,1.0,1.0,29.4,415.4,0.0
full_eto,001,2011,28,2011-04-11,development,0.784,0.342,3.37,2.2,2.2,2.2,1.0,1.0,31.6,447.1,0.0
full_eto,001,2011,29,2011-04-12,development,0.797,0.361,3.74,2.49,2.49,2.49,1.0,1.0,32.6,479.7,0.0
full_eto,001,2011,30,2011-04-13,development,0.809,0.379,3.52,2.38,2.38,2.38,1.0,1.0,36.2,515.9,0.0
full_eto,001,2011,31,2011-04-14,development,0.821,0.398,3.85,2.63,2.63,2.63,1.0,1.0,37.7,553.6,0.0
full_eto,001,2011,32,2011-04-15,development,0.833,0.416,4.11,2.84,2.84,2.84,1.0,1.0,39.7,593.3,0.0
full_eto,001,2011,33,2011-04-16,development,0.845,0.435,3.91,2.72,2.72,2.72,1.0,0.623,21.4,614.7,0.0
full_eto,001,2011,34,2011-04-17,development,0.857,0.453,3.67,2.59,2.59,2.59,1.0,0.549,20.6,635.3,0.0
full_eto,001,2011,35,2011-04-18,development,0.869,0.472,3.63,2.6,2.6,2.6,1.0,0.518,20.3,655.6,0.0
full_eto,001,2011,36,2011-04-19,development,0.881,0.491,3.76,2.75,2.75,2.75,1.0,0.828,29.9,685.5,0.0
full_eto,001,2011,37,2011-04-20,development,0.893,0.509,3.75,2.8,2.8,2.8,1.0,1.0,47.5,733.0,0.0
full_eto,001,2011,38,2011-04-21,development,0.905,0.528,3.35,2.54,2.54,2.54,1.0,1.0,44.4,777.4,0.0
full_eto,001,2011,39,2011-04-22,development,0.917,0.546,3.46,2.64,2.64,2.64,1.0,1.0,52.6,830.0,0.0
full_eto,001,2011,40,2011-04-23,development,0.929,0.565,3.28,2.54,2.54,2.54,1.0,1.0,55.1,885.0,0.0
full_eto,001,2011,41,2011-04-24,development,0.941,0.583,4.05,3.18,3.18,3.18,1.0,1.0,56.6,941.6,0.0
full_eto,001,2011,42,2011-04-25,development,0.953,0.602,3.96,3.16,3.16,3.16,1.0,1.0,60.1,1001.7,0.0
full_eto,001,2011,43,2011-04-26,development,0.966,0.62,3.82,3.06,3.06,3.06,1.0,1.0,61.2,1063.0,0.0
full_eto,001,2011,44,2011-04-27,development,0.978,0.639,3.19,2.57,2.57,2.57,1.0,0.726,36.8,1099.8,0.0
full_eto,001,2011,45,2011-04-28,development,0.99,0.657,3.29,2.67,2.67,2.67,1.0,0.499,20.8,1120.6,0.0
full_eto,001,2011,46,2011-04-29,development,1.002,0.676,3.86,3.22,3.22,3.22,1.0,0.941,56.9,1177.5,0.0
full_eto,001,2011,47,2011-04-30,development,1.014,0.694,3.66,3.1,3.1,3.1,1.0,1.0,61.0,1238.5,0.0
full_eto,001,2011,48,2011-05-01,development,1.026,0.713,3.97,3.39,3.39,3.39,1.0,1.0,70.0,1308.5,0.0
full_eto,001,2011,49,2011-05-02,development,1.038,0.731,3.54,3.03,3.03,3.03,1.0,0.655,44.9,1353.4,0.0
full_eto,001,2011,50,2011-05-03,development,1.05,0.75,4.23,3.68,3.68,3.68,1.0,0.583,42.1,1395.4,0.0
full_eto,001,2011,51,2011-05-04,mid,1.05,0.75,3.46,2.99,2.99,2.99,1.0,0.272,16.5,1411.9,0.0
full_eto,001,2011,52,2011-05-05,mid,1.05,0.75,3.72,3.21,3.21,3.21,1.0,0.281,13.3,1425.2,0.0
full_eto,001,2011,53,2011-05-06,mid,1.05,0.75,3.55,3.1,3.1,3.1,1.0,0.793,42.3,1467.5,0.0
full_eto,001,2011,54,2011-05-07,mid,1.05,0.75,4.32,3.79,3.79,3.79,1.0,1.0,76.2,1543.8,0.0
full_eto,001,2011,55,2011-05-08,mid,1.05,0.75,3.83,3.36,3.36,3.36,1.0,1.0,75.1,1618.9,0.0
