# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 03-25
#   under underpv_high (spring season, 75 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 5625
# CROP: kale
# PLANTING_DATE: 03-25
# CONDITION: underpv_high
# SEASON_LENGTH: 75 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-25,initial,0.7,0.1,3.06,1.26,1.26,1.26,1.0,1.0,5.4,5.4,0.0
full_eto,001,2010,2,2010-03-26,initial,0.7,0.106,2.51,1.04,1.04,1.04,1.0,1.0,5.9,11.4,0.0
full_eto,001,2010,3,2010-03-27,initial,0.7,0.112,2.5,1.03,1.03,1.06,1.0,1.0,5.7,17.0,0.0
full_eto,001,2010,4,2010-03-28,initial,0.7,0.118,2.09,0.85,0.85,0.85,1.0,1.0,6.7,23.8,0.0
full_eto,001,2010,5,2010-03-29,initial,0.7,0.124,2.28,0.93,0.93,0.93,1.0,1.0,7.0,30.8,0.0
full_eto,001,2010,6,2010-03-30,initial,0.7,0.13,2.85,1.17,1.17,1.17,1.0,1.0,8.0,38.8,0.0
full_eto,001,2010,7,2010-03-31,initial,0.7,0.136,2.66,1.09,1.09,1.09,1.0,1.0,8.8,47.6,0.0
full_eto,001,2010,8,2010-04-01,initial,0.7,0.141,3.07,1.25,1.25,1.25,1.0,1.0,9.1,56.6,0.0
full_eto,001,2010,9,2010-04-02,initial,0.7,0.147,3.19,1.28,1.28,1.28,1.0,0.622,5.7,62.3,0.0
full_eto,001,2010,10,2010-04-03,initial,0.7,0.153,3.09,1.24,1.24,1.24,1.0,0.478,4.2,66.5,0.0
full_eto,001,2010,11,2010-04-04,initial,0.7,0.159,2.9,1.17,1.17,1.17,1.0,0.816,7.1,73.6,0.0
full_eto,001,2010,12,2010-04-05,initial,0.7,0.165,3.32,1.36,1.36,1.36,1.0,1.0,10.0,83.6,0.0
full_eto,001,2010,13,2010-04-06,initial,0.7,0.171,3.17,1.3,1.3,1.3,1.0,1.0,10.7,94.3,0.0
full_eto,001,2010,14,2010-04-07,initial,0.7,0.177,3.22,1.33,1.33,1.33,1.0,1.0,11.0,105.4,0.0
full_eto,001,2010,15,2010-04-08,initial,0.7,0.183,3.06,1.26,1.26,1.26,1.0,1.0,11.4,116.8,0.0
full_eto,001,2010,16,2010-04-09,initial,0.7,0.189,3.1,1.27,1.27,1.27,1.0,1.0,11.6,128.4,0.0
full_eto,001,2010,17,2010-04-10,initial,0.7,0.195,2.51,1.01,1.01,1.01,1.0,1.0,11.2,139.7,0.0
full_eto,001,2010,18,2010-04-11,initial,0.7,0.201,2.83,1.14,1.14,1.14,1.0,0.639,7.1,146.7,0.0
full_eto,001,2010,19,2010-04-12,initial,0.7,0.207,2.94,1.21,1.21,1.21,1.0,1.0,12.6,159.3,0.0
full_eto,001,2010,20,2010-04-13,initial,0.7,0.212,2.88,1.18,1.18,1.18,1.0,1.0,14.0,173.4,0.0
full_eto,001,2010,21,2010-04-14,development,0.7,0.212,3.19,1.31,1.31,1.31,1.0,1.0,13.7,187.1,0.0
full_eto,001,2010,22,2010-04-15,development,0.712,0.231,2.6,1.07,1.07,1.07,1.0,1.0,14.5,201.6,0.0
full_eto,001,2010,23,2010-04-16,development,0.724,0.25,2.56,1.07,1.07,1.07,1.0,0.784,12.6,214.2,0.0
