# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 11-21
#   under openfield (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6155
# CROP: kale
# PLANTING_DATE: 11-21
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,3.63,2.54,2.54,2.54,1.0,0.681,7.1,7.1,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.106,3.65,2.55,2.55,2.55,1.0,0.84,9.4,16.5,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.112,3.19,2.23,2.23,2.23,1.0,0.823,9.7,26.2,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.118,2.91,2.04,2.04,2.04,1.0,0.754,7.9,34.2,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.124,3.27,2.29,2.29,2.29,1.0,0.652,7.9,42.1,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.13,3.33,2.33,2.33,2.33,1.0,0.608,7.8,49.8,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.136,3.46,2.42,2.42,2.42,1.0,0.542,7.2,57.0,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.141,3.1,2.17,2.17,2.17,1.0,0.506,7.1,64.1,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.147,3.27,2.29,2.29,2.29,1.0,0.522,8.0,72.1,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.153,2.96,2.07,2.07,2.07,1.0,0.607,9.9,81.9,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.159,3.08,2.16,2.16,2.16,1.0,0.726,12.3,94.3,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.165,3.17,2.22,2.22,2.22,1.0,0.734,13.0,107.3,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.171,2.99,2.1,2.1,2.1,1.0,0.723,12.5,119.7,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.177,3.06,2.14,2.14,2.14,1.0,0.642,11.5,131.2,0.0
