# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 11-21
#   under underpv_high (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6155
# CROP: kale
# PLANTING_DATE: 11-21
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,2.13,0.86,0.86,0.86,1.0,0.994,3.6,3.6,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.106,2.19,0.89,0.89,0.89,1.0,1.0,3.9,7.6,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.112,1.81,0.74,0.74,0.74,1.0,1.0,4.1,11.7,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.118,1.67,0.67,0.67,0.67,1.0,1.0,3.7,15.4,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.124,1.86,0.75,0.75,0.75,1.0,0.964,4.1,19.5,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.13,1.89,0.76,0.76,0.76,1.0,0.921,4.1,23.6,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.136,1.98,0.8,0.8,0.8,1.0,0.854,3.9,27.5,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.141,1.7,0.68,0.68,0.68,1.0,0.819,4.0,31.5,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.147,1.8,0.73,0.73,0.73,1.0,0.834,4.5,36.0,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.153,1.59,0.64,0.64,0.64,1.0,0.92,5.2,41.2,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.159,1.71,0.69,0.69,0.69,1.0,1.0,5.9,47.1,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.165,1.78,0.72,0.72,0.72,1.0,1.0,6.2,53.3,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.171,1.69,0.68,0.68,0.68,1.0,1.0,6.0,59.4,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.177,1.71,0.69,0.69,0.69,1.0,0.954,6.0,65.3,0.0
full_eto,001,2010,15,2010-12-05,initial,0.7,0.183,1.71,0.69,0.69,0.69,1.0,1.0,6.5,71.8,0.0
full_eto,001,2010,16,2010-12-06,initial,0.7,0.189,2.33,0.96,0.96,0.96,1.0,1.0,6.6,78.4,0.0
full_eto,001,2010,17,2010-12-07,initial,0.7,0.195,1.86,0.76,0.76,0.76,1.0,1.0,6.8,85.2,0.0
full_eto,001,2010,18,2010-12-08,initial,0.7,0.201,1.59,0.65,0.65,0.65,1.0,1.0,6.5,91.7,0.0
full_eto,001,2010,19,2010-12-09,initial,0.7,0.207,1.95,0.79,0.79,0.79,1.0,1.0,6.5,98.2,0.0
full_eto,001,2010,20,2010-12-10,initial,0.7,0.212,1.84,0.75,0.75,0.77,1.0,1.0,7.1,105.3,0.0
full_eto,001,2010,21,2010-12-11,development,0.7,0.212,2.12,0.87,0.87,0.91,1.0,1.0,5.5,110.8,0.0
full_eto,001,2010,22,2010-12-12,development,0.712,0.231,1.79,0.76,0.76,0.76,1.0,0.773,4.8,115.7,0.0
full_eto,001,2010,23,2010-12-13,development,0.724,0.25,1.54,0.66,0.66,0.66,1.0,0.699,5.4,121.0,0.0
full_eto,001,2010,24,2010-12-14,development,0.736,0.268,0.98,0.42,0.42,0.42,1.0,0.932,7.9,128.9,0.0
full_eto,001,2010,25,2010-12-15,development,0.748,0.287,1.26,0.55,0.55,0.55,1.0,1.0,7.4,136.3,0.0
full_eto,001,2010,26,2010-12-16,development,0.76,0.305,1.3,0.57,0.57,0.57,1.0,1.0,10.2,146.5,0.0
full_eto,001,2010,27,2010-12-17,development,0.772,0.324,1.37,0.61,0.61,0.61,1.0,1.0,10.9,157.4,0.0
full_eto,001,2010,28,2010-12-18,development,0.784,0.342,1.84,0.85,0.85,0.85,1.0,1.0,11.2,168.6,0.0
full_eto,001,2010,29,2010-12-19,development,0.797,0.361,1.83,0.86,0.86,0.86,1.0,0.958,11.7,180.3,0.0
full_eto,001,2010,30,2010-12-20,development,0.809,0.379,1.83,0.86,0.86,0.86,1.0,1.0,12.2,192.5,0.0
full_eto,001,2010,31,2010-12-21,development,0.821,0.398,1.73,0.82,0.82,0.82,1.0,1.0,12.7,205.2,0.0
full_eto,001,2010,32,2010-12-22,development,0.833,0.416,1.81,0.88,0.88,0.88,1.0,1.0,12.6,217.8,0.0
full_eto,001,2010,33,2010-12-23,development,0.845,0.435,2.27,1.12,1.12,1.12,1.0,1.0,12.9,230.7,0.0
full_eto,001,2010,34,2010-12-24,development,0.857,0.453,1.96,0.98,0.98,0.98,1.0,1.0,15.7,246.4,0.0
full_eto,001,2010,35,2010-12-25,development,0.869,0.472,1.6,0.81,0.81,0.81,1.0,1.0,16.6,263.0,0.0
full_eto,001,2010,36,2010-12-26,development,0.881,0.491,1.39,0.71,0.71,0.71,1.0,1.0,17.1,280.0,0.0
full_eto,001,2010,37,2010-12-27,development,0.893,0.509,1.75,0.91,0.91,0.91,1.0,1.0,17.6,297.7,0.0
full_eto,001,2010,38,2010-12-28,development,0.905,0.528,1.97,1.04,1.04,1.04,1.0,1.0,18.1,315.8,0.0
full_eto,001,2010,39,2010-12-29,development,0.917,0.546,1.93,1.02,1.02,1.12,1.0,1.0,6.6,322.4,0.0
full_eto,001,2010,40,2010-12-30,development,0.929,0.565,1.73,0.94,0.94,1.04,1.0,1.0,10.8,333.2,0.0
full_eto,001,2010,41,2010-12-31,development,0.941,0.583,1.7,0.95,0.95,1.01,1.0,0.995,17.4,350.6,0.0
