# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 11-21
#   under underpv_low (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6155
# CROP: kale
# PLANTING_DATE: 11-21
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,3.05,1.86,1.86,1.86,1.0,0.781,5.3,5.3,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.106,3.11,1.89,1.89,1.89,1.0,0.94,6.8,12.1,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.112,2.63,1.6,1.6,1.6,1.0,0.923,7.1,19.2,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.118,2.41,1.46,1.46,1.46,1.0,0.854,5.8,25.0,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.124,2.7,1.64,1.64,1.64,1.0,0.752,5.9,31.0,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.13,2.76,1.68,1.68,1.68,1.0,0.708,5.9,36.9,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.136,2.89,1.75,1.75,1.75,1.0,0.642,5.5,42.4,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.141,2.51,1.52,1.52,1.52,1.0,0.606,5.5,47.9,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.147,2.65,1.61,1.61,1.61,1.0,0.622,6.2,54.1,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.153,2.35,1.43,1.43,1.43,1.0,0.708,7.5,61.6,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.159,2.51,1.53,1.53,1.53,1.0,0.826,9.1,70.7,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.165,2.6,1.58,1.58,1.58,1.0,0.834,9.6,80.3,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.171,2.45,1.49,1.49,1.49,1.0,0.823,9.2,89.5,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.177,2.5,1.52,1.52,1.52,1.0,0.742,8.6,98.2,0.0
full_eto,001,2010,15,2010-12-05,initial,0.7,0.183,2.49,1.52,1.52,1.52,1.0,0.806,9.7,107.8,0.0
full_eto,001,2010,16,2010-12-06,initial,0.7,0.189,3.2,1.95,1.95,1.95,1.0,1.0,12.2,120.0,0.0
full_eto,001,2010,17,2010-12-07,initial,0.7,0.195,2.6,1.58,1.58,1.58,1.0,1.0,12.7,132.8,0.0
full_eto,001,2010,18,2010-12-08,initial,0.7,0.201,2.23,1.36,1.36,1.36,1.0,1.0,12.0,144.8,0.0
full_eto,001,2010,19,2010-12-09,initial,0.7,0.207,2.73,1.66,1.66,1.66,1.0,1.0,12.2,157.0,0.0
full_eto,001,2010,20,2010-12-10,initial,0.7,0.212,2.55,1.56,1.56,1.58,1.0,1.0,13.2,170.2,0.0
full_eto,001,2010,21,2010-12-11,development,0.7,0.212,2.91,1.77,1.77,1.81,1.0,1.0,10.2,180.4,0.0
full_eto,001,2010,22,2010-12-12,development,0.712,0.231,2.34,1.46,1.46,1.46,1.0,0.943,10.9,191.3,0.0
full_eto,001,2010,23,2010-12-13,development,0.724,0.25,2.07,1.31,1.31,1.31,1.0,0.869,12.3,203.6,0.0
full_eto,001,2010,24,2010-12-14,development,0.736,0.268,1.35,0.87,0.87,0.87,1.0,1.0,15.7,219.3,0.0
full_eto,001,2010,25,2010-12-15,development,0.748,0.287,1.74,1.13,1.13,1.13,1.0,1.0,13.7,233.1,0.0
full_eto,001,2010,26,2010-12-16,development,0.76,0.305,1.86,1.23,1.23,1.23,1.0,1.0,18.9,252.0,0.0
full_eto,001,2010,27,2010-12-17,development,0.772,0.324,1.96,1.32,1.32,1.32,1.0,1.0,20.1,272.1,0.0
full_eto,001,2010,28,2010-12-18,development,0.784,0.342,2.51,1.72,1.72,1.72,1.0,1.0,20.9,292.9,0.0
full_eto,001,2010,29,2010-12-19,development,0.797,0.361,2.51,1.74,1.74,1.74,1.0,1.0,22.7,315.6,0.0
full_eto,001,2010,30,2010-12-20,development,0.809,0.379,2.57,1.81,1.81,1.81,1.0,1.0,22.6,338.2,0.0
full_eto,001,2010,31,2010-12-21,development,0.821,0.398,2.42,1.73,1.73,1.73,1.0,1.0,23.5,361.7,0.0
full_eto,001,2010,32,2010-12-22,development,0.833,0.416,2.53,1.83,1.83,1.83,1.0,1.0,23.3,385.0,0.0
full_eto,001,2010,33,2010-12-23,development,0.845,0.435,3.16,2.32,2.32,2.32,1.0,1.0,24.0,408.9,0.0
full_eto,001,2010,34,2010-12-24,development,0.857,0.453,2.77,2.06,2.06,2.06,1.0,1.0,29.1,438.0,0.0
full_eto,001,2010,35,2010-12-25,development,0.869,0.472,2.27,1.71,1.71,1.71,1.0,1.0,30.6,468.6,0.0
full_eto,001,2010,36,2010-12-26,development,0.881,0.491,1.99,1.53,1.53,1.53,1.0,1.0,31.8,500.4,0.0
full_eto,001,2010,37,2010-12-27,development,0.893,0.509,2.48,1.93,1.93,1.93,1.0,1.0,32.6,533.1,0.0
full_eto,001,2010,38,2010-12-28,development,0.905,0.528,2.79,2.2,2.2,2.2,1.0,1.0,33.6,566.6,0.0
full_eto,001,2010,39,2010-12-29,development,0.917,0.546,2.61,2.08,2.08,2.28,1.0,1.0,12.4,579.0,0.0
full_eto,001,2010,40,2010-12-30,development,0.929,0.565,2.3,1.86,1.86,2.05,1.0,1.0,20.1,599.1,0.0
full_eto,001,2010,41,2010-12-31,development,0.941,0.583,2.3,1.89,1.89,1.95,1.0,1.0,32.6,631.7,0.0
full_eto,001,2010,42,2011-01-01,development,0.953,0.602,2.0,1.66,1.66,1.66,1.0,1.0,37.4,669.1,0.0
full_eto,001,2010,43,2011-01-02,development,0.966,0.62,1.73,1.45,1.45,1.45,1.0,1.0,38.3,707.4,0.0
full_eto,001,2010,44,2011-01-03,development,0.978,0.639,1.63,1.38,1.38,1.38,1.0,1.0,30.0,737.4,0.0
full_eto,001,2010,45,2011-01-04,development,0.99,0.657,2.46,2.13,2.13,2.13,1.0,1.0,41.8,779.2,0.0
full_eto,001,2010,46,2011-01-05,development,1.002,0.676,2.52,2.2,2.2,2.2,1.0,1.0,44.5,823.7,0.0
full_eto,001,2010,47,2011-01-06,development,1.014,0.694,2.56,2.26,2.26,2.26,1.0,1.0,45.4,869.0,0.0
full_eto,001,2010,48,2011-01-07,development,1.026,0.713,2.92,2.61,2.61,2.61,1.0,1.0,46.1,915.1,0.0
full_eto,001,2010,49,2011-01-08,development,1.038,0.731,2.63,2.39,2.39,2.39,1.0,1.0,49.4,964.4,0.0
full_eto,001,2010,50,2011-01-09,development,1.05,0.75,2.44,2.24,2.24,2.24,1.0,0.95,48.4,1012.9,0.0
full_eto,001,2010,51,2011-01-10,mid,1.05,0.75,2.27,2.08,2.08,2.08,1.0,1.0,52.1,1064.9,0.0
full_eto,001,2010,52,2011-01-11,mid,1.05,0.75,2.07,1.89,1.89,1.89,1.0,1.0,49.2,1114.1,0.0
full_eto,001,2010,53,2011-01-12,mid,1.05,0.75,1.89,1.73,1.73,1.73,1.0,1.0,48.1,1162.2,0.0
full_eto,001,2010,54,2011-01-13,mid,1.05,0.75,2.06,1.88,1.88,1.88,1.0,1.0,51.7,1213.9,0.0
full_eto,001,2010,55,2011-01-14,mid,1.05,0.75,2.34,2.14,2.14,2.15,1.0,1.0,49.7,1263.6,0.0
full_eto,001,2010,56,2011-01-15,mid,1.05,0.75,2.25,2.06,2.06,2.19,1.0,0.992,43.5,1307.1,0.0
full_eto,001,2010,57,2011-01-16,mid,1.05,0.75,2.36,2.16,2.16,2.16,1.0,1.0,51.3,1358.5,0.0
full_eto,001,2010,58,2011-01-17,mid,1.05,0.75,1.8,1.65,1.65,1.81,1.0,1.0,45.0,1403.5,0.0
full_eto,001,2010,59,2011-01-18,mid,1.05,0.75,1.88,1.72,1.72,1.9,1.0,0.895,27.6,1431.1,0.0
full_eto,001,2010,60,2011-01-19,mid,1.05,0.75,1.95,1.78,1.78,1.78,1.0,1.0,49.0,1480.1,0.0
full_eto,001,2010,61,2011-01-20,mid,1.05,0.75,1.93,1.76,1.76,1.76,1.0,1.0,50.1,1530.2,0.0
