# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 11-21
#   under underpv_medium (winter season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6155
# CROP: kale
# PLANTING_DATE: 11-21
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,2.7,1.57,1.57,1.57,1.0,0.869,4.5,4.5,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.106,2.76,1.61,1.61,1.61,1.0,1.0,5.6,10.1,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.112,2.3,1.34,1.34,1.34,1.0,1.0,5.9,16.0,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.118,2.12,1.23,1.23,1.23,1.0,0.942,4.9,20.9,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.124,2.37,1.37,1.37,1.37,1.0,0.839,5.1,26.0,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.13,2.42,1.4,1.4,1.4,1.0,0.796,5.1,31.1,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.136,2.54,1.47,1.47,1.47,1.0,0.729,4.8,36.0,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.141,2.17,1.26,1.26,1.26,1.0,0.694,4.9,40.8,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.147,2.3,1.33,1.33,1.33,1.0,0.709,5.4,46.2,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.153,2.02,1.17,1.17,1.17,1.0,0.795,6.5,52.7,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.159,2.18,1.27,1.27,1.27,1.0,0.913,7.7,60.4,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.165,2.28,1.32,1.32,1.32,1.0,0.921,8.2,68.6,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.171,2.14,1.24,1.24,1.24,1.0,0.911,7.8,76.4,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.177,2.18,1.26,1.26,1.26,1.0,0.829,7.4,83.9,0.0
full_eto,001,2010,15,2010-12-05,initial,0.7,0.183,2.18,1.26,1.26,1.26,1.0,0.893,8.3,92.2,0.0
full_eto,001,2010,16,2010-12-06,initial,0.7,0.189,2.89,1.69,1.69,1.69,1.0,1.0,9.4,101.6,0.0
full_eto,001,2010,17,2010-12-07,initial,0.7,0.195,2.32,1.36,1.36,1.36,1.0,1.0,9.8,111.4,0.0
full_eto,001,2010,18,2010-12-08,initial,0.7,0.201,1.98,1.16,1.16,1.16,1.0,1.0,9.2,120.6,0.0
full_eto,001,2010,19,2010-12-09,initial,0.7,0.207,2.44,1.42,1.42,1.42,1.0,1.0,9.4,130.0,0.0
full_eto,001,2010,20,2010-12-10,initial,0.7,0.212,2.28,1.34,1.34,1.36,1.0,1.0,10.2,140.2,0.0
full_eto,001,2010,21,2010-12-11,development,0.7,0.212,2.64,1.54,1.54,1.58,1.0,1.0,7.8,148.0,0.0
full_eto,001,2010,22,2010-12-12,development,0.712,0.231,2.15,1.29,1.29,1.29,1.0,0.873,7.8,155.8,0.0
full_eto,001,2010,23,2010-12-13,development,0.724,0.25,1.88,1.15,1.15,1.15,1.0,0.799,8.7,164.5,0.0
full_eto,001,2010,24,2010-12-14,development,0.736,0.268,1.18,0.73,0.73,0.73,1.0,1.0,12.1,176.6,0.0
full_eto,001,2010,25,2010-12-15,development,0.748,0.287,1.55,0.97,0.97,0.97,1.0,1.0,10.5,187.1,0.0
full_eto,001,2010,26,2010-12-16,development,0.76,0.305,1.62,1.02,1.02,1.02,1.0,1.0,14.5,201.7,0.0
full_eto,001,2010,27,2010-12-17,development,0.772,0.324,1.71,1.1,1.1,1.1,1.0,1.0,15.5,217.2,0.0
full_eto,001,2010,28,2010-12-18,development,0.784,0.342,2.26,1.49,1.49,1.49,1.0,1.0,16.1,233.2,0.0
full_eto,001,2010,29,2010-12-19,development,0.797,0.361,2.26,1.51,1.51,1.51,1.0,1.0,17.5,250.7,0.0
full_eto,001,2010,30,2010-12-20,development,0.809,0.379,2.31,1.55,1.55,1.55,1.0,1.0,17.4,268.1,0.0
full_eto,001,2010,31,2010-12-21,development,0.821,0.398,2.16,1.48,1.48,1.48,1.0,1.0,18.1,286.2,0.0
full_eto,001,2010,32,2010-12-22,development,0.833,0.416,2.26,1.57,1.57,1.57,1.0,1.0,17.9,304.1,0.0
full_eto,001,2010,33,2010-12-23,development,0.845,0.435,2.86,2.01,2.01,2.01,1.0,1.0,18.5,322.7,0.0
full_eto,001,2010,34,2010-12-24,development,0.857,0.453,2.47,1.76,1.76,1.76,1.0,1.0,22.4,345.0,0.0
full_eto,001,2010,35,2010-12-25,development,0.869,0.472,2.01,1.45,1.45,1.45,1.0,1.0,23.5,368.6,0.0
full_eto,001,2010,36,2010-12-26,development,0.881,0.491,1.74,1.28,1.28,1.28,1.0,1.0,24.4,393.0,0.0
