# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 10-01
#   under openfield (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 10-01
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-01,initial,0.7,0.1,5.08,3.56,3.56,3.56,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,2,2010-10-02,initial,0.7,0.106,4.86,3.4,3.4,3.4,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,3,2010-10-03,initial,0.7,0.112,4.8,3.36,3.36,3.36,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,4,2010-10-04,initial,0.7,0.118,5.03,3.52,3.52,3.52,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,5,2010-10-05,initial,0.7,0.124,5.09,3.56,3.56,3.56,1.0,0.066,1.0,1.0,0.0
full_eto,001,2010,6,2010-10-06,initial,0.7,0.13,5.15,3.61,3.61,3.61,1.0,0.307,5.4,6.4,0.0
full_eto,001,2010,7,2010-10-07,initial,0.7,0.136,5.17,3.62,3.62,3.62,1.0,0.4,7.7,14.1,0.0
full_eto,001,2010,8,2010-10-08,initial,0.7,0.141,5.12,3.58,3.58,3.58,1.0,0.482,9.9,24.1,0.0
full_eto,001,2010,9,2010-10-09,initial,0.7,0.147,4.87,3.41,3.41,3.41,1.0,0.351,7.4,31.5,0.0
full_eto,001,2010,10,2010-10-10,initial,0.7,0.153,4.33,3.03,3.03,3.03,1.0,0.199,4.1,35.6,0.0
full_eto,001,2010,11,2010-10-11,initial,0.7,0.159,5.16,3.61,3.61,3.61,1.0,0.406,9.0,44.6,0.0
full_eto,001,2010,12,2010-10-12,initial,0.7,0.165,4.75,3.33,3.33,3.33,1.0,0.413,9.6,54.2,0.0
full_eto,001,2010,13,2010-10-13,initial,0.7,0.171,4.92,3.44,3.44,3.44,1.0,0.081,1.7,55.9,0.0
full_eto,001,2010,14,2010-10-14,initial,0.7,0.177,4.76,3.33,3.33,3.33,1.0,0.011,0.3,56.1,0.0
