# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 10-01
#   under underpv_high (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 10-01
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-01,initial,0.7,0.1,9.24,3.75,3.75,1.0,0.175,0.9,0.9,0.0
full_eto,001,2010,2,2010-10-02,initial,0.7,0.106,9.42,3.81,3.81,1.0,0.0,0.0,0.9,0.0
full_eto,001,2010,3,2010-10-03,initial,0.7,0.112,9.28,3.76,3.76,1.0,0.058,0.3,1.1,0.0
full_eto,001,2010,4,2010-10-04,initial,0.7,0.118,8.25,3.35,3.35,1.0,0.276,1.3,2.5,0.0
full_eto,001,2010,5,2010-10-05,initial,0.7,0.124,7.54,3.07,3.07,1.0,0.378,2.0,4.5,0.0
full_eto,001,2010,6,2010-10-06,initial,0.7,0.13,6.86,2.8,2.8,1.0,0.619,3.8,8.3,0.0
full_eto,001,2010,7,2010-10-07,initial,0.7,0.136,6.93,2.83,2.83,1.0,0.712,4.8,13.1,0.0
full_eto,001,2010,8,2010-10-08,initial,0.7,0.141,7.03,2.87,2.87,1.0,0.795,5.7,18.8,0.0
full_eto,001,2010,9,2010-10-09,initial,0.7,0.147,7.72,3.15,3.15,1.0,0.663,4.9,23.8,0.0
full_eto,001,2010,10,2010-10-10,initial,0.7,0.153,7.09,2.88,2.88,1.0,0.512,3.7,27.5,0.0
full_eto,001,2010,11,2010-10-11,initial,0.7,0.159,7.53,3.07,3.07,1.0,0.719,5.5,33.0,0.0
full_eto,001,2010,12,2010-10-12,initial,0.7,0.165,6.9,2.82,2.82,1.0,0.725,5.9,38.9,0.0
full_eto,001,2010,13,2010-10-13,initial,0.7,0.171,9.2,3.74,3.74,1.0,0.393,2.9,41.8,0.0
full_eto,001,2010,14,2010-10-14,initial,0.7,0.177,7.82,3.18,3.18,1.0,0.324,2.7,44.6,0.0
full_eto,001,2010,15,2010-10-15,initial,0.7,0.183,8.57,3.48,3.48,1.0,0.118,1.0,45.6,0.0
full_eto,001,2010,16,2010-10-16,initial,0.7,0.189,7.84,3.18,3.18,1.0,0.118,1.0,46.5,0.0
full_eto,001,2010,17,2010-10-17,initial,0.7,0.195,7.16,2.91,2.91,1.0,0.279,2.4,48.9,0.0
full_eto,001,2010,18,2010-10-18,initial,0.7,0.201,8.44,3.43,3.43,1.0,0.265,2.4,51.3,0.0
full_eto,001,2010,19,2010-10-19,initial,0.7,0.207,8.78,3.56,3.56,1.0,0.006,0.1,51.3,0.0
full_eto,001,2010,20,2010-10-20,initial,0.7,0.212,7.68,3.11,3.11,1.0,0.189,1.8,53.2,0.0
full_eto,001,2010,21,2010-10-21,development,0.7,0.212,7.74,3.15,3.15,1.0,0.362,3.4,56.6,0.0
full_eto,001,2010,22,2010-10-22,development,0.712,0.231,7.55,3.12,3.12,1.0,0.451,4.6,61.2,0.0
full_eto,001,2010,23,2010-10-23,development,0.724,0.25,6.57,2.77,2.77,1.0,0.594,6.6,67.8,0.0
full_eto,001,2010,24,2010-10-24,development,0.736,0.268,6.59,2.83,2.83,1.0,0.734,8.7,76.5,0.0
full_eto,001,2010,25,2010-10-25,development,0.748,0.287,6.72,2.93,2.93,1.0,0.76,9.8,86.3,0.0
full_eto,001,2010,26,2010-10-26,development,0.76,0.305,6.71,2.97,2.97,1.0,0.766,10.6,97.0,0.0
full_eto,001,2010,27,2010-10-27,development,0.772,0.324,8.13,3.65,3.65,1.0,0.551,8.1,105.1,0.0
full_eto,001,2010,28,2010-10-28,development,0.784,0.342,7.42,3.38,3.38,1.0,0.355,5.3,110.4,0.0
full_eto,001,2010,29,2010-10-29,development,0.797,0.361,5.27,2.45,2.45,1.0,0.851,12.7,123.1,0.0
full_eto,001,2010,30,2010-10-30,development,0.809,0.379,5.09,2.41,2.41,1.0,1.0,15.8,138.9,0.0
full_eto,001,2010,31,2010-10-31,development,0.821,0.398,5.21,2.5,2.5,1.0,1.0,16.7,155.5,0.0
full_eto,001,2010,32,2010-11-01,development,0.833,0.416,5.77,2.81,2.81,1.0,1.0,18.0,173.6,0.0
full_eto,001,2010,33,2010-11-02,development,0.845,0.435,6.64,3.28,3.28,1.0,0.985,18.4,192.0,0.0
full_eto,001,2010,34,2010-11-03,development,0.857,0.453,7.04,3.52,3.52,1.0,0.786,14.7,206.7,0.0
full_eto,001,2010,35,2010-11-04,development,0.869,0.472,7.12,3.6,3.6,1.0,0.689,12.7,219.4,0.0
full_eto,001,2010,36,2010-11-05,development,0.881,0.491,6.37,3.27,3.27,1.0,0.593,11.3,230.7,0.0
full_eto,001,2010,37,2010-11-06,development,0.893,0.509,6.06,3.15,3.15,1.0,0.699,13.3,244.0,0.0
full_eto,001,2010,38,2010-11-07,development,0.905,0.528,5.23,2.77,2.77,1.0,0.964,19.7,263.7,0.0
full_eto,001,2010,39,2010-11-08,development,0.917,0.546,5.58,2.99,2.99,1.0,1.0,22.1,285.7,0.0
full_eto,001,2010,40,2010-11-09,development,0.929,0.565,5.94,3.22,3.22,1.0,0.914,16.9,302.6,0.0
full_eto,001,2010,41,2010-11-10,development,0.941,0.583,6.19,3.4,3.4,1.0,0.861,18.9,321.5,0.0
full_eto,001,2010,42,2010-11-11,development,0.953,0.602,5.84,3.25,3.25,1.0,0.798,18.1,339.6,0.0
full_eto,001,2010,43,2010-11-12,development,0.966,0.62,5.99,3.37,3.37,1.0,0.741,17.5,357.1,0.0
full_eto,001,2010,44,2010-11-13,development,0.978,0.639,5.74,3.27,3.27,1.0,0.717,13.3,370.4,0.0
full_eto,001,2010,45,2010-11-14,development,0.99,0.657,6.27,3.61,3.61,1.0,0.614,14.9,385.3,0.0
full_eto,001,2010,46,2010-11-15,development,1.002,0.676,5.49,3.2,3.2,1.0,0.678,12.2,397.5,0.0
full_eto,001,2010,47,2010-11-16,development,1.014,0.694,4.79,2.84,2.87,1.0,0.859,20.1,417.6,0.0
full_eto,001,2010,48,2010-11-17,development,1.026,0.713,5.21,3.12,3.12,1.0,0.872,21.8,439.4,0.0
full_eto,001,2010,49,2010-11-18,development,1.038,0.731,6.02,3.64,3.64,1.0,0.724,19.2,458.6,0.0
full_eto,001,2010,50,2010-11-19,development,1.05,0.75,6.3,3.85,3.85,1.0,0.756,21.0,479.6,0.0
full_eto,001,2010,51,2010-11-20,mid,1.05,0.75,6.14,3.76,3.76,1.0,0.836,22.7,502.3,0.0
full_eto,001,2010,52,2010-11-21,mid,1.05,0.75,5.06,3.1,3.1,1.0,0.994,27.2,529.6,0.0
full_eto,001,2010,53,2010-11-22,mid,1.05,0.75,4.94,3.04,3.04,1.0,1.0,27.8,557.3,0.0
full_eto,001,2010,54,2010-11-23,mid,1.05,0.75,5.02,3.08,3.08,1.0,1.0,27.8,585.1,0.0
full_eto,001,2010,55,2010-11-24,mid,1.05,0.75,5.1,3.13,3.13,1.0,1.0,23.4,608.5,0.0
full_eto,001,2010,56,2010-11-25,mid,1.05,0.75,5.36,3.29,3.29,1.0,0.964,24.8,633.3,0.0
full_eto,001,2010,57,2010-11-26,mid,1.05,0.75,5.5,3.37,3.37,1.0,0.921,23.7,657.1,0.0
full_eto,001,2010,58,2010-11-27,mid,1.05,0.75,5.83,3.57,3.57,1.0,0.854,21.9,678.9,0.0
full_eto,001,2010,59,2010-11-28,mid,1.05,0.75,6.05,3.71,3.71,1.0,0.819,21.2,700.2,0.0
full_eto,001,2010,60,2010-11-29,mid,1.05,0.75,5.29,3.24,3.24,1.0,0.834,22.7,722.9,0.0
full_eto,001,2010,61,2010-11-30,mid,1.05,0.75,5.41,3.32,3.32,1.0,0.92,25.5,748.4,0.0
full_eto,001,2010,62,2010-12-01,mid,1.05,0.75,5.55,3.41,3.41,1.0,1.0,27.9,776.4,0.0
full_eto,001,2010,63,2010-12-02,mid,1.05,0.75,5.67,3.48,3.48,1.0,1.0,28.1,804.5,0.0
full_eto,001,2010,64,2010-12-03,mid,1.05,0.75,5.59,3.44,3.44,1.0,1.0,26.5,831.0,0.0
full_eto,001,2010,65,2010-12-04,mid,1.05,0.75,5.62,3.45,3.45,1.0,0.954,25.3,856.2,0.0
full_eto,001,2010,66,2010-12-05,mid,1.05,0.75,5.11,3.14,3.14,1.0,1.0,26.7,882.9,0.0
full_eto,001,2010,67,2010-12-06,mid,1.05,0.75,4.51,2.79,2.79,1.0,1.0,26.1,909.0,0.0
full_eto,001,2010,68,2010-12-07,mid,1.05,0.75,4.35,2.69,2.69,1.0,1.0,26.3,935.4,0.0
full_eto,001,2010,69,2010-12-08,mid,1.05,0.75,4.06,2.51,2.51,1.0,1.0,24.1,959.5,0.0
full_eto,001,2010,70,2010-12-09,mid,1.05,0.75,4.62,2.85,2.85,1.0,1.0,23.8,983.3,0.0
full_eto,001,2010,71,2010-12-10,mid,1.05,0.75,3.98,2.46,2.48,1.0,1.0,25.0,1008.3,0.0
full_eto,001,2010,72,2010-12-11,mid,1.05,0.75,4.7,2.91,2.95,1.0,1.0,19.4,1027.7,0.0
full_eto,001,2010,73,2010-12-12,mid,1.05,0.75,3.14,1.96,1.96,1.0,0.773,15.7,1043.4,0.0
full_eto,001,2010,74,2010-12-13,mid,1.05,0.75,3.29,2.06,2.06,1.0,0.699,16.1,1059.5,0.0
full_eto,001,2010,75,2010-12-14,mid,1.05,0.75,3.22,2.0,2.0,1.0,0.932,22.0,1081.5,0.0
full_eto,001,2010,76,2010-12-15,mid,1.05,0.75,4.24,2.63,2.63,1.0,1.0,19.4,1100.9,0.0
full_eto,001,2010,77,2010-12-16,mid,1.05,0.75,4.15,2.56,2.56,1.0,1.0,25.0,1126.0,0.0
full_eto,001,2010,78,2010-12-17,mid,1.05,0.75,4.52,2.78,2.78,1.0,1.0,25.2,1151.2,0.0
full_eto,001,2010,79,2010-12-18,mid,1.05,0.75,3.57,2.21,2.21,1.0,1.0,24.5,1175.7,0.0
full_eto,001,2010,80,2010-12-19,mid,1.05,0.75,3.98,2.48,2.48,1.0,0.958,24.3,1200.0,0.0
full_eto,001,2010,81,2010-12-20,late,1.05,0.75,5.04,3.12,3.12,1.0,1.0,24.1,1224.1,0.0
full_eto,001,2010,82,2010-12-21,late,1.043,0.739,4.66,2.86,2.86,1.0,1.0,23.6,1247.7,0.0
full_eto,001,2010,83,2010-12-22,late,1.036,0.729,4.39,2.67,2.67,1.0,1.0,22.0,1269.8,0.0
full_eto,001,2010,84,2010-12-23,late,1.029,0.718,5.2,3.14,3.14,1.0,1.0,21.4,1291.1,0.0
full_eto,001,2010,85,2010-12-24,late,1.021,0.707,5.48,3.3,3.3,1.0,1.0,24.5,1315.6,18663.0
full_eto,001,2011,1,2011-10-01,initial,0.7,0.1,7.94,3.23,3.23,1.0,0.549,2.8,2.8,0.0
full_eto,001,2011,2,2011-10-02,initial,0.7,0.106,7.61,3.1,3.1,1.0,0.59,3.2,6.1,0.0
full_eto,001,2011,3,2011-10-03,initial,0.7,0.112,7.92,3.23,3.23,1.0,0.661,3.8,9.9,0.0
full_eto,001,2011,4,2011-10-04,initial,0.7,0.118,7.76,3.17,3.17,1.0,0.762,4.6,14.5,0.0
full_eto,001,2011,5,2011-10-05,initial,0.7,0.124,8.73,3.56,3.56,1.0,0.64,4.0,18.5,0.0
full_eto,001,2011,6,2011-10-06,initial,0.7,0.13,8.77,3.57,3.57,1.0,0.62,4.0,22.6,0.0
full_eto,001,2011,7,2011-10-07,initial,0.7,0.136,8.81,3.59,3.59,1.0,0.686,4.7,27.3,0.0
full_eto,001,2011,8,2011-10-08,initial,0.7,0.141,9.53,3.88,3.88,1.0,0.632,4.4,31.7,0.0
full_eto,001,2011,9,2011-10-09,initial,0.7,0.147,9.37,3.81,3.81,1.0,0.342,2.5,34.2,0.0
full_eto,001,2011,10,2011-10-10,initial,0.7,0.153,8.13,3.3,3.3,1.0,0.324,2.5,36.7,0.0
full_eto,001,2011,11,2011-10-11,initial,0.7,0.159,7.58,3.08,3.08,1.0,0.46,3.6,40.3,0.0
full_eto,001,2011,12,2011-10-12,initial,0.7,0.165,6.63,2.71,2.71,1.0,0.739,5.7,46.0,0.0
full_eto,001,2011,13,2011-10-13,initial,0.7,0.171,6.79,2.77,2.77,1.0,0.873,7.3,53.3,0.0
full_eto,001,2011,14,2011-10-14,initial,0.7,0.177,7.22,2.95,2.95,1.0,0.838,6.9,60.1,0.0
full_eto,001,2011,15,2011-10-15,initial,0.7,0.183,6.82,2.78,2.78,1.0,0.764,6.5,66.6,0.0
full_eto,001,2011,16,2011-10-16,initial,0.7,0.189,6.94,2.83,2.83,1.0,0.756,6.6,73.2,0.0
