# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for kale planted 10-01
#   under underpv_low (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 10-01
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-01,initial,0.7,0.1,3.82,2.31,2.31,2.31,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,2,2010-10-02,initial,0.7,0.106,3.53,2.14,2.14,2.14,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,3,2010-10-03,initial,0.7,0.112,3.6,2.18,2.18,2.18,1.0,0.0,0.0,0.0,0.0
full_eto,001,2010,4,2010-10-04,initial,0.7,0.118,4.05,2.45,2.45,2.45,1.0,0.063,0.6,0.6,0.0
full_eto,001,2010,5,2010-10-05,initial,0.7,0.124,4.11,2.5,2.5,2.5,1.0,0.166,1.6,2.2,0.0
full_eto,001,2010,6,2010-10-06,initial,0.7,0.13,4.22,2.57,2.57,2.57,1.0,0.407,4.7,6.9,0.0
full_eto,001,2010,7,2010-10-07,initial,0.7,0.136,4.24,2.58,2.58,2.58,1.0,0.5,6.3,13.1,0.0
full_eto,001,2010,8,2010-10-08,initial,0.7,0.141,4.17,2.54,2.54,2.54,1.0,0.582,7.8,20.9,0.0
full_eto,001,2010,9,2010-10-09,initial,0.7,0.147,3.81,2.32,2.32,2.32,1.0,0.451,6.2,27.1,0.0
full_eto,001,2010,10,2010-10-10,initial,0.7,0.153,3.22,1.95,1.95,1.95,1.0,0.299,4.0,31.2,0.0
full_eto,001,2010,11,2010-10-11,initial,0.7,0.159,4.22,2.57,2.57,2.57,1.0,0.506,7.3,38.4,0.0
full_eto,001,2010,12,2010-10-12,initial,0.7,0.165,3.77,2.29,2.29,2.29,1.0,0.513,7.7,46.2,0.0
full_eto,001,2010,13,2010-10-13,initial,0.7,0.171,3.92,2.37,2.37,2.37,1.0,0.181,2.5,48.7,0.0
full_eto,001,2010,14,2010-10-14,initial,0.7,0.177,3.62,2.2,2.2,2.2,1.0,0.111,1.7,50.4,0.0
