# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for kale planted 10-01
#   under underpv_medium (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 10-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-01,initial,0.7,0.1,9.44,5.45,5.45,1.0,0.05,0.3,0.3,0.0
full_eto,001,2010,2,2010-10-02,initial,0.7,0.106,9.61,5.55,5.55,1.0,0.0,0.0,0.3,0.0
full_eto,001,2010,3,2010-10-03,initial,0.7,0.112,9.48,5.47,5.47,1.0,0.0,0.0,0.3,0.0
full_eto,001,2010,4,2010-10-04,initial,0.7,0.118,8.44,4.88,4.88,1.0,0.151,1.0,1.4,0.0
full_eto,001,2010,5,2010-10-05,initial,0.7,0.124,7.71,4.46,4.46,1.0,0.253,1.9,3.3,0.0
full_eto,001,2010,6,2010-10-06,initial,0.7,0.13,7.02,4.07,4.07,1.0,0.494,4.4,7.7,0.0
full_eto,001,2010,7,2010-10-07,initial,0.7,0.136,7.09,4.11,4.11,1.0,0.587,5.7,13.3,0.0
full_eto,001,2010,8,2010-10-08,initial,0.7,0.141,7.2,4.18,4.18,1.0,0.67,6.9,20.2,0.0
full_eto,001,2010,9,2010-10-09,initial,0.7,0.147,7.9,4.58,4.58,1.0,0.538,5.7,25.9,0.0
full_eto,001,2010,10,2010-10-10,initial,0.7,0.153,7.25,4.2,4.2,1.0,0.387,4.0,29.9,0.0
full_eto,001,2010,11,2010-10-11,initial,0.7,0.159,7.7,4.46,4.46,1.0,0.594,6.5,36.5,0.0
full_eto,001,2010,12,2010-10-12,initial,0.7,0.165,7.07,4.09,4.09,1.0,0.6,7.0,43.5,0.0
full_eto,001,2010,13,2010-10-13,initial,0.7,0.171,9.41,5.44,5.44,1.0,0.268,2.9,46.3,0.0
full_eto,001,2010,14,2010-10-14,initial,0.7,0.177,8.0,4.62,4.62,1.0,0.199,2.4,48.7,0.0
