# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 10-11
#   under underpv_high (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6360
# CROP: kale
# PLANTING_DATE: 10-11
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-11,initial,0.7,0.1,2.87,1.16,1.16,1.16,1.0,0.719,3.5,3.5,0.0
full_eto,001,2010,2,2010-10-12,initial,0.7,0.106,2.51,1.02,1.02,1.02,1.0,0.725,3.8,7.3,0.0
full_eto,001,2010,3,2010-10-13,initial,0.7,0.112,2.57,1.03,1.03,1.03,1.0,0.393,1.9,9.2,0.0
full_eto,001,2010,4,2010-10-14,initial,0.7,0.118,2.32,0.93,0.93,0.93,1.0,0.324,1.8,11.0,0.0
full_eto,001,2010,5,2010-10-15,initial,0.7,0.124,1.97,0.79,0.79,0.79,1.0,0.118,0.7,11.7,0.0
full_eto,001,2010,6,2010-10-16,initial,0.7,0.13,1.86,0.74,0.74,0.74,1.0,0.118,0.7,12.3,0.0
full_eto,001,2010,7,2010-10-17,initial,0.7,0.136,2.28,0.92,0.92,0.92,1.0,0.279,1.6,14.0,0.0
full_eto,001,2010,8,2010-10-18,initial,0.7,0.141,2.02,0.81,0.81,0.81,1.0,0.265,1.7,15.7,0.0
full_eto,001,2010,9,2010-10-19,initial,0.7,0.147,2.14,0.86,0.86,0.86,1.0,0.006,0.0,15.7,0.0
full_eto,001,2010,10,2010-10-20,initial,0.7,0.153,2.42,0.97,0.97,0.97,1.0,0.189,1.3,17.0,0.0
full_eto,001,2010,11,2010-10-21,initial,0.7,0.159,2.52,1.01,1.01,1.01,1.0,0.362,2.6,19.6,0.0
full_eto,001,2010,12,2010-10-22,initial,0.7,0.165,2.8,1.13,1.13,1.13,1.0,0.451,3.3,22.9,0.0
full_eto,001,2010,13,2010-10-23,initial,0.7,0.171,2.74,1.11,1.11,1.11,1.0,0.594,4.6,27.4,0.0
full_eto,001,2010,14,2010-10-24,initial,0.7,0.177,2.77,1.12,1.12,1.12,1.0,0.734,5.8,33.2,0.0
full_eto,001,2010,15,2010-10-25,initial,0.7,0.183,2.92,1.19,1.19,1.19,1.0,0.76,6.3,39.4,0.0
full_eto,001,2010,16,2010-10-26,initial,0.7,0.189,2.4,0.97,0.97,0.97,1.0,0.766,6.6,46.0,0.0
full_eto,001,2010,17,2010-10-27,initial,0.7,0.195,2.32,0.93,0.93,0.93,1.0,0.551,4.9,50.9,0.0
full_eto,001,2010,18,2010-10-28,initial,0.7,0.201,2.08,0.83,0.83,0.83,1.0,0.355,3.1,54.0,0.0
full_eto,001,2010,19,2010-10-29,initial,0.7,0.207,2.51,1.02,1.02,1.02,1.0,0.851,7.3,61.3,0.0
full_eto,001,2010,20,2010-10-30,initial,0.7,0.212,2.28,0.93,0.93,0.93,1.0,1.0,8.8,70.1,0.0
full_eto,001,2010,21,2010-10-31,development,0.7,0.212,2.17,0.89,0.89,0.89,1.0,1.0,8.9,79.0,0.0
full_eto,001,2010,22,2010-11-01,development,0.712,0.231,2.43,1.01,1.01,1.01,1.0,1.0,10.0,89.0,0.0
full_eto,001,2010,23,2010-11-02,development,0.724,0.25,2.15,0.9,0.9,0.9,1.0,0.985,10.6,99.6,0.0
full_eto,001,2010,24,2010-11-03,development,0.736,0.268,2.36,1.0,1.0,1.0,1.0,0.786,8.7,108.3,0.0
full_eto,001,2010,25,2010-11-04,development,0.748,0.287,1.93,0.83,0.83,0.83,1.0,0.689,7.7,116.0,0.0
full_eto,001,2010,26,2010-11-05,development,0.76,0.305,2.21,0.97,0.97,0.97,1.0,0.593,7.0,123.1,0.0
full_eto,001,2010,27,2010-11-06,development,0.772,0.324,2.32,1.03,1.03,1.03,1.0,0.699,8.4,131.5,0.0
full_eto,001,2010,28,2010-11-07,development,0.784,0.342,2.27,1.04,1.04,1.04,1.0,0.964,12.8,144.2,0.0
full_eto,001,2010,29,2010-11-08,development,0.797,0.361,2.1,0.97,0.97,0.97,1.0,1.0,14.6,158.8,0.0
full_eto,001,2010,30,2010-11-09,development,0.809,0.379,1.86,0.87,0.87,0.87,1.0,0.914,11.3,170.2,0.0
full_eto,001,2010,31,2010-11-10,development,0.821,0.398,1.97,0.93,0.93,0.93,1.0,0.861,12.9,183.1,0.0
full_eto,001,2010,32,2010-11-11,development,0.833,0.416,2.06,0.99,0.99,0.99,1.0,0.798,12.5,195.6,0.0
full_eto,001,2010,33,2010-11-12,development,0.845,0.435,1.82,0.89,0.89,0.89,1.0,0.741,12.2,207.8,0.0
full_eto,001,2010,34,2010-11-13,development,0.857,0.453,1.56,0.76,0.76,0.76,1.0,0.717,9.4,217.3,0.0
full_eto,001,2010,35,2010-11-14,development,0.869,0.472,1.86,0.93,0.93,0.93,1.0,0.614,10.7,228.0,0.0
full_eto,001,2010,36,2010-11-15,development,0.881,0.491,1.64,0.82,0.82,0.82,1.0,0.678,8.9,236.9,0.0
full_eto,001,2010,37,2010-11-16,development,0.893,0.509,1.99,1.03,1.03,1.06,1.0,0.859,14.7,251.6,0.0
full_eto,001,2010,38,2010-11-17,development,0.905,0.528,1.83,0.95,0.95,0.95,1.0,0.872,16.1,267.7,0.0
full_eto,001,2010,39,2010-11-18,development,0.917,0.546,1.81,0.96,0.96,0.96,1.0,0.724,14.3,282.1,0.0
full_eto,001,2010,40,2010-11-19,development,0.929,0.565,1.99,1.06,1.06,1.06,1.0,0.756,15.8,297.9,0.0
full_eto,001,2010,41,2010-11-20,development,0.941,0.583,2.14,1.16,1.16,1.16,1.0,0.836,17.7,315.5,0.0
full_eto,001,2010,42,2010-11-21,development,0.953,0.602,2.13,1.18,1.18,1.18,1.0,0.994,21.8,337.4,0.0
full_eto,001,2010,43,2010-11-22,development,0.966,0.62,2.19,1.23,1.23,1.23,1.0,1.0,23.0,360.3,0.0
full_eto,001,2010,44,2010-11-23,development,0.978,0.639,1.81,1.03,1.03,1.03,1.0,1.0,23.6,384.0,0.0
full_eto,001,2010,45,2010-11-24,development,0.99,0.657,1.67,0.95,0.95,0.95,1.0,1.0,20.5,404.5,0.0
full_eto,001,2010,46,2010-11-25,development,1.002,0.676,1.86,1.08,1.08,1.08,1.0,0.964,22.4,426.9,0.0
full_eto,001,2010,47,2010-11-26,development,1.014,0.694,1.89,1.11,1.11,1.11,1.0,0.921,22.0,448.8,0.0
full_eto,001,2010,48,2010-11-27,development,1.026,0.713,1.98,1.17,1.17,1.17,1.0,0.854,20.8,469.6,0.0
full_eto,001,2010,49,2010-11-28,development,1.038,0.731,1.7,1.01,1.01,1.01,1.0,0.819,20.7,490.3,0.0
full_eto,001,2010,50,2010-11-29,development,1.05,0.75,1.8,1.09,1.09,1.09,1.0,0.834,22.7,513.1,0.0
full_eto,001,2010,51,2010-11-30,mid,1.05,0.75,1.59,0.96,0.96,0.96,1.0,0.92,25.5,538.6,0.0
full_eto,001,2010,52,2010-12-01,mid,1.05,0.75,1.71,1.04,1.04,1.04,1.0,1.0,27.9,566.5,0.0
full_eto,001,2010,53,2010-12-02,mid,1.05,0.75,1.78,1.08,1.08,1.08,1.0,1.0,28.1,594.7,0.0
