# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 10-11
#   under underpv_medium (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6360
# CROP: kale
# PLANTING_DATE: 10-11
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-10-11,initial,0.7,0.1,3.68,2.14,2.14,2.14,1.0,0.594,4.1,4.1,0.0
full_eto,001,2010,2,2010-10-12,initial,0.7,0.106,3.24,1.88,1.88,1.88,1.0,0.6,4.5,8.6,0.0
full_eto,001,2010,3,2010-10-13,initial,0.7,0.112,3.36,1.94,1.94,1.94,1.0,0.268,1.9,10.5,0.0
full_eto,001,2010,4,2010-10-14,initial,0.7,0.118,3.05,1.76,1.76,1.76,1.0,0.199,1.6,12.0,0.0
full_eto,001,2010,5,2010-10-15,initial,0.7,0.124,2.61,1.51,1.51,1.51,1.0,0.0,0.0,12.0,0.0
full_eto,001,2010,6,2010-10-16,initial,0.7,0.13,2.46,1.42,1.42,1.42,1.0,0.0,0.0,12.0,0.0
full_eto,001,2010,7,2010-10-17,initial,0.7,0.136,3.0,1.73,1.73,1.73,1.0,0.154,1.3,13.3,0.0
full_eto,001,2010,8,2010-10-18,initial,0.7,0.141,2.67,1.54,1.54,1.54,1.0,0.14,1.3,14.6,0.0
full_eto,001,2010,9,2010-10-19,initial,0.7,0.147,2.86,1.65,1.65,1.65,1.0,0.0,0.0,14.6,0.0
full_eto,001,2010,10,2010-10-20,initial,0.7,0.153,3.19,1.85,1.85,1.85,1.0,0.064,0.6,15.2,0.0
full_eto,001,2010,11,2010-10-21,initial,0.7,0.159,3.3,1.91,1.91,1.91,1.0,0.237,2.4,17.7,0.0
full_eto,001,2010,12,2010-10-22,initial,0.7,0.165,3.63,2.1,2.1,2.1,1.0,0.326,3.4,21.0,0.0
full_eto,001,2010,13,2010-10-23,initial,0.7,0.171,3.52,2.05,2.05,2.05,1.0,0.469,5.1,26.1,0.0
full_eto,001,2010,14,2010-10-24,initial,0.7,0.177,3.53,2.05,2.05,2.05,1.0,0.609,6.8,33.0,0.0
full_eto,001,2010,15,2010-10-25,initial,0.7,0.183,3.72,2.17,2.17,2.17,1.0,0.635,7.5,40.4,0.0
full_eto,001,2010,16,2010-10-26,initial,0.7,0.189,3.1,1.8,1.8,1.8,1.0,0.641,7.8,48.3,0.0
full_eto,001,2010,17,2010-10-27,initial,0.7,0.195,3.03,1.75,1.75,1.75,1.0,0.426,5.4,53.6,0.0
full_eto,001,2010,18,2010-10-28,initial,0.7,0.201,2.74,1.58,1.58,1.58,1.0,0.23,2.9,56.6,0.0
full_eto,001,2010,19,2010-10-29,initial,0.7,0.207,3.16,1.85,1.85,1.85,1.0,0.726,8.8,65.4,0.0
full_eto,001,2010,20,2010-10-30,initial,0.7,0.212,2.88,1.68,1.68,1.68,1.0,0.937,11.8,77.2,0.0
full_eto,001,2010,21,2010-10-31,development,0.7,0.212,2.76,1.61,1.61,1.61,1.0,0.924,11.8,89.0,0.0
full_eto,001,2010,22,2010-11-01,development,0.712,0.231,3.09,1.83,1.83,1.83,1.0,0.957,13.7,102.7,0.0
full_eto,001,2010,23,2010-11-02,development,0.724,0.25,2.77,1.66,1.66,1.66,1.0,0.86,13.2,115.9,0.0
full_eto,001,2010,24,2010-11-03,development,0.736,0.268,3.05,1.86,1.86,1.86,1.0,0.661,10.5,126.3,0.0
full_eto,001,2010,25,2010-11-04,development,0.748,0.287,2.5,1.54,1.54,1.54,1.0,0.564,9.0,135.3,0.0
full_eto,001,2010,26,2010-11-05,development,0.76,0.305,2.85,1.8,1.8,1.8,1.0,0.468,7.9,143.3,0.0
full_eto,001,2010,27,2010-11-06,development,0.772,0.324,2.97,1.9,1.9,1.9,1.0,0.574,9.8,153.1,0.0
full_eto,001,2010,28,2010-11-07,development,0.784,0.342,2.88,1.88,1.88,1.88,1.0,0.839,15.8,169.0,0.0
full_eto,001,2010,29,2010-11-08,development,0.797,0.361,2.69,1.78,1.78,1.78,1.0,0.885,18.4,187.3,0.0
full_eto,001,2010,30,2010-11-09,development,0.809,0.379,2.38,1.59,1.59,1.59,1.0,0.789,14.0,201.3,0.0
full_eto,001,2010,31,2010-11-10,development,0.821,0.398,2.53,1.72,1.72,1.72,1.0,0.736,15.8,217.1,0.0
full_eto,001,2010,32,2010-11-11,development,0.833,0.416,2.65,1.83,1.83,1.83,1.0,0.673,15.2,232.3,0.0
full_eto,001,2010,33,2010-11-12,development,0.845,0.435,2.35,1.64,1.64,1.64,1.0,0.616,14.5,246.8,0.0
full_eto,001,2010,34,2010-11-13,development,0.857,0.453,1.99,1.4,1.4,1.4,1.0,0.592,11.1,257.9,0.0
full_eto,001,2010,35,2010-11-14,development,0.869,0.472,2.4,1.72,1.72,1.72,1.0,0.489,12.2,270.1,0.0
full_eto,001,2010,36,2010-11-15,development,0.881,0.491,2.08,1.51,1.51,1.51,1.0,0.553,10.3,280.4,0.0
full_eto,001,2010,37,2010-11-16,development,0.893,0.509,2.52,1.87,1.87,1.9,1.0,0.734,17.9,298.3,0.0
full_eto,001,2010,38,2010-11-17,development,0.905,0.528,2.33,1.75,1.75,1.75,1.0,0.747,19.8,318.1,0.0
full_eto,001,2010,39,2010-11-18,development,0.917,0.546,2.33,1.77,1.77,1.77,1.0,0.599,16.9,335.1,0.0
full_eto,001,2010,40,2010-11-19,development,0.929,0.565,2.56,1.97,1.97,1.97,1.0,0.631,18.8,353.8,0.0
