# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 09-21
#   under underpv_high (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 09-21
# CONDITION: underpv_high
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-21,initial,0.7,0.1,2.79,1.12,1.12,1.12,1.0,0.376,1.9,1.9,0.0
full_eto,001,2010,2,2010-09-22,initial,0.7,0.106,2.62,1.04,1.04,1.04,1.0,0.356,1.1,3.1,0.0
full_eto,001,2010,3,2010-09-23,initial,0.7,0.112,2.9,1.16,1.16,1.16,1.0,0.279,1.6,4.7,0.0
full_eto,001,2010,4,2010-09-24,initial,0.7,0.118,3.1,1.25,1.25,1.25,1.0,0.271,1.5,6.1,0.0
full_eto,001,2010,5,2010-09-25,initial,0.7,0.124,3.22,1.3,1.3,1.3,1.0,0.282,1.7,7.8,0.0
full_eto,001,2010,6,2010-09-26,initial,0.7,0.13,2.88,1.16,1.16,1.16,1.0,0.3,1.9,9.8,0.0
full_eto,001,2010,7,2010-09-27,initial,0.7,0.136,3.07,1.23,1.23,1.23,1.0,0.109,0.7,10.5,0.0
full_eto,001,2010,8,2010-09-28,initial,0.7,0.141,3.02,1.2,1.2,1.2,1.0,0.036,0.2,10.7,0.0
full_eto,001,2010,9,2010-09-29,initial,0.7,0.147,2.91,1.17,1.17,1.17,1.0,0.104,0.8,11.5,0.0
full_eto,001,2010,10,2010-09-30,initial,0.7,0.153,2.73,1.09,1.09,1.09,1.0,0.068,0.5,12.0,0.0
full_eto,001,2010,11,2010-10-01,initial,0.7,0.159,2.41,0.96,0.96,0.96,1.0,0.175,1.4,13.3,0.0
full_eto,001,2010,12,2010-10-02,initial,0.7,0.165,2.17,0.86,0.86,0.86,1.0,0.0,0.0,13.3,0.0
full_eto,001,2010,13,2010-10-03,initial,0.7,0.171,2.26,0.9,0.9,0.9,1.0,0.058,0.4,13.8,0.0
full_eto,001,2010,14,2010-10-04,initial,0.7,0.177,2.68,1.07,1.07,1.07,1.0,0.276,2.0,15.8,0.0
full_eto,001,2010,15,2010-10-05,initial,0.7,0.183,2.76,1.11,1.11,1.11,1.0,0.378,3.0,18.8,0.0
full_eto,001,2010,16,2010-10-06,initial,0.7,0.189,2.89,1.17,1.17,1.17,1.0,0.619,5.6,24.3,0.0
full_eto,001,2010,17,2010-10-07,initial,0.7,0.195,2.9,1.18,1.18,1.18,1.0,0.712,6.9,31.2,0.0
full_eto,001,2010,18,2010-10-08,initial,0.7,0.201,2.85,1.16,1.16,1.16,1.0,0.795,8.1,39.4,0.0
full_eto,001,2010,19,2010-10-09,initial,0.7,0.207,2.5,1.01,1.01,1.01,1.0,0.663,6.9,46.3,0.0
full_eto,001,2010,20,2010-10-10,initial,0.7,0.212,2.04,0.82,0.82,0.82,1.0,0.512,5.1,51.4,0.0
full_eto,001,2010,21,2010-10-11,development,0.7,0.212,2.87,1.16,1.16,1.16,1.0,0.719,7.4,58.8,0.0
full_eto,001,2010,22,2010-10-12,development,0.712,0.231,2.51,1.03,1.03,1.03,1.0,0.725,8.3,67.0,0.0
full_eto,001,2010,23,2010-10-13,development,0.724,0.25,2.57,1.06,1.06,1.06,1.0,0.393,4.3,71.3,0.0
full_eto,001,2010,24,2010-10-14,development,0.736,0.268,2.32,0.98,0.98,0.98,1.0,0.324,4.1,75.5,0.0
full_eto,001,2010,25,2010-10-15,development,0.748,0.287,1.97,0.84,0.84,0.84,1.0,0.118,1.6,77.0,0.0
full_eto,001,2010,26,2010-10-16,development,0.76,0.305,1.86,0.81,0.81,0.81,1.0,0.118,1.6,78.6,0.0
full_eto,001,2010,27,2010-10-17,development,0.772,0.324,2.28,1.01,1.01,1.01,1.0,0.279,3.9,82.5,0.0
full_eto,001,2010,28,2010-10-18,development,0.784,0.342,2.02,0.9,0.9,0.9,1.0,0.265,4.0,86.6,0.0
full_eto,001,2010,29,2010-10-19,development,0.797,0.361,2.14,0.97,0.97,0.97,1.0,0.006,0.1,86.7,0.0
full_eto,001,2010,30,2010-10-20,development,0.809,0.379,2.42,1.12,1.12,1.12,1.0,0.189,3.3,89.9,0.0
full_eto,001,2010,31,2010-10-21,development,0.821,0.398,2.52,1.19,1.19,1.19,1.0,0.362,6.5,96.4,0.0
full_eto,001,2010,32,2010-10-22,development,0.833,0.416,2.8,1.34,1.34,1.34,1.0,0.451,8.2,104.6,0.0
full_eto,001,2010,33,2010-10-23,development,0.845,0.435,2.74,1.34,1.34,1.34,1.0,0.594,11.6,116.2,0.0
full_eto,001,2010,34,2010-10-24,development,0.857,0.453,2.77,1.37,1.37,1.37,1.0,0.734,14.7,130.9,0.0
full_eto,001,2010,35,2010-10-25,development,0.869,0.472,2.92,1.47,1.47,1.47,1.0,0.76,16.1,147.1,0.0
full_eto,001,2010,36,2010-10-26,development,0.881,0.491,2.4,1.22,1.22,1.22,1.0,0.766,17.1,164.2,0.0
full_eto,001,2010,37,2010-10-27,development,0.893,0.509,2.32,1.19,1.19,1.19,1.0,0.551,12.7,176.9,0.0
full_eto,001,2010,38,2010-10-28,development,0.905,0.528,2.08,1.08,1.08,1.08,1.0,0.355,8.2,185.1,0.0
full_eto,001,2010,39,2010-10-29,development,0.917,0.546,2.51,1.34,1.34,1.34,1.0,0.851,19.2,204.4,0.0
full_eto,001,2010,40,2010-10-30,development,0.929,0.565,2.28,1.24,1.24,1.24,1.0,1.0,23.5,227.9,0.0
full_eto,001,2010,41,2010-10-31,development,0.941,0.583,2.17,1.19,1.19,1.19,1.0,1.0,24.4,252.3,0.0
