# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 09-21
#   under underpv_low (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 09-21
# CONDITION: underpv_low
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-21,initial,0.7,0.1,4.28,2.59,2.59,2.59,1.0,0.164,1.5,1.5,0.0
full_eto,001,2010,2,2010-09-22,initial,0.7,0.106,3.84,2.32,2.32,2.32,1.0,0.143,0.9,2.4,0.0
full_eto,001,2010,3,2010-09-23,initial,0.7,0.112,4.46,2.71,2.71,2.71,1.0,0.066,0.7,3.1,0.0
full_eto,001,2010,4,2010-09-24,initial,0.7,0.118,4.67,2.83,2.83,2.83,1.0,0.059,0.6,3.7,0.0
full_eto,001,2010,5,2010-09-25,initial,0.7,0.124,4.83,2.93,2.93,2.93,1.0,0.069,0.8,4.5,0.0
full_eto,001,2010,6,2010-09-26,initial,0.7,0.13,4.43,2.68,2.68,2.68,1.0,0.087,1.0,5.5,0.0
full_eto,001,2010,7,2010-09-27,initial,0.7,0.136,4.72,2.86,2.86,2.86,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,8,2010-09-28,initial,0.7,0.141,4.67,2.82,2.82,2.82,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,9,2010-09-29,initial,0.7,0.147,4.53,2.74,2.74,2.74,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,10,2010-09-30,initial,0.7,0.153,4.31,2.61,2.61,2.61,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,11,2010-10-01,initial,0.7,0.159,3.82,2.31,2.31,2.31,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,12,2010-10-02,initial,0.7,0.165,3.53,2.14,2.14,2.14,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,13,2010-10-03,initial,0.7,0.171,3.6,2.18,2.18,2.18,1.0,0.0,0.0,5.5,0.0
full_eto,001,2010,14,2010-10-04,initial,0.7,0.177,4.05,2.45,2.45,2.45,1.0,0.063,0.8,6.4,0.0
full_eto,001,2010,15,2010-10-05,initial,0.7,0.183,4.11,2.5,2.5,2.5,1.0,0.166,2.4,8.8,0.0
full_eto,001,2010,16,2010-10-06,initial,0.7,0.189,4.22,2.57,2.57,2.57,1.0,0.407,6.8,15.6,0.0
full_eto,001,2010,17,2010-10-07,initial,0.7,0.195,4.24,2.58,2.58,2.58,1.0,0.5,9.0,24.6,0.0
full_eto,001,2010,18,2010-10-08,initial,0.7,0.201,4.17,2.54,2.54,2.54,1.0,0.582,11.1,35.7,0.0
full_eto,001,2010,19,2010-10-09,initial,0.7,0.207,3.81,2.32,2.32,2.32,1.0,0.451,8.7,44.4,0.0
full_eto,001,2010,20,2010-10-10,initial,0.7,0.212,3.22,1.95,1.95,1.95,1.0,0.299,5.6,50.0,0.0
full_eto,001,2010,21,2010-10-11,development,0.7,0.212,4.22,2.57,2.57,2.57,1.0,0.506,9.7,59.6,0.0
full_eto,001,2010,22,2010-10-12,development,0.712,0.231,3.77,2.33,2.33,2.33,1.0,0.513,10.8,70.5,0.0
full_eto,001,2010,23,2010-10-13,development,0.724,0.25,3.92,2.45,2.45,2.45,1.0,0.181,3.7,74.1,0.0
full_eto,001,2010,24,2010-10-14,development,0.736,0.268,3.62,2.31,2.31,2.31,1.0,0.111,2.6,76.7,0.0
full_eto,001,2010,25,2010-10-15,development,0.748,0.287,3.18,2.06,2.06,2.06,1.0,0.0,0.0,76.7,0.0
full_eto,001,2010,26,2010-10-16,development,0.76,0.305,3.0,1.98,1.98,1.98,1.0,0.0,0.0,76.7,0.0
full_eto,001,2010,27,2010-10-17,development,0.772,0.324,3.54,2.37,2.37,2.37,1.0,0.067,1.7,78.5,0.0
full_eto,001,2010,28,2010-10-18,development,0.784,0.342,3.2,2.17,2.17,2.17,1.0,0.052,1.5,80.0,0.0
full_eto,001,2010,29,2010-10-19,development,0.797,0.361,3.45,2.38,2.38,2.38,1.0,0.0,0.0,80.0,0.0
full_eto,001,2010,30,2010-10-20,development,0.809,0.379,3.78,2.65,2.65,2.65,1.0,0.0,0.0,80.0,0.0
full_eto,001,2010,31,2010-10-21,development,0.821,0.398,3.85,2.74,2.74,2.74,1.0,0.15,5.0,84.9,0.0
full_eto,001,2010,32,2010-10-22,development,0.833,0.416,4.17,3.01,3.01,3.01,1.0,0.239,8.1,93.0,0.0
full_eto,001,2010,33,2010-10-23,development,0.845,0.435,4.03,2.96,2.96,2.96,1.0,0.382,13.8,106.8,0.0
full_eto,001,2010,34,2010-10-24,development,0.857,0.453,4.02,2.99,2.99,2.99,1.0,0.522,19.4,126.2,0.0
full_eto,001,2010,35,2010-10-25,development,0.869,0.472,4.22,3.19,3.19,3.19,1.0,0.548,21.6,147.8,0.0
full_eto,001,2010,36,2010-10-26,development,0.881,0.491,3.57,2.73,2.73,2.73,1.0,0.553,22.8,170.6,0.0
full_eto,001,2010,37,2010-10-27,development,0.893,0.509,3.54,2.74,2.74,2.74,1.0,0.338,14.5,185.1,0.0
full_eto,001,2010,38,2010-10-28,development,0.905,0.528,3.24,2.54,2.54,2.54,1.0,0.143,6.1,191.2,0.0
full_eto,001,2010,39,2010-10-29,development,0.917,0.546,3.58,2.86,2.86,2.86,1.0,0.638,26.8,218.0,0.0
full_eto,001,2010,40,2010-10-30,development,0.929,0.565,3.27,2.64,2.64,2.64,1.0,0.849,37.0,255.0,0.0
full_eto,001,2010,41,2010-10-31,development,0.941,0.583,3.15,2.58,2.58,2.58,1.0,0.837,38.0,293.1,0.0
full_eto,001,2010,42,2010-11-01,development,0.953,0.602,3.5,2.91,2.91,2.91,1.0,0.869,42.1,335.2,0.0
full_eto,001,2010,43,2010-11-02,development,0.966,0.62,3.19,2.67,2.67,2.67,1.0,0.772,38.3,373.5,0.0
full_eto,001,2010,44,2010-11-03,development,0.978,0.639,3.5,2.97,2.97,2.97,1.0,0.573,28.1,401.5,0.0
full_eto,001,2010,45,2010-11-04,development,0.99,0.657,2.91,2.49,2.49,2.49,1.0,0.476,22.7,424.3,0.0
full_eto,001,2010,46,2010-11-05,development,1.002,0.676,3.3,2.86,2.86,2.86,1.0,0.38,18.6,442.8,0.0
full_eto,001,2010,47,2010-11-06,development,1.014,0.694,3.39,2.98,2.98,2.98,1.0,0.486,23.3,466.1,0.0
