# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for kale planted 09-21
#   under underpv_medium (fall season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: kale
# PLANTING_DATE: 09-21
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (75%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-21,initial,0.7,0.1,3.65,2.11,2.11,2.11,1.0,0.251,1.8,1.8,0.0
full_eto,001,2010,2,2010-09-22,initial,0.7,0.106,3.38,1.94,1.94,1.94,1.0,0.231,1.1,2.9,0.0
full_eto,001,2010,3,2010-09-23,initial,0.7,0.112,3.81,2.2,2.2,2.2,1.0,0.154,1.2,4.1,0.0
full_eto,001,2010,4,2010-09-24,initial,0.7,0.118,4.04,2.33,2.33,2.33,1.0,0.146,1.1,5.3,0.0
full_eto,001,2010,5,2010-09-25,initial,0.7,0.124,4.19,2.42,2.42,2.42,1.0,0.157,1.4,6.6,0.0
full_eto,001,2010,6,2010-09-26,initial,0.7,0.13,3.79,2.19,2.19,2.19,1.0,0.175,1.6,8.2,0.0
full_eto,001,2010,7,2010-09-27,initial,0.7,0.136,4.04,2.33,2.33,2.33,1.0,0.0,0.0,8.2,0.0
full_eto,001,2010,8,2010-09-28,initial,0.7,0.141,3.99,2.3,2.3,2.3,1.0,0.0,0.0,8.2,0.0
full_eto,001,2010,9,2010-09-29,initial,0.7,0.147,3.86,2.22,2.22,2.22,1.0,0.0,0.0,8.2,0.0
full_eto,001,2010,10,2010-09-30,initial,0.7,0.153,3.63,2.09,2.09,2.09,1.0,0.0,0.0,8.2,0.0
full_eto,001,2010,11,2010-10-01,initial,0.7,0.159,3.2,1.84,1.84,1.84,1.0,0.05,0.6,8.8,0.0
full_eto,001,2010,12,2010-10-02,initial,0.7,0.165,2.9,1.67,1.67,1.67,1.0,0.0,0.0,8.8,0.0
full_eto,001,2010,13,2010-10-03,initial,0.7,0.171,3.0,1.73,1.73,1.73,1.0,0.0,0.0,8.8,0.0
full_eto,001,2010,14,2010-10-04,initial,0.7,0.177,3.5,2.02,2.02,2.02,1.0,0.151,1.6,10.4,0.0
full_eto,001,2010,15,2010-10-05,initial,0.7,0.183,3.57,2.06,2.06,2.06,1.0,0.253,2.8,13.2,0.0
full_eto,001,2010,16,2010-10-06,initial,0.7,0.189,3.69,2.15,2.15,2.15,1.0,0.494,6.4,19.6,0.0
full_eto,001,2010,17,2010-10-07,initial,0.7,0.195,3.7,2.16,2.16,2.16,1.0,0.587,8.1,27.7,0.0
full_eto,001,2010,18,2010-10-08,initial,0.7,0.201,3.64,2.12,2.12,2.12,1.0,0.67,9.8,37.5,0.0
full_eto,001,2010,19,2010-10-09,initial,0.7,0.207,3.26,1.89,1.89,1.89,1.0,0.538,8.0,45.5,0.0
full_eto,001,2010,20,2010-10-10,initial,0.7,0.212,2.69,1.55,1.55,1.55,1.0,0.387,5.5,51.0,0.0
full_eto,001,2010,21,2010-10-11,development,0.7,0.212,3.68,2.14,2.14,2.14,1.0,0.594,8.7,59.8,0.0
full_eto,001,2010,22,2010-10-12,development,0.712,0.231,3.24,1.91,1.91,1.91,1.0,0.6,9.8,69.5,0.0
full_eto,001,2010,23,2010-10-13,development,0.724,0.25,3.36,2.0,2.0,2.0,1.0,0.268,4.2,73.7,0.0
full_eto,001,2010,24,2010-10-14,development,0.736,0.268,3.05,1.86,1.86,1.86,1.0,0.199,3.6,77.3,0.0
full_eto,001,2010,25,2010-10-15,development,0.748,0.287,2.61,1.61,1.61,1.61,1.0,0.0,0.0,77.3,0.0
full_eto,001,2010,26,2010-10-16,development,0.76,0.305,2.46,1.54,1.54,1.54,1.0,0.0,0.0,77.3,0.0
full_eto,001,2010,27,2010-10-17,development,0.772,0.324,3.0,1.91,1.91,1.91,1.0,0.154,3.1,80.4,0.0
full_eto,001,2010,28,2010-10-18,development,0.784,0.342,2.67,1.72,1.72,1.72,1.0,0.14,3.1,83.5,0.0
full_eto,001,2010,29,2010-10-19,development,0.797,0.361,2.86,1.88,1.88,1.88,1.0,0.0,0.0,83.5,0.0
full_eto,001,2010,30,2010-10-20,development,0.809,0.379,3.19,2.13,2.13,2.13,1.0,0.064,1.6,85.1,0.0
