# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 04-01
#   under openfield (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-01
# CONDITION: openfield
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.7,0.1,11.91,8.34,8.34,1.0,1.0,15.7,15.7,0.0
full_eto,001,2010,2,2010-04-02,initial,0.7,0.105,13.45,9.41,9.41,1.0,0.934,14.9,30.7,0.0
full_eto,001,2010,3,2010-04-03,initial,0.7,0.109,12.99,9.1,9.1,1.0,0.791,12.1,42.8,0.0
full_eto,001,2010,4,2010-04-04,initial,0.7,0.114,10.68,7.48,7.48,1.0,1.0,15.2,58.0,0.0
full_eto,001,2010,5,2010-04-05,initial,0.7,0.119,10.23,7.16,7.16,1.0,1.0,17.7,75.7,0.0
full_eto,001,2010,6,2010-04-06,initial,0.7,0.124,9.25,6.48,6.48,1.0,1.0,19.0,94.7,0.0
full_eto,001,2010,7,2010-04-07,initial,0.7,0.128,8.88,6.22,6.22,1.0,1.0,19.6,114.3,0.0
full_eto,001,2010,8,2010-04-08,initial,0.7,0.133,8.38,5.86,5.86,1.0,1.0,20.3,134.6,0.0
full_eto,001,2010,9,2010-04-09,initial,0.7,0.138,9.69,6.78,6.78,1.0,1.0,20.9,155.5,0.0
full_eto,001,2010,10,2010-04-10,initial,0.7,0.143,11.68,8.18,8.18,1.0,1.0,20.1,175.6,0.0
full_eto,001,2010,11,2010-04-11,initial,0.7,0.147,10.77,7.54,7.54,1.0,0.952,19.0,194.5,0.0
full_eto,001,2010,12,2010-04-12,initial,0.7,0.152,8.03,5.62,5.62,1.0,1.0,22.7,217.2,0.0
full_eto,001,2010,13,2010-04-13,initial,0.7,0.157,8.91,6.24,6.24,1.0,1.0,25.3,242.6,0.0
full_eto,001,2010,14,2010-04-14,initial,0.7,0.162,10.25,7.18,7.18,1.0,1.0,25.6,268.2,0.0
full_eto,001,2010,15,2010-04-15,initial,0.7,0.166,11.1,7.77,7.77,1.0,1.0,25.6,293.7,0.0
full_eto,001,2010,16,2010-04-16,initial,0.7,0.171,10.71,7.5,7.5,1.0,1.0,27.0,320.7,0.0
full_eto,001,2010,17,2010-04-17,initial,0.7,0.176,10.89,7.62,7.62,1.0,1.0,28.6,349.3,0.0
full_eto,001,2010,18,2010-04-18,initial,0.7,0.181,11.78,8.25,8.25,1.0,1.0,28.3,377.6,0.0
full_eto,001,2010,19,2010-04-19,initial,0.7,0.185,13.06,9.14,9.14,1.0,0.874,25.6,403.1,0.0
full_eto,001,2010,20,2010-04-20,initial,0.7,0.19,11.94,8.36,8.36,1.0,0.843,24.6,427.8,0.0
full_eto,001,2010,21,2010-04-21,development,0.7,0.19,9.57,6.7,6.7,1.0,1.0,26.1,453.9,0.0
full_eto,001,2010,22,2010-04-22,development,0.712,0.204,7.42,5.28,5.28,1.0,1.0,34.2,488.1,0.0
full_eto,001,2010,23,2010-04-23,development,0.724,0.218,9.5,6.88,6.88,1.0,1.0,34.0,522.1,0.0
full_eto,001,2010,24,2010-04-24,development,0.736,0.232,11.76,8.66,8.66,1.0,1.0,39.0,561.1,0.0
full_eto,001,2010,25,2010-04-25,development,0.748,0.247,11.99,8.97,8.97,1.0,1.0,39.3,600.4,0.0
full_eto,001,2010,26,2010-04-26,development,0.76,0.261,11.77,8.95,8.95,1.0,1.0,42.3,642.7,0.0
full_eto,001,2010,27,2010-04-27,development,0.772,0.275,11.85,9.15,9.15,1.0,0.903,40.9,683.6,0.0
full_eto,001,2010,28,2010-04-28,development,0.784,0.289,8.64,6.78,6.78,1.0,1.0,43.9,727.5,0.0
full_eto,001,2010,29,2010-04-29,development,0.797,0.303,7.63,6.08,6.08,1.0,1.0,40.2,767.7,0.0
full_eto,001,2010,30,2010-04-30,development,0.809,0.317,8.34,6.75,6.77,1.0,1.0,26.8,794.5,0.0
full_eto,001,2010,31,2010-05-01,development,0.821,0.331,8.98,7.37,7.47,1.0,1.0,39.9,834.4,0.0
full_eto,001,2010,32,2010-05-02,development,0.833,0.346,8.71,7.25,7.25,1.0,1.0,59.5,893.8,0.0
full_eto,001,2010,33,2010-05-03,development,0.845,0.36,10.66,9.0,9.0,1.0,1.0,62.7,956.6,0.0
full_eto,001,2010,34,2010-05-04,development,0.857,0.374,11.54,9.89,9.89,1.0,1.0,64.8,1021.4,0.0
full_eto,001,2010,35,2010-05-05,development,0.869,0.388,12.01,10.44,10.44,1.0,1.0,67.8,1089.2,0.0
full_eto,001,2010,36,2010-05-06,development,0.881,0.402,12.32,10.85,10.85,1.0,1.0,70.5,1159.7,0.0
full_eto,001,2010,37,2010-05-07,development,0.893,0.416,12.96,11.58,11.58,1.0,0.889,63.3,1223.0,0.0
full_eto,001,2010,38,2010-05-08,development,0.905,0.43,12.82,11.6,11.6,1.0,0.57,40.2,1263.2,0.0
full_eto,001,2010,39,2010-05-09,development,0.917,0.444,13.75,12.61,12.61,1.0,0.512,33.7,1296.9,0.0
full_eto,001,2010,40,2010-05-10,development,0.929,0.459,12.82,11.92,11.92,1.0,0.662,44.6,1341.5,0.0
full_eto,001,2010,41,2010-05-11,development,0.941,0.473,10.1,9.51,9.51,1.0,1.0,76.9,1418.4,0.0
full_eto,001,2010,42,2010-05-12,development,0.953,0.487,11.12,10.6,10.6,1.0,1.0,83.5,1501.9,0.0
full_eto,001,2010,43,2010-05-13,development,0.966,0.501,12.63,12.19,12.19,1.0,1.0,87.5,1589.4,0.0
full_eto,001,2010,44,2010-05-14,development,0.978,0.515,14.91,14.58,14.58,1.0,0.73,65.9,1655.3,0.0
full_eto,001,2010,45,2010-05-15,development,0.99,0.529,14.26,14.11,14.11,1.0,0.599,53.2,1708.5,0.0
full_eto,001,2010,46,2010-05-16,development,1.002,0.543,17.66,17.69,17.69,1.0,0.323,28.0,1736.5,0.0
full_eto,001,2010,47,2010-05-17,development,1.014,0.558,14.16,14.36,14.36,1.0,0.411,31.6,1768.1,0.0
full_eto,001,2010,48,2010-05-18,development,1.026,0.572,9.65,9.9,9.9,1.0,0.816,68.7,1836.7,0.0
full_eto,001,2010,49,2010-05-19,development,1.038,0.586,10.67,11.07,11.07,1.0,1.0,97.6,1934.3,0.0
full_eto,001,2010,50,2010-05-20,development,1.05,0.6,11.82,12.41,12.41,1.0,1.0,101.2,2035.4,0.0
full_eto,001,2010,51,2010-05-21,mid,1.05,0.6,12.83,13.47,13.47,1.0,1.0,103.5,2138.9,0.0
full_eto,001,2010,52,2010-05-22,mid,1.05,0.6,13.26,13.92,13.92,1.0,0.821,82.5,2221.4,0.0
full_eto,001,2010,53,2010-05-23,mid,1.05,0.6,10.08,10.58,10.58,1.0,1.0,103.1,2324.5,0.0
full_eto,001,2010,54,2010-05-24,mid,1.05,0.6,11.44,12.02,12.02,1.0,1.0,104.4,2428.9,0.0
full_eto,001,2010,55,2010-05-25,mid,1.05,0.6,12.24,12.85,12.85,1.0,1.0,103.6,2532.6,0.0
full_eto,001,2010,56,2010-05-26,mid,1.05,0.6,15.18,15.94,15.94,1.0,0.838,86.5,2619.1,0.0
full_eto,001,2010,57,2010-05-27,mid,1.05,0.6,12.23,12.85,12.85,1.0,0.707,63.4,2682.5,0.0
full_eto,001,2010,58,2010-05-28,mid,1.05,0.6,9.87,10.36,10.36,1.0,1.0,100.3,2782.8,0.0
full_eto,001,2010,59,2010-05-29,mid,1.05,0.6,12.43,13.05,13.05,1.0,1.0,104.6,2887.4,0.0
full_eto,001,2010,60,2010-05-30,mid,1.05,0.6,13.32,13.99,13.99,1.0,0.996,103.6,2991.0,0.0
full_eto,001,2010,61,2010-05-31,mid,1.05,0.6,13.42,14.09,14.09,1.0,0.768,80.1,3071.1,0.0
full_eto,001,2010,62,2010-06-01,mid,1.05,0.6,15.06,15.82,15.82,1.0,0.505,49.6,3120.7,0.0
full_eto,001,2010,63,2010-06-02,mid,1.05,0.6,11.43,12.0,12.0,1.0,0.692,69.5,3190.1,0.0
full_eto,001,2010,64,2010-06-03,mid,1.05,0.6,11.25,11.81,11.81,1.0,0.795,74.5,3264.6,0.0
full_eto,001,2010,65,2010-06-04,mid,1.05,0.6,11.92,12.52,12.52,1.0,0.888,90.4,3355.1,0.0
full_eto,001,2010,66,2010-06-05,mid,1.05,0.6,12.1,12.71,12.71,1.0,0.957,100.7,3455.8,0.0
full_eto,001,2010,67,2010-06-06,mid,1.05,0.6,15.99,16.79,16.79,1.0,0.522,53.2,3509.0,0.0
full_eto,001,2010,68,2010-06-07,mid,1.05,0.6,14.88,15.63,15.63,1.0,0.331,33.5,3542.5,0.0
